purpose,records,share
augment snowpack,326,0.3918269230769231
increase precipitation,221,0.265625
"augment snowpack, increase precipitation",118,0.14182692307692307
"increase precipitation, suppress hail",55,0.06610576923076923
"augment snowpack, increase runoff",50,0.06009615384615385
"suppress hail, increase precipitation",14,0.016826923076923076
suppress hail,11,0.013221153846153846
"increase precipitation, augment snowpack",10,0.01201923076923077
"augment snowpack, suppress fog",7,0.008413461538461538
suppress fog,6,0.007211538461538462
research,4,0.004807692307692308
"increase precipitation, increase precipitation",3,0.003605769230769231
"augment snowpack, increase runoff, research",2,0.002403846153846154
"research, augment snowpack",2,0.002403846153846154
"augment snowpack, research",1,0.001201923076923077
"increase runoff, increase precipitation",1,0.001201923076923077
"increase precipitation, increase runoff",1,0.001201923076923077
