bus,total_demand_mwh,unserved_mwh,avg_net_import_mw
Bus1,109000.96938156913,0.0,-6692.927788968156
Bus2,134075.88835947737,0.0,-7660.679624244912
Bus3,103110.90861894267,0.0,-6731.060167587925
Bus4,161906.33101969416,0.0,-6235.046898365414
Bus5,118190.01476352112,0.0,-6705.350894189042
Bus6,1073528.9850515255,60436.35220331841,5232.754987439296
Bus7,932081.9058792505,37375.020224913365,4725.837516264806
Bus8,1016091.4261388935,32800.66399652649,3731.3983224593767
Bus9,1026833.5846312102,46214.12418790067,5262.995007328154
Bus10,880933.3164678924,10762.814112959815,4154.767135113872
Bus11,1197336.52191467,308577.8210701595,4377.413763304685
Bus12,1118933.5543792015,560116.0762982147,2697.242921639965
Bus13,1185205.9732386814,807934.8709016687,1719.6110131917924
Bus14,1167194.3876924277,697101.6806264687,664.4673945472781
Bus15,1047473.2714566295,808398.441874273,538.3140867500881
Bus16,1178099.6915613206,950942.8975454803,453.3742395169237
Bus17,842080.1768273339,649959.0271243253,239.45331247376618
Bus18,885420.2901273994,764256.8730693925,157.75857999684615
Bus19,824635.6428887291,700108.9709152527,41.33015762173312
Bus20,937573.1893637483,833354.0266708429,28.346935706864137
