bus0,bus1,p_nom_mw,proxy_flow_mw,proxy_peak_mw,proxy_loading_ratio
Bus1,Bus2,5000.0,0.0,0.0,0.0
Bus2,Bus3,5000.0,0.0,0.0,0.0
Bus3,Bus4,5000.0,0.9076475476246385,152.48478800093926,0.030496957600187852
Bus4,Bus5,5000.0,0.0,0.0,0.0
Bus6,Bus7,5000.0,0.0,0.0,0.0
Bus7,Bus8,5000.0,0.0,0.0,0.0
Bus8,Bus9,5000.0,0.0,0.0,0.0
Bus9,Bus10,5000.0,0.0,0.0,0.0
Bus10,Bus11,5000.0,0.0,0.0,0.0
Bus11,Bus12,5000.0,0.0,0.0,0.0
Bus12,Bus13,5000.0,0.0,0.0,0.0
Bus13,Bus14,5000.0,0.0,0.0,0.0
Bus14,Bus15,5000.0,0.0,0.0,0.0
Bus15,Bus16,5000.0,0.0,0.0,0.0
Bus16,Bus17,5000.0,0.0,0.0,0.0
Bus17,Bus18,5000.0,0.0,0.0,0.0
Bus18,Bus19,5000.0,41.33015762173312,1831.5578542301594,0.3663115708460319
Bus19,Bus20,5000.0,0.0,0.0,0.0
Bus1,Bus6,1500.0,4793.630904121664,8407.535888879274,5.605023925919516
Bus2,Bus7,1500.0,4598.619840953635,7489.303512169242,4.9928690081128275
Bus3,Bus8,1500.0,1843.6592148334967,6762.389052930645,4.50825936862043
Bus4,Bus9,1500.0,3560.4863883577077,8436.167653835682,5.624111769223788
Bus5,Bus10,1500.0,3181.6655487272656,6749.279333421351,4.499519555614234
