total_wind_mw,total_gas_mw,total_nuclear_mw,total_demand_mw,total_load_shed_mw,wind_available_mw,wind_curtailment_mw
14318.785027,8047.35656,2400.0,113235.03081712821,88468.8905,57500.0,43181.214973
13866.085253999998,8047.35656,2400.0,101604.81038085517,77291.36985000002,57500.0,43633.914746
13284.081078999996,8047.35656,2400.0,86308.16927158141,62576.7319,57500.0,44215.918921000004
12870.914069,8047.35656,2400.0,80522.35697790461,57204.085629999994,57500.0,44629.085931
13442.334292000001,8047.35656,2400.0,90165.30637495837,66275.6163,57500.0,44057.665708
14635.816339,8047.35656,2400.0,109380.90701161747,84297.7344,57500.0,42864.183661
14429.112597999998,8047.35656,2400.0,124989.68566055656,100113.2164,57500.0,43070.887402
14790.142023,8047.35656,2400.0,126516.00307208969,101278.50386999999,57500.0,42709.857977
14063.770021,8047.35656,2400.0,114156.67664708235,89645.5501,57500.0,43436.229978999996
13560.608764,8047.35656,2400.0,98623.42379830468,74615.45779,57500.0,43939.391235999996
13259.188064000002,8047.35656,2400.0,92979.1398988091,69272.5956,57500.0,44240.811936
14015.377514999998,8047.35656,2400.0,102684.2598795031,78221.5264,57500.0,43484.622485
14203.740934000003,8047.35656,2400.0,121432.36935956641,96781.27147,57500.0,43296.259066
15358.925889999999,8047.35656,2400.0,135946.04648064196,110139.7642,57500.0,42141.07411
15244.862530000002,8047.35656,2400.0,136081.209903101,110388.9909,57500.0,42255.13747
14810.282941,8047.35656,2400.0,122546.12188226433,97288.48190000001,57500.0,42689.717059
14047.369797000005,8047.35656,2400.0,106357.49615029007,81862.76969999999,57500.0,43452.63020299999
13866.434517,8047.35656,2400.0,100447.87932489335,76134.08862,57500.0,43633.565483
14215.93511,8047.35656,2400.0,109814.82762275719,85151.53619,57500.0,43284.06489
15055.355631000002,8047.35656,2400.0,127712.73677207026,102210.0242,57500.0,42444.644369
15636.215120000004,8047.35656,2400.0,140787.0447698484,114703.47209999998,57500.0,41863.78487999999
15080.795497,8047.35656,2400.0,139241.418137539,113713.2668,57500.0,42419.204503
14836.3848,8047.35656,2400.0,124296.19964579133,99012.4595,57500.0,42663.6152
14109.226144,8047.35656,2400.0,107258.94126429211,82702.3576,57500.0,43390.773856
13292.487895999999,8047.35656,2400.0,100914.75972337114,77174.91457899999,57500.0,44207.512104
13938.608547000003,8047.35656,2400.0,109792.26415792527,85406.29974999999,57500.0,43561.391453
14935.537935,8047.35656,2400.0,126716.98915249383,101334.09508,57500.0,42564.462065
14989.591988000004,8047.35656,2400.0,138276.68711117023,112839.7387,57500.0,42510.408012
15227.195284000001,8047.35656,2400.0,135036.95912951572,109362.40710000001,57500.0,42272.804716
14130.047335999998,8047.35656,2400.0,118728.58895188865,94151.18589,57500.0,43369.952664000004
13829.70955,8047.35656,2400.0,100933.81604945927,76656.74931,57500.0,43670.29045
13473.056458999998,8047.35656,2400.0,94271.85215084272,70351.4394,57500.0,44026.943541
13620.491098,8047.35656,2400.0,102795.33945361416,78727.4918,57500.0,43879.508902
14401.147403000003,8047.35656,2400.0,118910.26848501833,94061.7646,57500.0,43098.852597
14609.235390000007,8047.35656,2400.0,129164.62931452514,104108.03629999999,57500.0,42890.76460999999
14426.724105,8047.35656,2400.0,124498.03395960807,99623.9534,57500.0,43073.275895
14182.004963000001,8047.35656,2400.0,107147.77093531284,82518.4087,57500.0,43317.995037
13318.103737000001,8047.35656,2400.0,88952.68630676813,65187.22594999999,57500.0,44181.896263
12710.744573999998,8047.35656,2400.0,82346.34665525361,59188.2453,57500.0,44789.255426
13155.941709999997,8047.35656,2400.0,90897.631231448,67294.33200000001,57500.0,44344.05829
14060.059156,8047.35656,2400.0,106601.50580198779,82094.09060999998,57500.0,43439.940844
13850.719363999999,8047.35656,2400.0,115982.85213231116,91684.77662,57500.0,43649.280636
14183.616555999999,8047.35656,2400.0,110365.58823440973,85734.6148,57500.0,43316.383444
13480.936881,8047.35656,2400.0,92487.68307308482,68559.38970000001,57500.0,44019.063119
12446.603976,8047.35656,2400.0,74425.06130097854,51531.100699999995,57500.0,45053.396024
12735.16352,8047.35656,2400.0,68405.17651583963,45222.65640000001,57500.0,44764.83648
13053.821237,8047.35656,2400.0,77505.14232967069,54003.9652,57500.0,44446.178763
13155.178050000002,8047.35656,2400.0,93317.21351106753,69714.67940000001,57500.0,44344.82195
13793.385461999998,8047.35656,2400.0,102359.1715221246,78118.4303,57500.0,43706.614538
13792.361699999998,8047.35656,2400.0,96348.42516060165,72108.7076,57500.0,43707.638300000006
12906.928499999998,8047.35656,2400.0,78516.64012689084,55162.3555,57500.0,44593.071500000005
12318.278515000002,8047.35656,2400.0,61156.62351454551,38390.98833,57500.0,45181.721485
11874.346354000001,8047.35656,2400.0,56269.327285917825,33947.623884,57500.0,45625.653646
12425.230475000002,8047.35656,2400.0,66432.70145556775,43560.11345,57500.0,45074.769524999996
13269.785783999998,8047.35656,2400.0,82845.20399878778,59128.06186,57500.0,44230.214216
13874.748440000001,8047.35656,2400.0,92033.6861581989,67711.58249999999,57500.0,43625.25156
13427.912337000002,8047.35656,2400.0,86117.94812314054,62242.67929999999,57500.0,44072.087663
12655.134918999996,8047.35656,2400.0,68816.06177926637,45713.5697,57500.0,44844.865081
12182.057963000005,8047.35656,2400.0,52617.72243935958,29988.3078,57500.0,45317.94203699999
11617.804287,8047.35656,2400.0,49277.935345286154,27212.7747,57500.0,45882.195713
12247.562388,8047.35656,2400.0,60869.52900018201,38174.6101,57500.0,45252.437612
12845.98678,8047.35656,2400.0,78207.47610465092,54914.1332,57500.0,44654.01322
13745.964376999998,8047.35656,2400.0,87844.79651734792,63651.476200000005,57500.0,43754.035623
13294.092472000002,8047.35656,2400.0,82313.05079525964,58571.6017,57500.0,44205.907527999996
12391.388599000004,8047.35656,2400.0,65809.8663629549,42971.121849999996,57500.0,45108.611400999995
11553.887225,8047.35656,2400.0,51002.76627633094,29001.5223,57500.0,45946.112775
11702.807327999999,8047.35656,2400.0,49383.00170011338,27232.83817,57500.0,45797.192672000005
12411.990959000004,8047.35656,2400.0,62514.39617427728,39655.04865,57500.0,45088.009041
13198.966453000001,8047.35656,2400.0,80840.71314971327,57194.3905,57500.0,44301.033547
13575.496429000003,8047.35656,2400.0,90959.67878398545,66936.82571,57500.0,43924.503570999994
12967.974162999997,8047.35656,2400.0,85824.92187058723,62409.59141,57500.0,44532.025837
12619.792267,8047.35656,2400.0,70107.65485829388,47040.50662,57500.0,44880.207733
11809.373044000004,8047.35656,2400.0,56635.50363631498,34378.773527,57500.0,45690.62695599999
11925.078413000001,8047.35656,2400.0,56620.13790111875,34247.70308,57500.0,45574.921587
12524.462068000004,8047.35656,2400.0,71114.83016513872,48143.0119,57500.0,44975.53793199999
13514.506829999997,8047.35656,2400.0,90206.55415287826,66244.69015,57500.0,43985.49317
13577.495571000001,8047.35656,2400.0,100557.82680782868,76532.97579999999,57500.0,43922.504429
13447.979203,8047.35656,2400.0,95555.64859477608,71660.31235,57500.0,44052.020797
12812.535053,8047.35656,2400.0,80339.74298166155,57079.851899999994,57500.0,44687.464947
12506.953293,8047.35656,2400.0,67881.41898237847,44927.10910000001,57500.0,44993.046707
12432.730741000003,8047.35656,2400.0,69098.82128232636,46218.734249999994,57500.0,45067.26925899999
12829.320330000002,8047.35656,2400.0,84535.28396292054,61258.607800000005,57500.0,44670.67967
13816.614878999999,8047.35656,2400.0,103937.29134829603,79673.3204,57500.0,43683.385121
