snapshot,Bus1_Bus2,Bus2_Bus3,Bus3_Bus4,Bus4_Bus5,Bus6_Bus7,Bus7_Bus8,Bus8_Bus9,Bus9_Bus10,Bus10_Bus11,Bus11_Bus12,Bus12_Bus13,Bus13_Bus14,Bus14_Bus15,Bus15_Bus16,Bus16_Bus17,Bus17_Bus18,Bus18_Bus19,Bus19_Bus20,Bus1_Bus6,Bus2_Bus7,Bus3_Bus8,Bus4_Bus9,Bus5_Bus10
0,-1524.3385,-2500.0,-2163.5715,1589.6171,-2500.0,1883.0623,-2500.0,2081.2822,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,750.0,750.0,750.0,750.0,750.0
1,-1444.8072,-2500.0,-870.74695,1503.3811,-2500.0,1018.8457,-2500.0,1532.8856,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,2500.0,-2039.3352,2252.2598,-2500.0,750.0,750.0,750.0,750.0,750.0
2,-1340.2037,-2500.0,-2367.1378,1389.9593,-2500.0,2500.0,-42.815397,600.94723,-2500.0,-2500.0,-2500.0,-2500.0,2426.4145,-2500.0,2500.0,-1146.5841,1419.0699,-2500.0,750.0,750.0,750.0,750.0,750.0
3,-1300.6384,-2500.0,-567.05158,1347.0586,929.39327,-2500.0,2500.0,353.65528,-2500.0,2500.0,-2500.0,-2500.0,2047.1674,-2500.0,864.00019,-2500.0,-2500.0,-2500.0,750.0,750.0,750.0,750.0,750.0
4,-1366.5801,-2500.0,1511.1246,1418.5593,-2500.0,2500.0,-351.08106,784.74368,-2500.0,-2500.0,-2500.0,2500.0,-2015.0027,-2500.0,2500.0,2019.9188,-2500.0,-2500.0,750.0,750.0,750.0,750.0,750.0
5,-1497.9827,-2500.0,1077.3385,1561.0395,-2500.0,1528.825,-2500.0,1860.7186,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,2500.0,-2291.256,-2500.0,-2500.0,750.0,750.0,750.0,750.0,750.0
6,-1604.7207,-2165.0208,-345.25913,-1115.4664,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,750.0,750.0,750.0,750.0,750.0
7,-1615.1582,-2500.0,8.2380418,540.34113,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,750.0,750.0,750.0,750.0,750.0
8,-1530.641,-2500.0,392.12487,1253.9813,-2500.0,2500.0,-1968.7895,2126.3096,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,750.0,750.0,750.0,750.0,750.0
9,-1424.4195,-2500.0,-1070.1547,1481.2747,2500.0,-1968.1019,-2500.0,1261.371,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,1827.1478,-2500.0,1960.3734,-2500.0,750.0,750.0,750.0,750.0,750.0
10,-1385.822,-2500.0,-512.36701,663.0069,-2500.0,2500.0,2500.0,889.45812,-2500.0,-2500.0,-2500.0,2500.0,-2271.1038,-2500.0,1501.4648,-2500.0,1700.2069,-2500.0,750.0,750.0,750.0,750.0,750.0
11,-1452.1889,-2500.0,225.5249,716.65811,-2500.0,1301.8657,-2500.0,1370.0256,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,2068.1492,-2500.0,2500.0,-2165.3979,750.0,750.0,750.0,750.0,750.0
12,-1580.3946,-2500.0,-1836.2427,-481.53053,-2500.0,2445.3539,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,750.0,750.0,750.0,750.0,750.0
13,-1679.6439,-1768.2602,-495.29173,-2126.1532,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,750.0,750.0,750.0,750.0,750.0
14,-1680.5682,-2500.0,-1154.4769,-397.43794,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,750.0,750.0,750.0,750.0,750.0
