,Electricity [kW],Heat [mmBTU],Cooling Energy [Ton],PV Power Generation [kW],Greenhouse Gas Emission [Ton],Temperature [°F],Dew Point [°F],Humidity [%],Wind Speed [mph],Wind Gust [mph],Pressure [in],Precipitation [in]
Electricity [kW],1.0,-0.007165478203342706,-0.7148465041405204,-0.11882830926300171,0.831136005897237,-0.574439996093871,-0.556723494627915,-0.09388502631625412,0.015451889795223517,0.008495951134722766,-0.015680709022498452,
Heat [mmBTU],-0.007165478203342706,1.0,-0.2819572872794473,-0.7297590810563239,0.44594814405541927,0.46134008854473807,0.4442792376286575,0.0836730044405723,-0.0023909462463722955,0.010581858720494918,-0.10177508901362112,
Cooling Energy [Ton],-0.7148465041405204,-0.2819572872794473,1.0,0.5271733865313069,-0.8105370024740524,0.0014826601295728123,0.0005934230950102421,-0.010195747063135847,-0.028326354386650123,-0.024317283477485626,-0.0208871570237954,
PV Power Generation [kW],-0.11882830926300171,-0.7297590810563239,0.5271733865313069,1.0,-0.6446582844633763,-0.557705142550077,-0.5396857415186491,-0.1048078905706492,-0.006277402577019711,-0.01368130307627639,0.014435817936821336,
Greenhouse Gas Emission [Ton],0.831136005897237,0.44594814405541927,-0.8105370024740524,-0.6446582844633763,1.0,-0.14232416465648304,-0.13870375469418697,-0.01624013525189872,0.013475486768723963,0.013135764637506644,-0.03205167949837212,
Temperature [°F],-0.574439996093871,0.46134008854473807,0.0014826601295728123,-0.557705142550077,-0.14232416465648304,1.0,0.9698694726424476,0.1760219778303013,-0.004858761363322817,0.00686833079470677,0.044072505924890225,
Dew Point [°F],-0.556723494627915,0.4442792376286575,0.0005934230950102421,-0.5396857415186491,-0.13870375469418697,0.9698694726424476,1.0,0.37713379510326495,-0.0017970664260281905,0.009353577520611273,0.04570620560637145,
Humidity [%],-0.09388502631625412,0.0836730044405723,-0.010195747063135847,-0.1048078905706492,-0.01624013525189872,0.1760219778303013,0.37713379510326495,1.0,0.008613089265458205,0.008300627402750449,0.024893892006147486,
Wind Speed [mph],0.015451889795223517,-0.0023909462463722955,-0.028326354386650123,-0.006277402577019711,0.013475486768723963,-0.004858761363322817,-0.0017970664260281905,0.008613089265458205,1.0,0.8136956753379873,-0.39948747892715786,
Wind Gust [mph],0.008495951134722766,0.010581858720494918,-0.024317283477485626,-0.01368130307627639,0.013135764637506644,0.00686833079470677,0.009353577520611273,0.008300627402750449,0.8136956753379873,1.0,-0.32663601448819324,
Pressure [in],-0.015680709022498452,-0.10177508901362112,-0.0208871570237954,0.014435817936821336,-0.03205167949837212,0.044072505924890225,0.04570620560637145,0.024893892006147486,-0.39948747892715786,-0.32663601448819324,1.0,
Precipitation [in],,,,,,,,,,,,
