P_mw,I_mw_amp_nA,D_s_mw_exp,sqrt_D_ratio,freq_shift_proxy
0.0,0.0,100.0,1.0,0.0
0.02040816,2.85773803,99.96555237,0.9998277470144544,0.00017225298554557344
0.04081633,4.04081633,99.88725513,0.9994361166677939,0.0005638833322061387
0.06122449,4.94974747,99.78282278,0.9989135236846081,0.0010864763153919377
0.08163265,5.71447606,99.64829843,0.9982399432501186,0.0017600567498814446
0.10204082,6.38806117,99.49441822,0.9974688878356056,0.002531112164394389
0.12244898,7.0,99.3222791,0.9966056346419079,0.003394365358092122
0.14285714,7.56497728,99.13731067,0.995677210093713,0.0043227899062869835
0.16326531,8.09284713,98.94242671,0.9946980783634801,0.00530192163651988
0.18367347,8.59016994,98.73958297,0.9936779305690552,0.006322069430944821
0.20408163,9.06166058,98.52974471,0.9926215024368553,0.007378497563144681
0.2244898,9.51103601,98.31369853,0.9915326445962331,0.008467355403766863
0.24489796,9.94123006,98.09203829,0.9904142481305487,0.00958575186945132
0.26530612,10.35460675,97.86518943,0.9892683631350999,0.010731636864900085
0.28571429,10.75309989,97.63344443,0.9880963739939541,0.011903626006045886
0.30612245,11.13831958,97.39699898,0.9868991791464821,0.013100820853517936
0.32653061,11.51164078,97.15597213,0.9856772906484149,0.014322709351585083
0.34693878,11.8742578,96.91043373,0.9844309713230277,0.015569028676972296
0.36734694,12.22721636,96.66041868,0.9831603057487625,0.016839694251237547
0.3877551,12.57142857,96.40594036,0.9818652675392892,0.018134732460710845
0.40816327,12.90769231,96.14700201,0.980545776646863,0.019454223353136957
0.42857143,13.23671495,95.88360233,0.9792017275822179,0.020798272417782093
0.44897959,13.55912678,95.61573949,0.977833009720985,0.02216699027901503
0.46938776,13.87549008,95.34341343,0.9764395190179471,0.023560480982052878
0.48979592,14.18630837,95.06662679,0.9750211627959672,0.024978837204032822
0.51020408,14.4920399,94.78538512,0.9735778608822203,0.026422139117779686
0.53061224,14.79310345,94.4996971,0.9721095468104405,0.027890453189559516
0.55102041,15.08988542,94.20957473,0.9706161688844875,0.02938383111551246
0.57142857,15.3827453,93.91503335,0.9690976903800772,0.030902309619922796
0.59183673,15.67201931,93.61609178,0.9675540903742799,0.03244590962572014
0.6122449,15.95802331,93.3127724,0.9659853642783621,0.034014635721637876
0.63265306,16.24105541,93.00510117,0.9643915240710071,0.035608475928992855
0.65306122,16.52139866,92.69310771,0.9627725988518785,0.03722740114812151
0.67346939,16.79932309,92.37682529,0.9611286349391531,0.038871365060846874
0.69387755,17.07508725,92.05629079,0.959459695818433,0.040540304181566955
0.71428571,17.34893957,91.73154466,0.9577658620978302,0.04223413790216979
0.73469388,17.62112057,91.40263086,0.9560472313646434,0.043952768635356576
0.75510204,17.89186305,91.06959681,0.95430391809947,0.04569608190052998
0.7755102,18.16139318,90.73249335,0.9525360536483646,0.04746394635163542
0.79591837,18.42993055,90.39137467,0.9507437860433272,0.04925621395667279
0.81632653,18.69768922,90.04629821,0.9489272796689956,0.051072720331004406
0.83673469,18.96487772,89.69732458,0.9470867150372241,0.05291328496277592
0.85714286,19.23170001,89.34451744,0.9452222883533798,0.05477771164662015
0.87755102,19.49835537,88.98794346,0.9433342115072473,0.05666578849275272
0.89795918,19.76503831,88.62767222,0.9414227117506779,0.05857728824932207
0.91836735,20.03193944,88.26377613,0.9394880314831051,0.06051196851689489
0.93877551,20.29924533,87.89633036,0.9375304280928699,0.062469571907130095
0.95918367,20.56713933,87.52541277,0.935550173801491,0.06444982619850903
0.97959184,20.83580146,87.15110388,0.9335475557249346,0.06645244427506536
1.0,21.1054086,86.77348682,0.9315228758329019,0.06847712416709806
