metal,lattice_A,d_band_descriptor,adsorbate,E_ads_eV,n_slab_atoms,ads_height_A,surface_zmax_A
Ni,3.52,-1.3,O,-3.3196000000000003,12,1.5,14.064545895094966
Ni,3.52,-1.3,OH,-2.4871166264547546,12,1.5,14.064545895094966
Cu,3.61,0.15,O,-2.0308000000000006,12,1.5,14.168468943549097
Cu,3.61,0.15,OH,-1.7438115812764579,12,1.5,14.168468943549097
Rh,3.8,-1.0,O,-3.1,12,1.5,14.387862045841155
Rh,3.8,-1.0,OH,-2.380049937329246,12,1.5,14.387862045841155
Pd,3.89,-0.45,O,-2.6212000000000004,12,1.5,14.491785094295288
Pd,3.89,-0.45,OH,-2.1127075740215786,12,1.5,14.491785094295288
Ir,3.84,-0.9,O,-3.0172000000000003,12,1.5,14.434050067376326
Ir,3.84,-0.9,OH,-2.336455968371034,12,1.5,14.434050067376326
Pt,3.92,-0.35,O,-2.5366,12,1.5,14.526426110446666
Pt,3.92,-0.35,OH,-2.067378703619932,12,1.5,14.526426110446666
