country,mangrove_area_km2,mean_tc_score,mean_tc_wind,tc_points,mean_slr_ssp245,mean_slr_ssp370,mean_slr_ssp585,risk_ssp245,risk_ssp370,risk_ssp585
Mayotte,20.12582793705961,0.7128871640147885,43.442062671367935,533.0,8.700000000000001,12.4,13.700000000000001,0.748110248674061,0.8564435820073942,0.8564435820073942
Samoa,4.908738521234052,0.7534130282098895,47.190705109414786,246.0,8.867266121431394,11.156379138670154,13.516747438509015,0.7560620242242276,0.8097381089941242,0.8431021339806959
Barbados,1.9634954084936207,0.6671073707374366,46.14493179321289,28.0,8.3,11.200000000000001,12.8,0.6918870187020517,0.8335536853687183,0.8335536853687183
Palau,15.21708941582556,0.7155018980596255,43.683925570515356,392.0,7.5465227112165545,10.558472192118446,12.81800799839679,0.653294508297859,0.7857419112762424,0.821617206960728
Comoros,1.4726215563702154,0.7366232714495501,45.63765260908338,28.0,6.41614693651421,9.080842530378119,10.4038831966867,0.5696572137676259,0.7194929577007293,0.7936352354486665
Belize,131.06331851694918,0.7393062270501969,47.99046083360388,3346.0,6.626938283759572,9.060281972676291,10.496916137063932,0.5654060853614922,0.7007689957674735,0.7849079851218742
Wallis and Futuna,1.9634954084936207,0.7811667416546796,49.75792360305786,96.0,5.174220404771315,7.3212637955671775,8.655824795030048,0.4884350712249494,0.6673553537912713,0.7785687704131772
American Samoa,2.454369260617026,0.7778074522276183,49.44718933105469,85.0,5.174220404771315,7.321263795567178,8.655824795030048,0.4867554265114188,0.6656757090777405,0.7768891256996464
Fiji,156.58875882736626,0.6898131068621606,44.330635582242024,3473.0,6.353975866329261,8.98643894328841,10.78345073291862,0.5410712089585188,0.7042519094679149,0.7743268208817177
Solomon Islands,181.62332528565992,0.6954884293421175,46.50142971414587,3739.0,6.073366881216445,8.269111120104325,10.160340800805061,0.5205247881057625,0.6894494206256985,0.7684257678913002
