hours,days,rmse_persist,rmse_ifs,rmse_mono,rmse_cascade,acc_persist,acc_ifs,acc_mono,acc_cascade
6,0.25,0.026139145404495173,0.022106315635600293,0.022267461275911473,0.021927342084524754,0.9996583725387613,0.9997556554045096,0.9997520800841629,0.9997595958345541
12,0.5,0.0341274157750502,0.024430942293104378,0.024787885846349455,0.024037495458863543,0.9994176597462584,0.9997015645293355,0.9996927803576342,0.9997110994060325
18,0.75,0.04449692544370555,0.026995728958561893,0.027588513597779543,0.02634721116993672,0.9990100118130286,0.9996356153089979,0.9996194369587326,0.9996529122317834
24,1.0,0.05791559183610908,0.029824539588114603,0.03069928375357734,0.0288746566988784,0.9983228921111366,0.9995552484191785,0.9995287769885086,0.999583127100261
30,1.25,0.07520974223840593,0.03294340079040428,0.034153046246164054,0.03163951173849238,0.9971717473362163,0.9994573661721814,0.9994167847160537,0.9994994706484749
36,1.5,0.09738172525422312,0.03638065152171367,0.03798577563728371,0.034663065394889336,0.9952583997932555,0.9993382240974278,0.999278540424617,0.9993992359487148
42,1.75,0.1256146846358037,0.040167092392985854,0.042236783429929925,0.03796831357141403,0.9921104755019238,0.9991933023443467,0.9991080270627466,0.9992792035822714
48,2.0,0.16125214785459674,0.044336131498918054,0.04694892335097424,0.04158005496113913,0.9869988724061396,0.9990171537218553,0.9988978992980921,0.9991355495147143
54,2.25,0.20573491810563155,0.04892392286795543,0.05216878268153631,0.045524983687378694,0.9788365717360346,0.9988032248856051,0.9986392090567633,0.9989637379301319
60,2.5,0.2604737605421625,0.0539694926881852,0.057946850953679026,0.049831776185314,0.9660767100345121,0.9985436469294899,0.998321081232276,0.9987583970411084
66,2.75,0.32663756604347255,0.0595148473810055,0.0643376553064645,0.054531169408392324,0.9466539502245981,0.9982289914706078,0.9979303330548333,0.9985131757814766
72,3.0,0.40484974143368835,0.06560505637033454,0.07139984950448847,0.059656026868760176,0.9180483434305379,0.9978479882893226,0.9974510307453682,0.9982205792291169
78,3.25,0.49481818788273435,0.07228830103608817,0.07919624109049392,0.0652413883821842,0.8775774804702235,0.997387200766658,0.9968639776985682,0.9978717806209825
84,3.5,0.5949787123377049,0.0796158798637178,0.08779373842182422,0.07132449868872263,0.8230001659324833,0.996830655836763,0.9961461297469602,0.9974564079434012
90,3.75,0.7022932273483198,0.08764215823872538,0.0972631965183274,0.077944809369583,0.7533921114103406,0.9961594260496291,0.9952699353015186,0.9969623033461696
96,4.0,0.8123707125787365,0.09642444973780044,0.10767913786747917,0.08514394769307962,0.670026912672158,0.9953511627463812,0.9942026016340582,0.9963752540856191
102,4.25,0.9200137599477471,0.10602281421290662,0.119119321795044,0.09296564522123023,0.5767873407534045,0.9943795814331877,0.9929052935875444,0.9956786944043001
108,4.5,1.0201163953261543,0.11649975655797702,0.1316641339969033,0.10145561822593255,0.47968126999338667,0.993213903360966,0.9913322779094228,0.9948533787651969
114,4.75,1.1086282949377886,0.12791980893225258,0.14539576670716223,0.11066139124421971,0.3854716518316659,0.991818261241368,0.9894300355118182,0.9938770282439469
120,5.0,1.1832159566199232,0.14034897857220924,0.16039716020966047,0.12063205450386791,0.30000000000000004,0.9901510821068688,0.9871363754983382,0.992723953713088
126,5.25,1.2433915134009685,0.15385404338040168,0.17675067853483073,0.13052969569636844,0.2269887722012245,0.9881644666677507,0.9843795988187385,0.9914809992707068
132,5.5,1.2901543068577912,0.1685016785005251,0.19453649684454277,0.14115747656845784,0.1677509322481462,0.9858035921712528,0.9810777756977266,0.9900372834044127
138,5.75,1.3253929719440414,0.18435739937414022,0.2138306858527344,0.15255542285917806,0.12166673496067082,0.9830061746480019,0.9771382188938746,0.9883634214781287
144,6.0,1.3513112974663792,0.2014843106463988,0.23470299028970404,0.16476342303034563,0.08697888866986536,0.9797020362816727,0.9724572531745356,0.9864265072156617
150,6.25,1.3700254563298186,0.21994165606183896,0.25721431439997766,0.177820769217672,0.0615151245041361,0.9758128339643879,0.9669203982338748,0.9841898870174177
156,6.5,1.3833539983450573,0.23978317244193081,0.2814139480225754,0.19176562837651975,0.043165857631371485,0.9712520151068417,0.9604030949291736,0.9816129718866793
162,6.75,1.3927527838158884,0.26105526114773403,0.30733659178267675,0.20663444213172066,0.03011984158654657,0.9659250753135442,0.9527721096757041,0.9786511036624563
168,7.0,1.399333423762693,0.28379500313466893,0.3349992685840616,0.22246125582526538,0.02093298457028958,0.9597301980978966,0.9438877450240719,0.975255494828323
174,7.25,1.4039177636090638,0.30802805860776145,0.36439823943943217,0.2392769797443768,0.014507456511462347,0.9525593575551667,0.9336069615467211,0.9713732634822045
180,7.5,1.407100131145987,0.33376650889124365,0.3955060723470619,0.25710858851815455,0.01003461046447307,0.9442999587712757,0.9217874733683004,0.9669475868551012
186,7.75,1.4093038326169867,0.3610067155781964,0.42826904016132267,0.275978268174982,0.006931353685536212,0.9348370756537216,0.9082928146196497,0.9619179977475688
192,8.0,1.4108272217107392,0.38972728906207177,0.46260504319610224,0.2959025242956226,0.004783275239978457,0.9240563200801641,0.8929982870047661,0.9562208480577392
198,8.25,1.4118790699812982,0.4198872735116377,0.49840226020375517,0.31689126896858566,0.0032987458743722886,0.9118473387714816,0.8757975935118941,0.9497899618257397
204,8.5,1.412604739003464,0.4514246662450585,0.5355187230825029,0.33894690868730587,0.00227392567247775,0.8981078853527688,0.8566098486140428,0.9425574965456596
210,8.75,1.4131050933144922,0.48425539412264007,0.573782982770375,0.36206345969324794,0.00156699762432011,0.8827483566315633,0.8353865443415658,0.934455025577478
216,9.0,1.413449956358739,0.5182728659118289,0.6129959846347992,0.3862257212743046,0.0010796104347393642,0.8656966182297697,0.8121179614108065,0.9254148461130716
222,9.25,1.4136875847884154,0.5533482058678513,0.6529342021965239,0.41140854082955375,0.0007437063075483863,0.846902881531415,0.7868384638009944,0.9153715062662487
228,9.5,1.4138512925616993,0.5893312490544681,0.6933539923066101,0.43757620672859826,0.0005122612608061683,0.8263443394439502,0.7596301206762426,0.9042635316525055
234,9.75,1.4139640602036556,0.6260523433415298,0.7339970402127897,0.46468200573473156,0.00035281822619648295,0.8040292316982897,0.7306241724794322,0.8920353167731735
240,10.0,1.4140417316366927,0.66332495807108,0.7745966692414836,0.4926679806593716,0.00024299059495180853,0.7799999999999999,0.6999999999999997,0.8786391304165085
246,10.25,1.4140952264528026,0.7009490480643872,0.8148847084251395,0.5199881545174626,0.00016734526169848163,0.7543352160088147,0.6679814559874377,0.8648061595807617
252,10.5,1.4141320685097738,0.7387150682647408,0.8545985532992835,0.547968479582452,0.00011524640613425063,0.7271500239593097,0.634830656349386,0.8498652726920479
258,10.75,1.4141574410236375,0.7764084841197916,0.8934880289264988,0.5765317978988175,7.936599873858974e-05,0.6985949328934037,0.6008395710825201,0.8338055430057785
264,11.0,1.4141749143057671,0.8138145813282942,0.931321674565923,0.60559307038102,5.4655874138109795e-05,0.6688529136087267,0.5663199692418626,0.8166285165532445
270,11.25,1.4141869474613273,0.8507233508153529,0.9678921157890015,0.6350602072182784,3.7638815006513227e-05,0.638134890188749,0.5315924260967451,0.7983492666039387
276,11.5,1.4141952341395692,0.8869342144331466,1.0030202665783001,0.664835095849854,2.59198684645634e-05,0.6066738496339286,0.49697517241659783,0.7789971476631578
282,11.75,1.4142009407549156,0.9222603656012571,1.0365582011831131,0.6948148071633927,1.784958395578684e-05,0.5747179090205178,0.46277354778001434,0.7586161918732487
288,12.0,1.4142048705941195,0.956532526259862,1.0683906409892463,0.7248929520466844,1.2291993934931966e-05,0.5425227631034633,0.42927071912329373,0.7372651040365217
294,12.25,1.4142075768547748,0.9896019641827734,1.0984351029010269,0.7549611527823883,8.464783273098853e-06,0.5103439762427985,0.39672016235740526,0.7150168288947436
300,12.5,1.414209440501305,1.0213426681182174,1.1266408420446097,0.7849105875803402,5.829198492901533e-06,0.47842957714058043,0.3653402065185064,0.6919576847521426
306,12.75,1.4142107238859296,1.0516526365382708,1.152986785577743,0.8146335622813142,4.014223017434482e-06,0.4470133660310519,0.33531073614155193,0.668186079602428
312,13.0,1.414211607677148,1.0804542929410927,1.1774786925836715,0.8440250612993175,2.764355608197988e-06,0.41630926043258165,0.30677196425572373,0.6438108479493416
318,13.25,1.4142122162915582,1.1076940912998905,1.2001457878022326,0.87298423038649,1.9036458593912897e-06,0.38650690004965493,0.2798250440102793,0.6189492667482539
324,13.5,1.4142126354078788,1.1333414153715684,1.2210371077130253,0.9014157468013,1.31092635102803e-06,0.35776861810178506,0.25453419079390494,0.5937248257093273
330,13.75,1.4142129240281112,1.15738690286422,1.240217771548485,0.9292310377357794,9.027559298990795e-07,0.33022777853918417,0.23092993956765495,0.5682648392542433
336,14.0,1.4142131227834818,1.1798403393751986,1.2577653532278406,0.9563493150318819,6.216734963482295e-07,0.3039883867915081,0.2090131581098228,0.5426979938190251
342,14.25,1.4142132596543133,1.200728268539542,1.2737664887545648,0.9826984027722222,4.281089608371147e-07,0.2791258125650168,0.1887594660629336,0.5171519245944617
348,14.5,1.4142133539089867,1.2200914560757998,1.2883138121525812,1.0082153436616805,2.948127475477236e-07,0.2556884194054173,0.17012376070844182,0.4917509104025797
354,14.75,1.4142134188164814,1.2379823291117409,1.3015032750805107,1.0328467795926244,2.0301969960723198e-07,0.23369987640353462,0.15304461247735224,0.46661376494257234
360,15.0,1.4142134635143466,1.2544624912042683,1.3134318730613732,1.0565491108097282,1.3980737789687225e-07,0.21316192908079046,0.13744835741324646,0.4418519882235863
