channel,idx,rmse_t0_vs_t6_fc,mae_t0_vs_t6_fc,corr_t0_t6,rmse_t_neg6_vs_t0
Z50,0,14.1417,11.2755,0.002198332726963199,14.165381
Z100,1,14.130997,11.268953,0.008483364540891549,14.167107
Z150,2,14.116963,11.234684,-0.0003439149767933265,14.099778
Z200,3,14.110382,11.26468,0.0028611653227591572,14.070955
Z250,4,14.152857,11.286759,-0.00018866148094288083,14.158698
Z300,5,14.1002865,11.2305765,0.001027925942395195,14.149142
Z400,6,14.103637,11.2562275,6.361872432588384e-05,14.136598
Z500,7,14.1536045,11.297125,-0.0034369312504200617,14.129984
Z600,8,14.148079,11.278344,-0.0008464799515617311,14.136543
Z700,9,14.15451,11.282967,0.0023418428130263635,14.233867
Z850,10,14.1349,11.293761,0.005443565283821116,14.136282
Z925,11,14.120553,11.254727,-0.0018198837206767804,14.22705
Z1000,12,14.170846,11.292407,0.0015055892308334232,14.20794
T50,13,14.13047,11.268751,-0.0022488858387318886,14.173394
T100,14,14.1546545,11.284161,-0.0027638975566639584,14.090016
T150,15,14.12219,11.264323,0.0008215098368917997,14.13217
T200,16,14.207846,11.332034,-0.0012925676392054482,14.191801
T250,17,14.0659895,11.230937,0.003964655043484586,14.094958
T300,18,14.129458,11.284784,0.001073195576531269,14.133449
T400,19,14.170114,11.301249,0.0036430320319211307,14.1842785
T500,20,14.167526,11.3103695,-0.002685499092881012,14.151914
T600,21,14.094066,11.26239,-3.0317022461399112e-05,14.171707
T700,22,14.116607,11.256915,-0.0035143376483995604,14.124378
T850,23,14.0973015,11.247474,0.004247252548903548,14.10705
T925,24,14.233367,11.3560915,-0.006281327966224808,14.221211
T1000,25,14.114064,11.247669,0.0037683041963603335,14.143874
U50,26,14.118024,11.287296,0.007412714850604159,14.157471
U100,27,14.085754,11.232523,0.009592708849947288,14.1174965
U150,28,14.094799,11.250529,0.002647028755872926,14.134283
U200,29,14.154563,11.271312,0.00024847234779003485,14.115561
U250,30,14.167273,11.306476,-0.006138697369622327,14.070412
U300,31,14.093092,11.215377,0.0038185080396579214,14.147458
U400,32,14.118313,11.282408,-0.00014165055276825692,14.118879
U500,33,14.029437,11.217474,0.009244195881850433,14.122363
U600,34,14.213681,11.34591,-0.004650699918510129,14.130492
U700,35,14.159899,11.296301,-0.005207253804557703,14.139438
U850,36,14.15127,11.304993,0.00133323885048389,14.135282
U925,37,14.139536,11.273893,-0.0012492761872549155,14.101086
U1000,38,14.175786,11.320117,-0.0007968433919956142,14.108235
V50,39,14.097703,11.241471,0.0061815613063782434,14.097559
V100,40,14.115312,11.250103,0.0008316263060862089,14.188179
V150,41,14.122976,11.247425,-0.00041046638671360424,14.159399
V200,42,14.160141,11.299339,-0.0013222800034557935,14.172553
V250,43,14.111673,11.254067,0.0028090374693276587,14.184612
V300,44,14.139424,11.264215,0.0010544291417704764,14.185549
V400,45,14.113316,11.251269,0.0032826290065827456,14.115852
V500,46,14.184143,11.312976,0.002757584189267995,14.206121
V600,47,14.160203,11.301864,-0.002314789409373585,14.149333
V700,48,14.120607,11.247741,0.004383509063613611,14.128411
V850,49,14.118668,11.2775955,-0.0013223175036765134,14.187727
V925,50,14.097493,11.244932,0.002689898825555408,14.129169
V1000,51,14.132819,11.290636,0.00027359261325112194,14.169573
R50,52,14.18476,11.325324,-0.002870328868071942,14.161237
R100,53,14.195806,11.334342,-0.004848410251225574,14.175099
R150,54,14.202067,11.322159,-0.006330051116270148,14.214163
R200,55,14.061333,11.216832,0.006494163743661617,14.071924
R250,56,14.130362,11.252764,0.0007982676810160718,14.091719
R300,57,14.123045,11.26372,0.005980432357531085,14.175554
R400,58,14.090545,11.25337,0.008976546786392184,14.1312895
R500,59,14.143079,11.292272,0.0006711690258664187,14.151006
R600,60,14.098051,11.2495575,0.009940194658840955,14.203118
R700,61,14.205899,11.330129,-0.002022071363304569,14.201922
R850,62,14.131276,11.292055,-0.002912083429896713,14.129227
R925,63,14.073637,11.2263975,0.007191733142341443,14.059259
R1000,64,14.094761,11.217353,0.002713372730450682,14.150743
T2M,65,14.160837,11.321,-0.007876013115993454,14.09019
U10,66,14.200124,11.347091,-0.004829569673718639,14.140726
V10,67,14.104769,11.264086,-0.0011682422934963033,14.07191
MSL,68,14.172306,11.306647,-0.003218793168923091,14.137006
TP,69,8.521091,6.6156845,0.002771890318203165,8.514337
