sample,rmsd
0,0.7041895614958882
1,0.7670967222670028
2,0.979983607159015
3,1.13869229957557
4,1.2361654795670731
5,1.3385499686630782
6,1.6244393531236028
7,1.5745539225316103
8,1.8104920900856263
9,1.8621591956930108
10,2.1139190972250623
11,2.1669288313295496
12,2.319767549568733
13,2.5324548406929104
14,2.774756274850448
15,2.73767078946662
16,2.948497517416586
17,2.919705242586883
18,3.190963150792229
19,3.241406412863679
20,3.4204889365312328
21,3.602515679635714
22,3.6073713041284696
23,3.967749690254737
24,3.750982461992528
25,3.99694987803433
26,4.346503687819457
27,4.620189013548794
28,4.341153265432259
29,4.811367474350507
30,4.7609827039648644
31,4.851725462505248
