family,map,n_agents,seed,pp_success,pp_time_s,pp_soc,pp_makespan,lnspp_success,lnspp_time_s,lnspp_iters,lnspp_soc,lnspp_makespan,hybrid_success,hybrid_time_s,hybrid_train_s,hybrid_iters,hybrid_soc,hybrid_makespan,hybrid_qsize,wall_s,cumulative_min
random_small_10x10,eval_map_1.npy,15,1254193859,True,0.004748344421386719,131.0,19.0,True,0.011447906494140625,3,135.0,19.0,True,0.11519765853881836,0.18393969535827637,8,132.0,20.0,454,0.3223719596862793,0.005391061305999756
random_small_10x10,eval_map_10.npy,15,1853527363,False,0.028923511505126953,,,True,0.007372856140136719,3,116.0,15.0,True,0.18237090110778809,0.03551054000854492,9,126.0,14.0,491,0.26045918464660645,0.012882904211680094
random_small_10x10,eval_map_100.npy,15,1484913120,True,0.002069234848022461,77.0,12.0,True,0.004405975341796875,2,77.0,12.0,True,0.08546924591064453,0.02000594139099121,7,76.0,12.0,508,0.11862969398498535,0.01486588716506958
random_small_10x10,eval_map_11.npy,15,1232939795,True,0.003403186798095703,142.0,17.0,True,0.22439908981323242,7,159.0,23.0,True,0.15720558166503906,0.03947114944458008,8,146.0,17.0,554,0.4314584732055664,0.022061661879221598
random_small_10x10,eval_map_1.npy,25,801744351,True,0.015442848205566406,316.0,23.0,False,4.01694917678833,160,,,True,0.3468587398529053,0.43506813049316406,12,301.0,31.0,595,4.8251953125,0.10248921712239584
random_small_10x10,eval_map_10.npy,25,1945072801,False,0.047051191329956055,,,False,4.020256757736206,147,,,False,4.0234596729278564,0.0757913589477539,146,,,630,8.172675609588623,0.24606947104136148
random_small_10x10,eval_map_100.npy,25,754115966,False,0.02138495445251465,,,True,0.14839792251586914,7,212.0,16.0,True,0.2803380489349365,0.06402087211608887,11,230.0,19.0,643,0.5237972736358643,0.2548054615656535
random_small_10x10,eval_map_11.npy,25,1225146346,False,0.05071568489074707,,,False,4.03321099281311,132,,,False,4.050111770629883,0.07438492774963379,93,,,658,8.214316606521606,0.3917158246040344
random_small_10x10,eval_map_1.npy,35,1437284735,False,0.07672643661499023,,,False,4.013498544692993,124,,,False,4.028919458389282,0.5979113578796387,137,,,619,8.725627422332764,0.5371505538622539
random_small_10x10,eval_map_10.npy,35,2036618239,False,0.052988290786743164,,,False,4.0410590171813965,80,,,False,4.018727779388428,0.1036832332611084,67,,,651,8.224226951599121,0.6842972079912821
random_small_10x10,eval_map_100.npy,35,1401161131,False,0.02124166488647461,,,True,0.21801471710205078,10,311.0,17.0,True,0.34888601303100586,0.08912324905395508,15,320.0,20.0,665,0.6907336711883545,0.6958153009414673
