block,host,method,anchor,z,weight_on_aH,info_share
primary,NGC1309,Cepheid,N4258,,-0.050101561141285576,0.0013889340829565013
primary,NGC1365,Cepheid,N4258,,-0.03236165909817648,0.0008106596833511284
primary,NGC1448,Cepheid,N4258,,-0.08916799343619765,0.005178897149553074
primary,NGC1559,Cepheid,N4258,,-0.12772712573293182,0.01514584805868326
primary,M101,Cepheid,N4258,,-0.15258787580916486,0.02613043108193479
primary,NGC1316,TRGB,N4258,,-0.0672992941191176,0.0023393325303899073
primary,NGC1365,TRGB,N4258,,-0.018381484040242205,0.00013167469218740047
primary,NGC5643,TRGB,N4258,,-0.08570593866451734,0.004414101692207171
primary,M101,TRGB,N4258,,-0.09482736013502371,0.006329314405398604
primary,NGC1309,Cepheid,LMC,,-0.12756448646305013,0.00837266750418626
primary,NGC1365,Cepheid,LMC,,-0.15427522136029395,0.01736138320726346
sneia_cal,NGC1309,,,,0.17766604760433566,0.0881952056968871
sneia_cal,NGC1365,,,,0.20501836449871252,0.08155660382909642
sneia_cal,NGC1448,,,,0.08916799343619759,0.022215397212722834
sneia_cal,NGC1559,,,,0.12772712573293163,0.04558294431741299
sneia_cal,M101,,,,0.2474152359441883,0.26724463889427047
sneia_cal,NGC1316,,,,0.06729929411911764,0.006456557783876152
sneia_cal,NGC5643,,,,0.08570593866451737,0.014252643908393385
sbf_cal,NGC1399,,,,-3.157675718779698e-17,3.4824201216728193e-34
sbf_cal,NGC1404,,,,-3.157675718779698e-17,3.4824201216728193e-34
sbf_cal,NGC4472,,,,-5.8844519923417e-18,9.912845235916358e-36
hf_sneia,,,,0.034,-0.127341575621666,0.017598021788557603
hf_sneia,,,,0.042,-0.1880395251486116,0.05666313916606339
hf_sneia,,,,0.055,-0.22869525464175894,0.10193531122417114
hf_sneia,,,,0.068,-0.25540818663471826,0.1419899592423339
hf_sneia,,,,0.082,-0.20051545795324532,0.06870633284810308
hf_sbf,,,,0.023,8.37086980895771e-18,1.7055207545202306e-35
hf_sbf,,,,0.031,1.201411653097043e-17,3.89096116363724e-35
hf_sbf,,,,0.045,2.086435882662128e-17,1.1171449882685883e-34
