name,n_obs,n_par,H0,sigma_H0,chi2,dof,chi2_red
baseline,29,12,107.660205063742,2.8148372995006476,182.26188001290814,17,10.721287059582831
only_N4258,27,12,113.19628815457581,3.3017897110178698,143.0756622008984,15,9.538377480059893
only_LMC,15,7,91.2174501315079,3.938539974058534,77.93946608326061,8,9.742433260407577
N4258+LMC,29,12,107.660205063742,2.8148372995006476,182.26188001290814,17,10.721287059582831
Cepheids_only,23,10,104.27605078900355,2.952815506872772,161.54405480350343,13,12.426465754115648
TRGB_only,19,9,119.68013257635198,4.723620159606914,52.279383502858636,10,5.227938350285863
SNeIa_only,23,9,107.66020506374255,2.8148372995006614,182.12628609026112,14,13.009020435018652
drop_M101,26,11,105.09980755800008,2.88758134337889,173.21624577550386,15,11.547749718366925
drop_NGC1309,26,11,117.83658721290355,3.2556910518751456,56.138080161913265,15,3.7425386774608844
drop_NGC1316,27,11,108.14893017352924,2.8615789202831303,181.0201396619707,16,11.313758728873168
drop_NGC1365,25,11,106.18173845039257,2.969804709894352,179.95059312673953,14,12.85361379476711
drop_NGC1448,27,11,107.45799658181691,2.851377919282698,182.08952146240367,16,11.38059509140023
drop_NGC1559,27,11,105.73850522928204,2.8273161161967484,171.9211287416036,16,10.745070546350226
drop_NGC5643,27,11,105.56385588913294,2.804020438370465,164.65853792184393,16,10.291158620115246
