rep,cell_ids,num_presented_peptides,num_mutations
0,0,27,4
0,1,19,4
0,2,20,3
0,3,30,5
0,4,30,4
0,5,19,5
0,6,33,5
0,7,27,5
0,8,25,4
0,9,26,4
0,10,22,4
0,11,29,3
0,12,31,5
0,13,32,4
0,14,26,3
0,15,25,4
0,16,22,5
0,17,25,4
0,18,18,3
0,19,36,4
0,20,24,3
0,21,23,1
0,22,21,3
0,23,28,4
0,24,24,3
0,25,36,4
0,26,26,5
0,27,31,2
0,28,24,2
0,29,34,5
0,30,25,4
0,31,31,5
0,32,32,5
0,33,27,4
0,34,32,5
0,35,28,6
0,36,31,4
0,37,26,3
0,38,33,4
0,39,23,4
0,40,25,3
0,41,32,4
0,42,35,5
0,43,14,2
0,44,28,5
0,45,33,4
0,46,28,6
0,47,34,3
0,48,29,4
0,49,25,5
0,50,22,4
0,51,32,6
0,52,22,3
0,53,19,5
0,54,29,6
0,55,25,4
0,56,33,5
0,57,27,6
0,58,19,1
0,59,37,3
0,60,31,5
0,61,28,4
0,63,18,2
0,64,26,3
0,65,27,3
0,66,31,4
0,67,23,3
0,68,30,7
0,69,28,3
0,70,23,3
0,71,30,3
0,72,29,3
0,73,34,6
0,74,27,4
0,75,36,4
0,76,31,3
0,77,30,3
0,78,26,3
0,79,31,6
0,80,32,4
0,81,25,7
0,82,29,5
0,83,30,4
0,84,30,7
0,85,27,5
0,86,29,4
0,87,28,4
0,88,32,4
0,89,31,3
0,90,32,4
0,91,33,4
0,92,32,3
0,93,29,7
0,94,30,3
0,95,32,3
0,96,34,4
0,97,22,2
0,98,20,5
0,99,31,6
1,0,33,4
1,1,25,3
1,2,22,3
1,3,36,5
1,4,36,5
1,5,26,3
1,6,28,4
1,7,23,4
1,8,31,6
1,9,29,3
1,10,30,4
1,11,18,5
1,12,42,3
1,13,30,4
1,14,31,3
1,15,29,5
1,16,24,4
1,17,28,2
1,18,27,5
1,19,36,5
1,20,24,4
1,21,22,4
1,22,28,3
1,23,26,3
1,24,29,3
1,25,34,4
1,26,35,3
1,27,21,4
1,29,20,1
1,30,29,6
1,31,38,5
1,32,28,5
1,33,20,2
1,34,33,6
1,35,31,5
1,36,32,4
1,37,30,5
1,38,22,5
1,39,31,4
1,40,34,5
1,41,31,4
1,42,37,6
1,43,23,4
1,44,35,3
1,45,30,5
1,46,36,3
1,47,25,4
1,48,36,4
1,49,26,3
1,50,35,6
1,51,28,5
1,52,37,5
1,53,29,4
1,54,25,5
1,55,26,2
1,56,37,5
1,57,19,6
1,58,26,6
1,59,25,4
1,60,28,4
1,61,34,4
1,62,25,4
1,63,28,6
1,64,37,7
1,65,37,3
1,66,28,2
1,67,35,4
1,68,30,4
1,69,29,3
1,70,29,3
1,71,26,4
1,72,38,3
1,73,23,4
1,74,23,4
1,75,25,2
1,76,32,6
1,77,25,2
1,78,25,3
1,79,30,6
1,80,37,4
1,81,19,5
1,82,21,5
1,83,32,5
1,84,34,4
1,85,28,5
1,86,34,3
1,87,23,4
1,88,40,3
1,89,29,4
1,90,28,5
1,91,31,6
1,92,23,4
1,93,26,1
1,94,36,6
1,95,32,5
1,96,29,5
1,97,14,3
1,98,29,5
1,99,24,7
2,0,35,4
2,1,32,3
2,2,28,6
2,3,41,5
2,4,25,5
2,5,28,2
2,6,30,3
2,7,27,3
2,8,20,5
2,9,29,5
2,10,32,4
2,11,30,4
2,12,26,6
2,13,24,5
2,14,29,5
