feature,importance_mean,importance_std
ambient_C,38.474149002915254,2.6143101521307317
current_A,0.07820969478809763,0.00928969587849837
h_W_m2K,0.0730471568487116,0.01743709907251602
aging_loss_frac,0.05536455091415031,0.010728464497346164
R_ohm_mOhm,0.04364924411977698,0.007254369721309532
C_th_JK,0.030484845051356464,0.009298593804951861
k_pos_1e-11,0.011812091807068787,0.0051171415710774895
R_s_neg_um,0.0023707708838817693,0.002000209891378498
nominal_capacity_Ah,0.0,0.0
k_neg_1e-11,-0.0006394119798173326,0.003119490220243771
dynamic_flag,-0.004151954965187991,0.0029712862308768104
R_s_pos_um,-0.004266983249507033,0.0026080433372667497
