dataset,source,cycle,key,n_points,capacity_Ah,duration_s,current_A,ambient_C,internal_resistance_ohm
CS2_36,CS2_36_1_10_11.xlsx,1,CS2_36:CS2_36_1_10_11.xlsx:cycle1,83,0.7491565870911311,2451.7841898261822,1.1000723838806152,25.0,0.10207654535770416
CS2_36,CS2_36_1_10_11.xlsx,2,CS2_36:CS2_36_1_10_11.xlsx:cycle2,82,0.7331979137024869,2399.610911603535,1.099981427192688,25.0,0.10298038274049759
CS2_36,CS2_36_1_10_11.xlsx,3,CS2_36:CS2_36_1_10_11.xlsx:cycle3,77,0.6951974197578319,2275.3068280198336,1.0998904705047607,25.0,0.1047929972410202
CS2_36,CS2_36_1_10_11.xlsx,4,CS2_36:CS2_36_1_10_11.xlsx:cycle4,76,0.6833738045737721,2236.61757866606,1.0998904705047607,25.0,0.10460212081670761
CS2_36,CS2_36_1_10_11.xlsx,5,CS2_36:CS2_36_1_10_11.xlsx:cycle5,79,0.7075062200559699,2315.546550354345,1.0998904705047607,25.0,0.10441193729639053
CS2_36,CS2_36_1_10_11.xlsx,6,CS2_36:CS2_36_1_10_11.xlsx:cycle6,79,0.7104221009186942,2325.0947083018445,1.0998904705047607,25.0,0.10388586670160294
CS2_36,CS2_36_1_10_11.xlsx,7,CS2_36:CS2_36_1_10_11.xlsx:cycle7,79,0.7104485468583883,2325.1894267142725,1.1000723838806152,25.0,0.10388586670160294
CS2_36,CS2_36_1_10_11.xlsx,8,CS2_36:CS2_36_1_10_11.xlsx:cycle8,75,0.6731725255869909,2203.2449861219498,1.0998904705047607,25.0,0.105605348944664
CS2_36,CS2_36_1_10_11.xlsx,9,CS2_36:CS2_36_1_10_11.xlsx:cycle9,73,0.6590181776391537,2156.9490249016776,1.0998904705047607,25.0,0.10774746537208557
CS2_36,CS2_36_1_10_11.xlsx,10,CS2_36:CS2_36_1_10_11.xlsx:cycle10,73,0.651425562444099,2132.1209812274433,1.0998904705047607,25.0,0.10703472793102264
CS2_36,CS2_36_1_10_11.xlsx,11,CS2_36:CS2_36_1_10_11.xlsx:cycle11,72,0.6422941992996014,2102.24627224043,1.0998904705047607,25.0,0.10865646600723267
CS2_36,CS2_36_1_10_11.xlsx,12,CS2_36:CS2_36_1_10_11.xlsx:cycle12,56,0.5007457215622679,1638.954756602224,1.0998904705047607,25.0,0.10875551402568817
CS2_36,CS2_36_1_10_11.xlsx,13,CS2_36:CS2_36_1_10_11.xlsx:cycle13,71,0.6359064833841419,2081.324967596934,1.0998904705047607,25.0,0.10784559696912766
CS2_36,CS2_36_1_10_11.xlsx,14,CS2_36:CS2_36_1_10_11.xlsx:cycle14,71,0.6351602178634312,2078.9028305862303,1.0998904705047607,25.0,0.10703472793102264
CS2_36,CS2_36_1_10_11.xlsx,15,CS2_36:CS2_36_1_10_11.xlsx:cycle15,73,0.656963963864241,2150.2166526785986,1.0998904705047607,25.0,0.10417074710130692
CS2_36,CS2_36_1_10_11.xlsx,16,CS2_36:CS2_36_1_10_11.xlsx:cycle16,74,0.6631537808653096,2170.5000328179462,1.0998904705047607,25.0,0.10612720251083374
CS2_36,CS2_36_1_10_11.xlsx,17,CS2_36:CS2_36_1_10_11.xlsx:cycle17,74,0.6666839294764557,2182.031523911903,1.0998904705047607,25.0,0.10612720251083374
CS2_36,CS2_36_1_10_11.xlsx,18,CS2_36:CS2_36_1_10_11.xlsx:cycle18,71,0.6338964461392926,2074.762527908017,1.0998904705047607,25.0,0.10651487857103348
CS2_36,CS2_36_1_10_11.xlsx,19,CS2_36:CS2_36_1_10_11.xlsx:cycle19,70,0.6253470900463682,2046.7938443227733,1.0998904705047607,25.0,0.10732797533273697
CS2_36,CS2_36_1_10_11.xlsx,20,CS2_36:CS2_36_1_10_11.xlsx:cycle20,70,0.6238615466678343,2041.9323176775192,1.0998904705047607,25.0,0.10794390738010406
CS2_36,CS2_36_1_10_11.xlsx,21,CS2_36:CS2_36_1_10_11.xlsx:cycle21,69,0.6173900877644112,2020.747307934776,1.0998904705047607,25.0,0.10784559696912766
CS2_36,CS2_36_1_10_11.xlsx,22,CS2_36:CS2_36_1_10_11.xlsx:cycle22,69,0.614921330051299,2012.6535427415251,1.0998904705047607,25.0,0.11027820408344269
CS2_36,CS2_36_1_10_11.xlsx,23,CS2_36:CS2_36_1_10_11.xlsx:cycle23,68,0.6073307148387599,1987.841656576776,1.0998904705047607,25.0,0.108854740858078
CS2_36,CS2_36_1_10_11.xlsx,24,CS2_36:CS2_36_1_10_11.xlsx:cycle24,69,0.6196702539735046,2028.2162948834016,1.0998904705047607,25.0,0.10875551402568817
CS2_36,CS2_36_1_10_11.xlsx,25,CS2_36:CS2_36_1_10_11.xlsx:cycle25,71,0.6353082057133594,2079.387430337919,1.0998904705047607,25.0,0.10865646600723267
CS2_36,CS2_36_1_10_11.xlsx,26,CS2_36:CS2_36_1_10_11.xlsx:cycle26,71,0.6399937024760192,2094.7174022448253,1.0998904705047607,25.0,0.10855759680271149
CS2_36,CS2_36_1_10_11.xlsx,27,CS2_36:CS2_36_1_10_11.xlsx:cycle27,72,0.6434961847920455,2106.171783296832,1.0998904705047607,25.0,0.10784559696912766
CS2_36,CS2_36_1_10_11.xlsx,28,CS2_36:CS2_36_1_10_11.xlsx:cycle28,68,0.6118719385020377,2002.700863407261,1.0998904705047607,25.0,0.10956712812185287
CS2_36,CS2_36_1_10_11.xlsx,29,CS2_36:CS2_36_1_10_11.xlsx:cycle29,67,0.6003409751854321,1964.95108270343,1.0998904705047607,25.0,0.10956712812185287
CS2_36,CS2_36_1_10_11.xlsx,30,CS2_36:CS2_36_1_10_11.xlsx:cycle30,67,0.6040536094559599,1977.107457705358,1.0998904705047607,25.0,0.10956712812185287
CS2_36,CS2_36_1_10_11.xlsx,31,CS2_36:CS2_36_1_10_11.xlsx:cycle31,67,0.600787187898419,1966.4196354687838,1.0998904705047607,25.0,0.10956712812185287
CS2_36,CS2_36_1_10_11.xlsx,32,CS2_36:CS2_36_1_10_11.xlsx:cycle32,67,0.5991067321306183,1960.9533001742805,1.0998904705047607,25.0,0.11027820408344269
CS2_36,CS2_36_1_10_11.xlsx,33,CS2_36:CS2_36_1_10_11.xlsx:cycle33,66,0.5923306394695587,1938.766063152781,1.0998904705047607,25.0,0.11027820408344269
CS2_36,CS2_36_1_10_11.xlsx,34,CS2_36:CS2_36_1_10_11.xlsx:cycle34,66,0.5869765471158175,1921.2489932447022,1.0998904705047607,25.0,0.11189994215965271
CS2_36,CS2_36_1_10_11.xlsx,35,CS2_36:CS2_36_1_10_11.xlsx:cycle35,65,0.5842782309048857,1912.4362677311144,1.0998904705047607,25.0,0.10946733504533768
CS2_36,CS2_36_1_10_11.xlsx,36,CS2_36:CS2_36_1_10_11.xlsx:cycle36,48,0.42884358266914546,1403.6636874155586,1.0998904705047607,25.0,0.11402101814746857
