location,financing,interest,eu_wacc,eu_lcoh
spain_solar,high_risk,low_rates,0.04,3.0
north_sea_wind,high_risk,low_rates,0.04,4.0
netherlands_mix,high_risk,low_rates,0.04,4.5
germany_mix,high_risk,low_rates,0.04,5.0
spain_solar,high_risk,moderate_rise,0.06,3.6661921369247863
north_sea_wind,high_risk,moderate_rise,0.06,4.888256182566382
netherlands_mix,high_risk,moderate_rise,0.06,5.499288205387179
germany_mix,high_risk,moderate_rise,0.06,6.110320228207977
spain_solar,high_risk,extreme_rise,0.08,4.390372126120366
north_sea_wind,high_risk,extreme_rise,0.08,5.853829501493821
netherlands_mix,high_risk,extreme_rise,0.08,6.585558189180548
germany_mix,high_risk,extreme_rise,0.08,7.317286876867276
spain_solar,moderate_derisk,low_rates,0.04,3.0
north_sea_wind,moderate_derisk,low_rates,0.04,4.0
netherlands_mix,moderate_derisk,low_rates,0.04,4.5
germany_mix,moderate_derisk,low_rates,0.04,5.0
spain_solar,moderate_derisk,moderate_rise,0.06,3.6661921369247863
north_sea_wind,moderate_derisk,moderate_rise,0.06,4.888256182566382
netherlands_mix,moderate_derisk,moderate_rise,0.06,5.499288205387179
germany_mix,moderate_derisk,moderate_rise,0.06,6.110320228207977
spain_solar,moderate_derisk,extreme_rise,0.08,4.390372126120366
north_sea_wind,moderate_derisk,extreme_rise,0.08,5.853829501493821
netherlands_mix,moderate_derisk,extreme_rise,0.08,6.585558189180548
germany_mix,moderate_derisk,extreme_rise,0.08,7.317286876867276
spain_solar,strong_derisk,low_rates,0.04,3.0
north_sea_wind,strong_derisk,low_rates,0.04,4.0
netherlands_mix,strong_derisk,low_rates,0.04,4.5
germany_mix,strong_derisk,low_rates,0.04,5.0
spain_solar,strong_derisk,moderate_rise,0.06,3.6661921369247863
north_sea_wind,strong_derisk,moderate_rise,0.06,4.888256182566382
netherlands_mix,strong_derisk,moderate_rise,0.06,5.499288205387179
germany_mix,strong_derisk,moderate_rise,0.06,6.110320228207977
spain_solar,strong_derisk,extreme_rise,0.08,4.390372126120366
north_sea_wind,strong_derisk,extreme_rise,0.08,5.853829501493821
netherlands_mix,strong_derisk,extreme_rise,0.08,6.585558189180548
germany_mix,strong_derisk,extreme_rise,0.08,7.317286876867276
