region_full,combined_gt,combined_mwe,glacier_area
Alaska,-61.411,-0.732,85059.88
Antarctic & Subantarctic,-17.819,-0.145,123539.737
Arctic Canada North,-30.427,-0.293,104154.49
Arctic Canada South,-23.01,-0.57,40495.475
Caucasus & Middle East,-0.737,-0.622,1203.094
Central Asia,-10.484,-0.218,48681.782
Central Europe,-1.972,-1.062,1916.9
Greenland Periphery,-35.437,-0.447,80888.847
Iceland,-8.295,-0.784,10542.392
Low Latitudes,-0.85,-0.421,2034.563
New Zealand,-0.833,-0.961,889.395
Northern Asia,-1.355,-0.576,2368.548
Russian Arctic,-16.018,-0.315,51137.99
Scandinavia,-1.668,-0.583,2869.377
South Asia East,-7.355,-0.527,14110.752
South Asia West,-5.611,-0.176,32117.862
Southern Andes,-26.283,-0.919,28793.334
Svalbard,-13.795,-0.418,33429.24
Western Canada & US,-9.244,-0.695,13661.274
