feature,mean_drop_auc,std_drop_auc
8,0.018957856132577434,0.0010656101761942459
6,0.018544878401728047,0.0011509896499286676
9,0.017596744601127968,0.000784710514716125
5,0.017226174336533395,0.0011377715499590634
7,0.016725355237256757,0.001928896260615651
0,0.010425884919587559,0.0005394178415365805
3,0.009850301644120795,0.0009150322712174424
1,0.009399698963034808,0.00033934082527315395
4,0.0090080557372352,0.0006984008120496424
2,0.008385506659933917,0.0005834110212714398
13,0.007290459945400962,0.000799065488351459
11,0.00714974935692918,0.000722733347338399
10,0.006792331011384522,0.0006574714568812711
18,0.006730382483586772,0.0002533603082640028
14,0.006200830924794865,0.0006675914936265637
19,0.006070582090112797,0.0007391514721533204
17,0.006048500316935224,0.0007967161901799634
16,0.005823161612985817,0.0006139882837104016
15,0.005545364686462273,0.00022000833900923594
12,0.0052364814058206925,0.000647232949645146
