region,total_gt,mean_annual_gt,total_mwe,mean_annual_mwe,mean_area_km2,years,rss_gt_error,rss_mwe_error
alaska,-1373.1199267722886,-59.700866381403856,-16.30991659026447,-0.7091268082723683,85268.02,23,163.84430477898255,1.882247015800014
greenland_periphery,-764.204687320582,-33.22629075306878,-9.523788353445154,-0.41407775449761536,81256.6869,23,164.6444547115362,1.8370307351506634
arctic_canada_north,-686.2186704554651,-29.835594367628918,-6.606850292887872,-0.28725436056034226,104191.27875,23,60.81942751269846,0.5727814697047987
southern_andes,-580.7506877335134,-25.250029901457104,-20.28136183656317,-0.8817983407201379,28819.819699999996,23,155.46191993373435,5.291753711759129
arctic_canada_south,-527.7567954318538,-22.945947627471902,-13.06932610015374,-0.5682315695719017,40511.8304,23,49.994477403392594,1.2159698157385914
antarctic_and_subantarctic,-367.5703712813615,-15.981320490493976,-2.98667917653492,-0.12985561637108348,123719.10705,23,198.58619216757901,1.497601276530078
russian_arctic,-350.34943991215266,-15.232584344006638,-6.889324106656956,-0.29953583072421547,51158.627199999995,23,50.46287612685847,0.9755914297256864
svalbard,-306.5976284333268,-13.330331671014209,-9.27861719160072,-0.4034181387652487,33473.3863,23,33.995867542057944,0.9959344362240888
central_asia,-211.5072008279747,-9.195965253390204,-4.383023451910676,-0.1905662370395946,48726.15490000001,23,64.18170098172507,1.302933421135556
iceland,-188.76308143011775,-8.20709049696164,-17.792060506774288,-0.7735678481206212,10562.3,23,29.431209125476425,2.658394073305673
western_canada_us,-188.56504024872447,-8.198480010814107,-14.05730387957213,-0.6111871251987883,13700.4892,23,24.303844834140918,1.6639401125040243
south_asia_east,-158.930728434869,-6.910031671081261,-11.321362613071972,-0.49223315709008575,14145.376699999999,23,27.417771083750416,1.8620037859659875
south_asia_west,-126.40844693252932,-5.496019431849101,-3.9620515666967986,-0.17226311159551297,32178.284799999998,23,38.86184998681156,1.1578092706754133
central_europe,-42.95471470141371,-1.8675962913658133,-22.884902748253143,-0.9949957716631801,1926.6274,23,2.25260457721747,1.0471360043230789
scandinavia,-36.87567977364483,-1.6032904249410798,-12.842587735425207,-0.5583733798010959,2873.35815,23,3.067490300488039,1.0231871328792264
north_asia,-30.1410158390683,-1.3104789495247087,-12.772953612578386,-0.5553458092425385,2373.7295,23,3.0402908196638445,1.2569549198940682
new_zealand,-18.693750275639896,-0.8127717511147781,-21.42648276812844,-0.9315862073099322,893.4037000000001,23,3.2277351733711868,2.775720851232853
low_latitudes,-18.09890673058038,-0.7869089882861036,-8.750280301697508,-0.3804469696390221,2048.4920500000003,23,3.1371221749831024,1.3377841996407327
caucasus_middle_east,-16.93874524465041,-0.7364671845500178,-14.26548127925738,-0.6202383164894513,1206.5570500000001,23,1.5714855743485858,1.1921284423600178
