year,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors,glacier_area,cumulative_gt,cumulative_gt_error_rss,cumulative_mwe,cumulative_mwe_error_rss
2000,-78.04414729402814,111.56095088251794,-0.1111786793375206,0.1583621138501352,704082.6956499998,-78.04414729402814,111.56095088251794,-0.1111786793375206,0.1583621138501352
2001,-215.16931097001844,95.3001011576375,-0.3075164866023069,0.1350498121659405,701805.4987500003,-293.2134582640466,146.7240779233849,-0.4186951659398275,0.20812739096317667
2002,-128.46636738674923,91.14634450070768,-0.1841997326262217,0.1289299604899674,699528.3018500003,-421.6798256507958,172.72987917065538,-0.6028948985660492,0.24482635801948197
2003,-192.6724697716301,72.79887688516011,-0.2771630264606625,0.1028951725208123,697251.1049500001,-614.3522954224259,187.44409202226115,-0.8800579250267117,0.2655698817809943
2004,-229.2369109878561,73.022158218317,-0.3308421919121849,0.1028436503023272,694973.9080500001,-843.589206410282,201.16541259597992,-1.2109001169388964,0.2847879536017608
2005,-315.0371756633185,74.19065798809451,-0.4561666396999292,0.1044578602427483,692696.71115,-1158.6263820736006,214.41030049327676,-1.6670667566388255,0.30334077055874337
2006,-279.8898739792978,72.77317030930298,-0.4066108567264724,0.1025138185768302,690419.51425,-1438.5162560528984,226.42374273579188,-2.073677613365298,0.3201947939651353
2007,-323.16570882967466,71.78509732133082,-0.4710335566158922,0.1010360421851532,688142.31735,-1761.681964882573,237.53065375213575,-2.5447111699811904,0.3357573348458906
2008,-178.6324817323364,71.86184704387401,-0.2612321087124307,0.1011209402057232,685865.12045,-1940.3144466149095,248.16312484427283,-2.805943278693621,0.35065429193281655
2009,-231.2381243724868,71.29354455724742,-0.3392890923913098,0.1001020384598227,683587.9235500002,-2171.5525709873964,258.20090245390384,-3.145232371084931,0.36466265308462387
2010,-231.1966727048064,72.2582027545506,-0.3403621001158775,0.101352981542154,681310.7266500002,-2402.749243692203,268.12115525136784,-3.4855944712008085,0.37848550490368976
2011,-365.9472468839626,68.11267549573648,-0.540545313270877,0.0950926143458494,679033.5297499998,-2768.6964905761656,276.63747117213825,-4.0261397844716855,0.3902484884343941
2012,-188.0208512243996,67.35045471659744,-0.2786624991943321,0.0941254547446842,676756.3328500001,-2956.717341800565,284.7180609077128,-4.304802283666017,0.401439265588486
2013,-304.73798136525033,66.47051377096227,-0.4531718327704068,0.0925856747213776,674479.1359500001,-3261.4553231658156,292.37425230006784,-4.757974116436424,0.41197765852025975
2014,-149.889416279315,65.94044282966604,-0.2236536803279121,0.0920570437100916,672201.9390499997,-3411.3447394451305,299.7179430874905,-4.981627796764336,0.4221375254777493
2015,-284.97423508815865,66.77259130583126,-0.4266624477275931,0.0932270670335857,669924.74215,-3696.3189745332893,307.0658306589839,-5.408290244491929,0.4323093527141902
2016,-340.6076946742656,68.35959222730513,-0.5116960211749099,0.0952916518024702,667647.5452499996,-4036.926669207555,314.58299097022905,-5.9199862656668385,0.44268710772667114
2017,-217.68675972042345,66.39070274109359,-0.3281507593734814,0.0924077513562398,665370.3483500001,-4254.613428927978,321.5123382052879,-6.24813702504032,0.45222899935554994
2018,-243.81282612823085,66.54077158950466,-0.3687965484035694,0.0924649491234518,663093.1514499999,-4498.426255056209,328.3258410511699,-6.616933573443889,0.46158513264025797
2019,-412.9645781490086,69.99144862252744,-0.6268117422048606,0.0969733224466875,660815.9545499999,-4911.390833205218,335.7032332019428,-7.2437453156487495,0.4716615947274844
2020,-405.0394156368366,76.20680182507151,-0.6169085501621713,0.1065416966938755,658538.75765,-5316.430248842054,344.2442990474115,-7.860653865810921,0.483545026936772
2021,-217.7163545547422,81.6846283807594,-0.3327506622695744,0.1151000186974428,656261.5607500002,-5534.146603396796,353.8029337644707,-8.193404528080496,0.49705513515045313
2022,-460.2989143829609,100.8285184125692,-0.7059556646949124,0.138700930079604,653984.3638500002,-5994.445517779757,367.88980152434266,-8.899360192775408,0.516044334708155
