N,d,r,fidelity,fidelity_std,n_samples,n_matched,experiment
40,18,10,0.5816726880606891,0.4000675633642882,20,20,depth_scan
40,18,11,0.7969210097934183,0.3238125068695188,20,20,depth_scan
40,18,12,0.1287450764471696,0.27024355466263383,20,20,depth_scan
40,18,13,0.0012197894480605598,0.28543393717943333,20,20,depth_scan
40,18,14,-0.012284015525214742,0.20130121350724528,20,20,depth_scan
40,18,15,0.4616579939905052,0.2131985238013637,20,20,depth_scan
40,18,16,0.09299343175588759,0.22754834747792677,20,20,depth_scan
40,18,17,0.016870903555427086,0.2068460051767769,20,20,depth_scan
40,18,18,0.5308268432821912,0.4301795521534365,20,20,depth_scan
40,18,19,0.09215691756921385,0.20100381969057474,20,20,depth_scan
40,18,1,0.3067743050053313,0.1981856504712741,20,20,depth_scan
40,18,20,-0.06384985309788438,0.1349729619501928,20,20,depth_scan
40,18,21,0.3760073463963729,0.2652442017892981,20,20,depth_scan
40,18,22,0.7491203139961224,0.3358530650151628,20,20,depth_scan
40,18,23,0.36945081537132696,0.2878650832758013,20,20,depth_scan
40,18,24,0.17324161514235215,0.1597070971576469,20,20,depth_scan
40,18,25,0.3278884105172588,0.29115457232496467,20,20,depth_scan
40,18,26,0.652314893349955,0.23720576204732202,20,20,depth_scan
40,18,27,0.5621746351207373,0.27619792469584603,20,20,depth_scan
40,18,28,0.5280397159365033,0.27862392346618803,20,20,depth_scan
40,18,29,-0.07160128716914083,0.21331626140245474,20,20,depth_scan
40,18,2,-0.10351164156767967,0.16039064300962033,20,20,depth_scan
40,18,30,0.23026249136884802,0.2919296262427143,20,20,depth_scan
40,18,31,0.216850217102998,0.3504069244802764,20,20,depth_scan
40,18,32,0.701225905483275,0.3284905478724474,20,20,depth_scan
40,18,33,-0.2630059146045478,0.1511011584296772,20,20,depth_scan
40,18,34,0.11518069076285808,0.20815920992954867,20,20,depth_scan
40,18,35,0.2586167020148378,0.2790002855927188,20,20,depth_scan
40,18,36,0.1377286943048619,0.267225347180548,20,20,depth_scan
40,18,37,0.08231209658202632,0.18625890185152866,20,20,depth_scan
40,18,38,-0.26032747889459673,0.13942816389284776,20,20,depth_scan
40,18,39,0.8103805469133221,0.3087358244111335,20,20,depth_scan
40,18,3,0.2906031227344448,0.22388977720635014,20,20,depth_scan
40,18,40,0.08564487500126572,0.3556222061927023,20,20,depth_scan
40,18,41,0.4660250710124363,0.2836520941678551,20,20,depth_scan
40,18,42,0.6894579271031511,0.4335969561124419,20,20,depth_scan
40,18,43,0.4970192770359343,0.22645308969627814,20,20,depth_scan
40,18,44,0.39385528564304306,0.23772303343653875,20,20,depth_scan
40,18,45,-0.375933952597056,0.1489914257955856,20,20,depth_scan
40,18,46,0.5291928091343734,0.33998067412594196,20,20,depth_scan
40,18,47,0.3373007385401747,0.20199475469670394,20,20,depth_scan
40,18,48,0.018021892887237767,0.26642121172068267,20,20,depth_scan
40,18,49,0.39902089113106687,0.2590663402523183,20,20,depth_scan
40,18,4,0.4895824022294275,0.2463910662070854,20,20,depth_scan
40,18,50,-0.1722804991167054,0.14024772484059317,20,20,depth_scan
40,18,5,0.12191817838298946,0.29595063369294505,20,20,depth_scan
40,18,6,0.3357023469960365,0.25916281567924665,20,20,depth_scan
40,18,7,0.0007581228935404916,0.1611428129395248,20,20,depth_scan
40,18,8,0.5576426819968279,0.2941672302647905,20,20,depth_scan
40,18,9,0.1167591444214966,0.23745529514793348,20,20,depth_scan
