N,d,r,fidelity,fidelity_std,n_samples,n_matched,experiment
40,12,10,0.30741609289758154,0.21964777806117045,20,20,depth_scan
40,12,11,0.5225619438540396,0.2864305160138132,20,20,depth_scan
40,12,12,-0.09829521054014623,0.1900698952994291,20,20,depth_scan
40,12,13,0.7877892269844913,0.30463262929862706,20,20,depth_scan
40,12,14,0.7429405372643665,0.3560256231339228,20,20,depth_scan
40,12,15,0.43425313963151857,0.2781243661615662,20,20,depth_scan
40,12,16,0.8793922553412543,0.40861837639963056,20,20,depth_scan
40,12,17,0.6587565000525015,0.39050714051022944,20,20,depth_scan
40,12,18,0.11500408259150996,0.2097119870469213,20,20,depth_scan
40,12,19,0.6368370909509822,0.3195166474054886,20,20,depth_scan
40,12,1,0.24805110243666784,0.19643237631934332,20,20,depth_scan
40,12,20,0.7851104084599203,0.34567534497151786,20,20,depth_scan
40,12,21,0.7113805183049327,0.40271652510069716,20,20,depth_scan
40,12,22,0.24679398763102545,0.25257563617753165,20,20,depth_scan
40,12,23,0.26111479764667145,0.198802025812671,20,20,depth_scan
40,12,24,0.4528280006720471,0.2675996299342426,20,20,depth_scan
40,12,25,0.29488575331273537,0.18797785363321076,20,20,depth_scan
40,12,26,0.8017617656522404,0.30240068425107036,20,20,depth_scan
40,12,27,0.5570383332017892,0.4423403600079065,20,20,depth_scan
40,12,28,0.3758175323989583,0.25631879939748137,20,20,depth_scan
40,12,29,0.7755516210976698,0.316820306850685,20,20,depth_scan
40,12,2,0.2528951275908322,0.2263423145600899,20,20,depth_scan
40,12,30,0.046535233402188014,0.2561623901901201,20,20,depth_scan
40,12,31,0.022415156636522715,0.18834219556299278,20,20,depth_scan
40,12,32,0.4229350379738892,0.3240573890993238,20,20,depth_scan
40,12,33,0.6285467795575923,0.3893922625450386,20,20,depth_scan
40,12,34,0.4870356663686237,0.2640964274373852,20,20,depth_scan
40,12,35,0.9028740946716123,0.3656991548044005,20,20,depth_scan
40,12,36,0.5393822251029401,0.2971998435838634,20,20,depth_scan
40,12,37,0.5784930266697679,0.3307366717910819,20,20,depth_scan
40,12,38,0.680278058899874,0.2854941771889351,20,20,depth_scan
40,12,39,1.047710856439985,0.2767947277918934,20,20,depth_scan
40,12,3,0.4001500737116628,0.39880428786667904,20,20,depth_scan
40,12,40,0.01634000832751248,0.19402455175746636,20,20,depth_scan
40,12,41,0.3282311652725838,0.2769717968811719,20,20,depth_scan
40,12,42,0.038207405776983006,0.1613709440086544,20,20,depth_scan
40,12,43,0.6564859013040134,0.28039935070378585,20,20,depth_scan
40,12,44,0.4810090878751021,0.28020329444625436,20,20,depth_scan
40,12,45,0.9644362436133171,0.37561799941443,20,20,depth_scan
40,12,46,0.573744212596603,0.33603362028288686,20,20,depth_scan
40,12,47,0.49509398891798506,0.3432138135972631,20,20,depth_scan
40,12,48,0.3604785851814718,0.18824698483516264,20,20,depth_scan
40,12,49,0.06345639357854926,0.2227857686101352,20,20,depth_scan
40,12,4,0.4146879548822471,0.257702108422284,20,20,depth_scan
40,12,50,-0.003796406273292474,0.18493216151053307,20,20,depth_scan
40,12,5,0.2896388989457177,0.2797358881646887,20,20,depth_scan
40,12,6,0.55454520505026,0.21903469678771006,20,20,depth_scan
40,12,7,-0.0362525913770686,0.18160859526863254,20,20,depth_scan
40,12,8,0.4080340955000521,0.23185973829156403,20,20,depth_scan
40,12,9,0.7340561911611228,0.31569223079173475,20,20,depth_scan
