N,d,r,fidelity,fidelity_std,n_samples,n_matched,experiment
40,10,10,0.4555652525773197,0.21816411011445225,20,20,depth_scan
40,10,11,0.07224683958642109,0.23272471868533154,20,20,depth_scan
40,10,12,0.43429692007246246,0.25800762536002764,20,20,depth_scan
40,10,13,0.6289718156862585,0.39464182031844564,20,20,depth_scan
40,10,14,0.22101591086483974,0.28400534633679536,20,20,depth_scan
40,10,15,0.422789149329303,0.21293847142106892,20,20,depth_scan
40,10,16,0.22107555282413838,0.2131501675931984,20,20,depth_scan
40,10,17,0.8288138196412926,0.27961512461941496,20,20,depth_scan
40,10,18,0.3517870760686572,0.25849060687563064,20,20,depth_scan
40,10,19,0.624199791161526,0.3694847694742219,20,20,depth_scan
40,10,1,-0.07578474682702263,0.24956091672457012,20,20,depth_scan
40,10,20,0.6672231025650501,0.285811942372512,20,20,depth_scan
40,10,21,0.5153329109540146,0.3427197323083731,20,20,depth_scan
40,10,22,0.580458455337787,0.28396035760031235,20,20,depth_scan
40,10,23,0.2301810755061504,0.19817864856275832,20,20,depth_scan
40,10,24,0.4150490354568681,0.29287524802033793,20,20,depth_scan
40,10,25,0.3543898468865323,0.25793554717265293,20,20,depth_scan
40,10,26,0.6765312934316587,0.36665526380899754,20,20,depth_scan
40,10,27,0.12116544067536528,0.2555483874367284,20,20,depth_scan
40,10,28,0.31066599147923113,0.21085850601721967,20,20,depth_scan
40,10,29,0.16280199532347028,0.33784030486579747,20,20,depth_scan
40,10,2,0.26511945168122475,0.29053374316762093,20,20,depth_scan
40,10,30,0.4844959667704729,0.3031753356957974,20,20,depth_scan
40,10,31,0.16859110529124477,0.20004794125128536,20,20,depth_scan
40,10,32,0.36374434655654464,0.24840322851400037,20,20,depth_scan
40,10,33,0.737846431819684,0.18737142926596098,20,20,depth_scan
40,10,34,0.6801904175650875,0.3105153694198729,20,20,depth_scan
40,10,35,0.4941440516148359,0.3202455287485631,20,20,depth_scan
40,10,36,0.7964404471925302,0.28309110786783215,20,20,depth_scan
40,10,37,0.31712915044088863,0.2948086428250627,20,20,depth_scan
40,10,38,0.34782162664166494,0.29216641927295367,20,20,depth_scan
40,10,39,1.6770076080299674,0.3931054994723544,20,20,depth_scan
40,10,3,0.33173714496218687,0.2003962562102343,20,20,depth_scan
40,10,40,1.3803938803427713,0.46006441855350216,20,20,depth_scan
40,10,41,0.011105033471309866,0.2696155919087988,20,20,depth_scan
40,10,42,0.14526872707803906,0.22127977580103614,20,20,depth_scan
40,10,43,0.8505733149332833,0.35889754342038876,20,20,depth_scan
40,10,44,0.5862492342861656,0.30301244001149147,20,20,depth_scan
40,10,45,0.20310200742127638,0.2439375176380664,20,20,depth_scan
40,10,46,-0.06965957616338048,0.21082091199255146,20,20,depth_scan
40,10,47,0.2925701217154557,0.1999411803616215,20,20,depth_scan
40,10,48,0.5959446608049066,0.1945059820610669,20,20,depth_scan
40,10,49,0.743286941079111,0.26478022955139385,20,20,depth_scan
40,10,4,0.12282571263967546,0.24108966674054258,20,20,depth_scan
40,10,50,0.19821685125182076,0.20475884178017328,20,20,depth_scan
40,10,5,0.4225458950901779,0.22239927062677387,20,20,depth_scan
40,10,6,0.3639791414043385,0.23085985270623616,20,20,depth_scan
40,10,7,0.5851165058289001,0.25772480657771124,20,20,depth_scan
40,10,8,0.5934493484435472,0.38188613967438567,20,20,depth_scan
40,10,9,0.603475141475522,0.2999134218840554,20,20,depth_scan
