target_tg,acid,epoxide,tg_md,tg_calibrated,calibration_std,target_error,novelty_score,design_score
350.0,CC(=NNc1cccc(C(=O)O)c1C)c1ccc(C(=O)O)cc1,Cc1cccnc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,502.5522,349.56749402838454,129.03278672145007,0.43250597161545556,1.8141942592727571,7.156274446578872
350.0,CCC(C)N(CC(=O)O)Cc1ccc(C(=O)O)cc1,O=C(Nc1ccc(Nc2ncccn2)cc1)C(CC1CO1)CC1CO1,449.3948,349.5549534802565,128.9010332874948,0.4450465197435278,1.958399689912872,7.1838581376052
350.0,O=C(O)c1ccnc2c(C(=O)O)cccc12,NC(=O)c1ccc(C(=O)N(CC2CO2)CC2CO2)cn1,483.7047,350.6911604017629,129.01480147915848,0.6911604017628861,2.2560670035693073,7.480310526256206
350.0,CC=CC=CC(=O)Nc1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1,O=C(Nc1ccc2oc3ccccc3c2c1)N(CC1CO1)CC1CO1,514.9649,349.1282730130718,128.9187614297926,0.871726986928195,2.0527495049804783,7.6255774841648964
350.0,O=C(O)c1ccccc1Nc1ccccc1C(=O)O,CCc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,541.1776,350.90775189337046,128.87504852616883,0.9077518933704596,2.330745874605864,7.701116200869781
350.0,O=C(O)CCNCc1ccc(C(=O)O)cc1,O=C(Nc1cccc(Cn2cncn2)c1)N(CC1CO1)CC1CO1,432.0519,348.4645269672908,128.88370239991542,1.5354730327092057,2.384676442629328,8.337359619099377
350.0,Cc1c(C(=O)O)ccnc1C(=O)O,O=C(c1ccc(OCC2CO2)cc1)N1CCC(C2CO2)CC1,494.2775,348.3764771356563,128.895267335493,1.6235228643437267,2.2047603308690795,8.399000280748739
350.0,CCc1ccc(Oc2ccc(C(=O)O)cc2C(=O)O)cc1,Cc1ccc2c(CN3CCC(c4ccc(OCC5CO5)cc4)CC3)ccc(OCC3CO3)c2n1,432.9942,348.49280230040466,129.0609556589653,1.5071976995953378,2.989704780209799,8.408701199575074
350.0,O=C(O)c1ccc2nc(C=Cc3ccc(C(=O)O)o3)oc2c1,c1ccc(OCC2CO2)c(CCNCc2ccc(OCC3CO3)cc2)c1,404.2725,348.2744957899928,128.90871584851322,1.725504210007216,2.2907405046770823,8.51455107813444
350.0,Cc1cc(C)c(C(=O)O)cc1C=C(C(=O)O)c1ccncc1,Cc1ccc(Oc2ccc(NC(=O)N(CC3CO3)CC3CO3)cn2)cc1,478.1393,351.7907432261675,128.98977110266412,1.7907432261674785,2.239569410899297,8.57616719293558
