year,month,day,hour,Electricity [kW],Heat [mmBTU],Cooling Energy [Ton],PV Power Generation [kW],Greenhouse Gas Emission [Ton],datetime
2014,1,1,0,59.45691181776164,19.9327619383765,19.46945997463161,0.0,39.602176485320086,2014-01-01 00:00:00
2014,1,1,1,64.35146397678614,13.51475691450796,18.29056544730417,0.0,39.88827215220629,2014-01-01 01:00:00
2014,1,1,2,66.65303305767938,13.731643728154983,17.728762208656438,0.0,40.99176208901748,2014-01-01 02:00:00
2014,1,1,3,76.74195280667062,13.668167837070762,17.4762087949225,0.0,45.96666851344104,2014-01-01 03:00:00
2014,1,1,4,76.7990417625391,12.184871259771716,14.428230491548344,0.0,44.94062835751074,2014-01-01 04:00:00
2014,1,1,5,74.2906725796616,10.021522725206903,17.94790388556594,0.0,43.74137388450606,2014-01-01 05:00:00
2014,1,1,6,67.48828717425266,11.197924032388244,21.91003052321784,4.132563685894118,39.41924505853931,2014-01-01 06:00:00
2014,1,1,7,71.71654541772635,7.6299755308561155,23.2368611279068,3.933470346629308,40.82790242038672,2014-01-01 07:00:00
2014,1,1,8,64.0699524194813,9.300206890105402,25.219669658447085,3.697883387778334,38.02003051457252,2014-01-01 08:00:00
2014,1,1,9,61.392939794640014,7.716571777808806,25.399907359771067,3.931252875405681,36.125796464914025,2014-01-01 09:00:00
2014,1,1,10,54.69454457521937,7.7528065732647695,29.76042443031211,5.311173225037421,32.969612533132825,2014-01-01 10:00:00
2014,1,1,11,53.44963232928559,8.688615803662783,31.933959985697523,5.493548506008487,32.971418649876895,2014-01-01 11:00:00
2014,1,1,12,49.68711912326716,10.040690204490296,31.649081166174376,5.762084220764477,31.304540745833307,2014-01-01 12:00:00
2014,1,1,13,48.06306847133248,9.245112082089076,36.12433612162391,6.714249615921229,30.67281027665713,2014-01-01 13:00:00
2014,1,1,14,39.2773744590172,11.490035803594935,35.94913986627424,7.905922675564978,26.322564606059437,2014-01-01 14:00:00
2014,1,1,15,41.607159493994615,11.63056397984185,33.03749882577455,8.148365471313296,26.826065970448123,2014-01-01 15:00:00
2014,1,1,16,39.46163121277746,15.502334503230152,34.21679579391946,7.761796774582876,27.34397672885023,2014-01-01 16:00:00
2014,1,1,17,45.25366336812797,15.569545683713793,33.873701802744954,9.739759690502408,29.202555904475908,2014-01-01 17:00:00
2014,1,1,18,49.70696124538188,16.1337774778221,29.23109249616836,9.868512424866609,30.605576152837934,2014-01-01 18:00:00
2014,1,1,19,46.863472111593175,13.58164792590274,27.78219509129078,0.0,33.06266945182557,2014-01-01 19:00:00
2014,1,1,20,51.20667260666416,17.18327994375932,23.167575040049563,0.0,35.39183529446979,2014-01-01 20:00:00
2014,1,1,21,51.48734867651381,16.94117567583801,21.710167548902117,0.0,35.16806055078873,2014-01-01 21:00:00
2014,1,1,22,58.82189815997638,18.14626440191013,18.35907665874877,0.0,38.52664373231099,2014-01-01 22:00:00
2014,1,1,23,62.37403930142237,16.757187125667762,14.28732080641648,0.0,39.071639949694806,2014-01-01 23:00:00
2014,1,2,0,65.28286184004045,17.39880498600507,12.363926860283335,0.0,40.333857787878415,2014-01-02 00:00:00
2014,1,2,1,78.39961773709484,13.53837792836249,15.599001381349808,0.0,46.38112252332613,2014-01-02 01:00:00
2014,1,2,2,70.54602415607927,13.641015648347889,15.43167123768768,0.0,42.451651020081535,2014-01-02 02:00:00
2014,1,2,3,72.88841681235516,12.876683258872808,15.39385363153873,0.0,43.38598411014717,2014-01-02 03:00:00
2014,1,2,4,72.74963457891282,12.3071551849285,16.966514248603083,0.0,43.46026669465558,2014-01-02 04:00:00
2014,1,2,5,73.43874607785594,11.038887527547285,18.83029800987097,0.0,43.79709889916634,2014-01-02 05:00:00
2014,1,2,6,71.3593900613868,9.72937543964432,19.028774176183774,3.07444491991946,40.86704003786373,2014-01-02 06:00:00
2014,1,2,7,73.84831142962894,7.296222098184536,22.70844521198144,2.7599406122110595,42.27474108056059,2014-01-02 07:00:00
2014,1,2,8,69.9053353769926,6.04506793242133,19.88290512264049,3.414143305315684,39.03569744009295,2014-01-02 08:00:00
2014,1,2,9,62.38611039614571,7.965420828186446,23.468441526887904,2.9588801460611487,36.7969296788758,2014-01-02 09:00:00
2014,1,2,10,56.70424133698397,7.79007075981169,29.31010382107078,4.068838407241201,34.516743457029044,2014-01-02 10:00:00
2014,1,2,11,60.08302812178215,10.868108263466327,32.39536829464341,4.561514835605171,37.500262781057074,2014-01-02 11:00:00
2014,1,2,12,48.81885137808902,8.049823171439503,29.740687158279144,5.596386124698701,29.97431700978284,2014-01-02 12:00:00
2014,1,2,13,52.32084915338824,8.448096887423807,31.869737433536518,5.241249121944395,32.448176568656365,2014-01-02 13:00:00
2014,1,2,14,49.16512278933335,12.046850868938634,34.92231109442732,7.709099823050757,31.326528962708355,2014-01-02 14:00:00
2014,1,2,15,44.37407426163311,12.552064777729658,28.463429740656387,7.892880795927004,27.698902114303223,2014-01-02 15:00:00
2014,1,2,16,40.99047371736151,13.348613081639016,31.354660308323645,7.830180203272339,26.85566274320102,2014-01-02 16:00:00
2014,1,2,17,49.74905751462935,13.48206321700803,32.78117950765198,8.984890967308168,30.982938140293395,2014-01-02 17:00:00
2014,1,2,18,49.15048731525639,15.653943331902717,26.597364124068736,8.858487237453911,30.1616558632858,2014-01-02 18:00:00
2014,1,2,19,45.92783159627247,16.37883579027234,23.584213832921296,0.0,32.594409301802195,2014-01-02 19:00:00
2014,1,2,20,51.51334085437647,18.591015622815743,23.960633028253543,0.0,36.12610171968367,2014-01-02 20:00:00
2014,1,2,21,56.47385663314754,18.332496699508557,21.72252683584149,0.0,38.08118269359464,2014-01-02 21:00:00
2014,1,2,22,69.62982956658176,18.002189423239866,22.666995825072394,0.0,44.74897077527732,2014-01-02 22:00:00
2014,1,2,23,74.25828976392903,17.993786222981875,15.499906176770592,0.0,45.6272619842132,2014-01-02 23:00:00
2014,1,3,0,68.96493150246441,16.34884556946409,14.04908529395128,0.0,42.19693648086169,2014-01-03 00:00:00
2014,1,3,1,69.814776936023,15.35747135677921,9.070971743786789,0.0,41.32882422380261,2014-01-03 01:00:00
2014,1,3,2,72.2565261037189,13.63424962623562,12.8452270916299,0.0,42.78758335805611,2014-01-03 02:00:00
2014,1,3,3,78.18205886252504,11.995353899977172,11.059465728540964,0.0,44.90152874696387,2014-01-03 03:00:00
2014,1,3,4,80.57268492525922,12.15640395304392,15.477532022874415,0.0,47.02877005311768,2014-01-03 04:00:00
2014,1,3,5,73.50465394343188,11.9705778888112,18.828779335817305,0.0,44.10925620552276,2014-01-03 05:00:00
2014,1,3,6,77.00788315847481,9.150215895032602,16.075599024131087,3.2440147042197367,42.84211880046353,2014-01-03 06:00:00
2014,1,3,7,75.18662067899102,8.620932254255267,21.191886282930756,2.6979802998646223,43.06897712242593,2014-01-03 07:00:00
2014,1,3,8,72.60335825748076,8.45478695853427,22.63222420063424,3.9980285473398176,41.36554578275761,2014-01-03 08:00:00
2014,1,3,9,65.93087215867585,8.950764887414229,23.664291643764532,3.7056618940933816,38.53069292726841,2014-01-03 09:00:00
2014,1,3,10,58.261881271952845,9.2076114518226,29.21314601804324,3.902261933122777,35.784722308570466,2014-01-03 10:00:00
2014,1,3,11,56.97132595336752,9.598034900578693,29.8997005891978,5.3514515427451474,34.66928779332435,2014-01-03 11:00:00
2014,1,3,12,55.72911667368581,10.776849192863184,33.73222431542255,6.285451504822244,34.701332205375245,2014-01-03 12:00:00
2014,1,3,13,52.01421984891487,10.653151678487466,33.50577270027522,5.130432299298326,33.33899381840956,2014-01-03 13:00:00
2014,1,3,14,51.19143246834043,12.606903164177544,34.12485157549175,7.099615814227309,32.65294959140818,2014-01-03 14:00:00
2014,1,3,15,51.398569328185886,12.444150413416988,33.257644568869985,7.270308779886998,32.44890431194853,2014-01-03 15:00:00
2014,1,3,16,48.75930258740487,12.81710931593277,32.96503360627738,8.920869031203555,30.35735629413597,2014-01-03 16:00:00
2014,1,3,17,45.40470198362444,14.286709240963472,34.46115535263059,8.705685072323275,29.527752298465742,2014-01-03 17:00:00
2014,1,3,18,52.03585284908869,15.600308420775818,30.74216450014165,10.09573161769026,31.79858604196029,2014-01-03 18:00:00
2014,1,3,19,50.953125718892856,18.9149672357399,24.20364805944554,0.0,35.99178264205751,2014-01-03 19:00:00
2014,1,3,20,53.837981386875896,19.404550812109218,27.850480683160946,0.0,38.3104520737029,2014-01-03 20:00:00
2014,1,3,21,55.69193039075521,17.299706742587016,20.828442804071877,0.0,37.20156577896808,2014-01-03 21:00:00
2014,1,3,22,59.18146780633675,20.40845394335739,18.17774269006621,0.0,39.34881862418883,2014-01-03 22:00:00
2014,1,3,23,67.08299822424641,18.07397915681262,17.70514025081501,0.0,42.50472090932999,2014-01-03 23:00:00
2014,1,4,0,72.43618056067413,16.453145988091478,13.645044735487469,0.0,43.883043023862,2014-01-04 00:00:00
2014,1,4,1,71.5731934424277,15.88480887732713,15.748227878196516,0.0,43.70168496005129,2014-01-04 01:00:00
2014,1,4,2,81.99457662199393,15.100684533650156,16.161628708493343,0.0,48.75981941279068,2014-01-04 02:00:00
2014,1,4,3,77.37087125495815,14.175125534083378,14.81430357941486,0.0,45.900834003587065,2014-01-04 03:00:00
2014,1,4,4,75.13630703182413,11.922255999555311,16.96461378299257,0.0,44.53775307237718,2014-01-04 04:00:00
2014,1,4,5,71.34915208552961,11.55641397295406,18.054513060269663,0.0,42.75240284670495,2014-01-04 05:00:00
2014,1,4,6,75.31394377973638,10.821156956770407,14.52929032543642,3.404788757026006,42.1067826634736,2014-01-04 06:00:00
2014,1,4,7,73.32733203683821,11.365410902855356,22.406412692897533,4.160119186440918,42.47451223463476,2014-01-04 07:00:00
2014,1,4,8,70.76268804829581,10.77924247551189,24.479340633278586,4.845212979290465,41.08837840381196,2014-01-04 08:00:00
2014,1,4,9,63.55977927077072,9.130098634232889,28.17619399054013,5.044625149412694,37.6318454490569,2014-01-04 09:00:00
2014,1,4,10,56.8580238693075,10.622508451702204,28.411403072391177,4.718766946994844,34.93866161114522,2014-01-04 10:00:00
2014,1,4,11,54.328143679408704,10.361485163043238,30.26963646439651,6.157572428595895,33.24765846719868,2014-01-04 11:00:00
2014,1,4,12,52.25394785016461,11.067968461728931,33.02333034128555,5.675466358393305,33.21429735266144,2014-01-04 12:00:00
2014,1,4,13,48.41807237691249,11.151530163773248,36.70359447312628,7.694036922801171,31.048195670812888,2014-01-04 13:00:00
2014,1,4,14,44.714607675505285,14.06885053882998,35.93581537644638,9.128643972025614,29.200800088678108,2014-01-04 14:00:00
2014,1,4,15,45.93118290839704,15.297996684761374,33.69117931059828,8.544898221522708,30.020777210985237,2014-01-04 15:00:00
2014,1,4,16,47.19048107748136,14.401773379904446,32.03278864460455,9.571480120140729,29.53659022156256,2014-01-04 16:00:00
