image,scheme,role,tokens,tokens_per_megapixel,psnr_db,edge_precision,edge_recall,edge_f1,salient_mae,background_mae,dark_contrast
equation,decoupled_understanding,understanding,359,993.9091915836101,15.689819577994918,0.2596461902771883,0.22403846153845483,0.2405316467057474,0.2496579885482788,0.012828689999878407,0.2206243872642517
equation,generation_32,generation,363,1004.9833887043188,15.59552056332353,0.26700396711319113,0.13954326923076504,0.1832928774130914,0.25365909934043884,0.013453878462314606,0.20747768878936768
equation,uniform_8,understanding,5676,15714.285714285714,18.811682227170458,0.6551198745238335,0.4392728365384484,0.525910602990966,0.15365417301654816,1.7413543901056983e-05,0.5197561383247375
equation,uniform_16,understanding,1452,4019.9335548172753,16.56020522338086,0.39218865143697407,0.2398737980769159,0.2976787540736318,0.23186060786247253,0.00405114097520709,0.3299068212509155
equation,uniform_32,understanding,363,1004.9833887043188,15.59552056332353,0.26700396711319113,0.13954326923076504,0.1832928774130914,0.25365909934043884,0.013453878462314606,0.20747768878936768
equation,uniform_64,understanding,102,282.39202657807306,15.01994425467113,0.15937593311435058,0.0641526442307673,0.09148170325000245,0.2519972622394562,0.02448390983045101,0.1152040958404541
doge,decoupled_understanding,understanding,1004,1047.1422611597832,19.89589945485762,0.3817520831322527,0.24751773049645132,0.30031762856745686,0.13422700762748718,0.0008575835963711143,0.3596784472465515
doge,generation_32,generation,950,990.8218606591573,18.46002723079585,0.2950479846449061,0.12024405506883479,0.17085695190602262,0.16420327126979828,0.006285023409873247,0.3236989974975586
doge,uniform_8,understanding,15000,15644.555694618273,21.67282324982711,0.5273623407612099,0.4218293700458863,0.4687291749855377,0.0940207690000534,3.626131729106419e-05,0.38610583543777466
doge,uniform_16,understanding,3750,3911.1389236545683,19.837534402614324,0.366867926914074,0.24208385481852063,0.29169075278210704,0.13236621022224426,0.0012636635219678283,0.36000603437423706
doge,uniform_32,understanding,950,990.8218606591573,18.46002723079585,0.2950479846449061,0.12024405506883479,0.17085695190602262,0.16420327126979828,0.006285023409873247,0.3236989974975586
doge,uniform_64,understanding,247,257.6136837713809,16.925546337015668,0.2253591773852522,0.06560283687943194,0.10162289630719448,0.18988800048828125,0.02267971634864807,0.2577938437461853
