target_category,target_tg,acid,epoxide,tg_raw,tg_calibrated,uncertainty
Low Tg (flexible),320,O=C(O)CCCOCC(=O)NCc1cn(CCC(=O)O)nn1,COC(=O)c1ccc(C)c(NC(=O)CN(CCCOCC2CO2)CCOCC2CO2)c1,375.4829,319.97742386143466,51.84105748572647
Low Tg (flexible),320,COc1ccc(C=CCCCCOc2cccc(OCCCCC(=O)O)c2CCC(=O)O)cc1,O=C(NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1cccc(Oc2ccccc2)c1,374.5711,319.97449147541755,51.93110741139564
Low Tg (flexible),320,CCOc1cccc(CN(CCOCC(=O)O)Cc2ccc(COCC(=O)O)cc2)c1,CCn1cc(CC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c2ccccc21,375.3459,319.9744349220567,51.8521405607392
Low Tg (flexible),320,CC(COCC(=O)O)(COCC(=O)O)NC(=O)CCc1cccc(OCc2ccccc2)c1,N#Cc1ccc(NCC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,376.0436,320.0475545233827,51.80732329243555
Low Tg (flexible),320,O=C(O)CCN(CCC(=O)O)CCC(=O)N1CCOc2ccccc21,CC(CCc1ccc(OCC2CO2)cc1)NCc1ccc(OCC2CO2)cc1,376.1247,319.9415220656153,51.79611317868931
Medium Tg (general),380,O=C(O)c1ccc(C=NNc2nnc(NN=Cc3ccc(C(=O)O)cc3)c3ccccc23)cc1,CCc1cc(C(=O)N2CCC(C(=O)c3ccc(OCC4CO4)cc3)CC2)ccc1OCC1CO1,442.9011,380.0032081442736,51.89112795444465
Medium Tg (general),380,NC(=O)N1CCCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC1,CCc1cccc(C(=O)NCc2cc(OC)ccc2OCC2CO2)c1OCC1CO1,443.1818,380.0033876257938,51.86955754518585
Medium Tg (general),380,CC(C)(C)NC(=O)CNC1CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC1,O=C(CN1CCCN(C2CCCC2)CC1)N(CC1CO1)CC1CO1,444.1305,380.0050761789737,51.81600109575152
Medium Tg (general),380,CC(C(=O)O)=C(C)C(=O)O,COc1ccccc1CN(C)C(=O)c1ccc(OCC2CO2)cc1OCC1CO1,442.6075,379.9841704143654,51.91452934293432
Medium Tg (general),380,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)N1CCC(N2CCCCC2)CC1,Cc1noc(C)c1COc1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,445.7582,379.9839185701664,51.79291787989695
High Tg (rigid),430,O=C(O)c1ccc2c(c1)C(=O)c1ccc(C(=O)O)cc1C2=O,CCOC(=O)C=Cc1ccc(NC(=O)C(=O)N(CC2CO2)CC2CO2)cc1,503.4304,430.0257567271741,51.85405853940786
High Tg (rigid),430,Cc1ccc(C(=O)O)cc1NC(=O)NCC1(C(=O)O)CCOCC1,O=C(Cc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccnc(C(=O)O)c1,501.7715,429.9317411190245,51.90369299237194
High Tg (rigid),430,CCc1ccnc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)c1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)N1CC(O)(c2ccccc2)C1,499.4502,430.1291441094798,52.13183477101147
High Tg (rigid),430,CC(C)=CCn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,Cc1cccc(Nc2ccccc2C(=O)Nc2ccc(COCC3CO3)c(COCC3CO3)c2)c1C,502.7245,430.2714764024632,51.87965442167507
High Tg (rigid),430,Cc1cccc(NC(=O)NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c1C,Cc1cc(NC(=O)c2cncc(OCC3CO3)c2)cc(OCC2CO2)c1,503.5915,430.3185715520477,51.85762657072389
