feature,age_spearman_corr,age_spearman_pval,kw_statistic,kw_pval,coefficient_of_variation,age_r_squared,dynamic_score
Int_Med_cycA_nuc,0.73238994282907,0.0,1792.8876953125,0.0,1.0619849,0.5771891850736248,0.8528160093742962
Int_Intg_DNA_nuc,0.7359945236404305,0.0,1618.4072265625,0.0,0.46526903,0.5839600322738941,0.7863213758466994
Int_Med_cycB1_ring,0.560699121186191,2.955451368626579e-228,1454.4654541015625,0.0,1.0258185,0.3205921909300192,0.6357461721465808
Int_Med_cycB1_cyto,0.560699121186191,2.955451368626579e-228,1454.4654541015625,0.0,1.0258185,0.3205921909300192,0.6357461721465808
AreaShape_Area_nuc,0.7146348635615428,0.0,1041.0074462890625,0.0,0.38873914,0.45194061121366913,0.6304300044813892
Int_Med_cycB1_cell,0.5493045847193913,2.648509179489189e-217,1419.845947265625,0.0,1.0360401,0.31086792534834695,0.6226741303031399
Int_Med_Skp2_nuc,0.5137867003929677,9.559193336098864e-186,1575.2021484375,0.0,0.74143225,0.29081931221830537,0.6070662701945639
Int_Med_pH2AX_nuc,0.5826144580301129,1.4635854529268305e-250,1209.7425537109375,0.0,0.7506594,0.30187387196725757,0.5783540335833357
Int_Med_CDK2_nuc,0.6007035083485317,2.6986961034138792e-270,1025.8978271484375,0.0,0.42939702,0.35873065835921336,0.5523078389729165
Int_Med_Cdt1_nuc,-0.5046733847071078,3.093844660221899e-178,1403.100830078125,0.0,0.97973347,0.09528953808499929,0.523959116009092
Int_Std_PCNA_nuc,0.5537299982861966,1.6582414796456995e-221,1306.5029296875,0.0,0.5345346,0.1493854342348938,0.5156799496942536
Int_Med_E2F1_nuc,0.42886615522800786,7.3740567553754276e-124,1408.56982421875,0.0,0.82351327,0.06597468440211118,0.47316718704690097
Int_Med_p27_nuc,-0.49477946900436137,2.4541327081165608e-170,1052.9891357421875,0.0,0.5528197,0.11970341451301258,0.44027342838551525
Int_Med_pp21_nuc,0.4840634471442134,4.544553614195187e-162,689.87744140625,0.0,1.4995072,0.10849635134601976,0.43640010431955345
Int_Med_p21_nuc,-0.22669044155715593,1.7365767974964024e-33,1551.5838623046875,0.0,0.98753077,0.0018965411492871675,0.404002773236323
Int_Med_cycB1_nuc,0.4304464779673577,7.397036919086567e-125,577.376220703125,0.0,0.53502065,0.2230472606056102,0.368553186488969
Int_Med_pRB_nuc,0.2582264626136358,2.844909310318927e-43,1070.3070068359375,0.0,0.3689525,0.03750419221868928,0.3058918544206542
Int_Med_cycD1_nuc,-0.15777634535034174,7.691459110558893e-17,1222.4869384765625,0.0,0.6922904,0.012647624422697845,0.304147237605974
Int_Med_Cdh1_nuc,-0.3670278266151216,9.857296571373306e-89,692.5271606445312,0.0,0.5258631,0.05456958968869374,0.30364080575016905
Int_Med_cycA_cyto,0.2937574364225623,4.832180700797207e-56,560.6695556640625,0.0,0.7978555,0.15130598159996056,0.3035239353031276
Int_Med_cycA_ring,0.2937574364225623,4.832180700797207e-56,560.6695556640625,0.0,0.7978555,0.15130598159996056,0.3035239353031276
Int_Med_cycA_cell,0.28653325024829934,2.7247838640312147e-53,523.2799072265625,0.0,1.3207879,0.07122248972842504,0.30287378906948936
Int_MeanEdge_cycB1_cell,0.274448762228661,7.2305049941719e-49,602.1796875,0.0,0.788461,0.1098865321482887,0.28776858569039815
Int_Med_pp53_nuc,0.3704153269125631,1.8151732322613466e-90,324.67333984375,0.0,0.47354156,0.10993548699923195,0.2587789188682349
Int_Med_pCHK1_nuc,0.32934887790097084,8.408262106251927e-71,261.3111267089844,0.0,0.4979609,0.11713095880139601,0.23556363988056306
Int_MeanEdge_cJun_cell,-0.21672360168731614,1.1005280984452785e-30,66.599609375,2.2810487155275165e-14,2.0110412,0.013677546742394853,0.22571259249501627
Int_Med_p53_nuc,0.29796223528395205,1.1106566327004193e-57,214.4854736328125,0.0,0.7514269,0.08955289273215827,0.22291792148881467
Int_Med_cycE_nuc,0.36154346809320304,5.7340795043881745e-86,183.01991271972656,1.9645994275064287e-39,0.50305116,0.07004044974845514,0.21980468460940766
Int_Med_DNA_cell,-0.028943728751336665,0.12852779081424506,37.041568756103516,4.509134043928498e-08,3.1457543,0.0005595890126884884,0.21777037485131368
Int_Med_p16_nuc,0.3242281444594991,1.4951306307934085e-68,200.22003173828125,3.783505853677006e-43,0.47530335,0.10238497945781033,0.21663461068313605
Int_MeanEdge_Fra1_cell,-0.23031404301665187,1.537702245531253e-34,99.2197265625,2.2869778908147438e-21,1.6171626,0.020884042290658322,0.21208164467531937
Int_Med_GSK3b_nuc,0.31112700357368656,5.437833338079226e-63,225.25531005859375,0.0,0.5547895,0.07450181258281252,0.211404257503169
Int_MeanEdge_pRB_cell,-0.2102144011146283,6.278116550746982e-29,163.8720703125,2.6757833009065425e-35,1.5616193,0.019480384785112825,0.21040863810009475
Int_Med_pRB_cell,-0.05814899491813319,0.0022465093736757855,84.7591323852539,2.9231944530116115e-18,2.7463171,0.00021872078491513847,0.21006882152818118
Int_Med_cFos_nuc,0.31391288072518436,3.7694668216868393e-64,160.31161499023438,1.5699356128380332e-34,0.47780755,0.09570130816599443,0.2036272978411988
Int_Med_CDK4_nuc,0.163320444142171,5.990220224493859e-18,208.59043884277344,5.605193857299268e-45,1.2959095,0.08603922602048475,0.20328317440524035
Int_MeanEdge_PCNA_cell,-0.25977044219430495,8.67505620944536e-44,101.255859375,8.345395614608107e-22,1.3354892,0.013647179398503795,0.20257428609507805
Int_MeanEdge_DNA_cell,-0.19907465870862515,4.678137726265071e-26,60.796875,3.971750500101484e-13,1.7554345,0.018626092318641096,0.20164800454721704
Int_Med_BP1_nuc,0.2680758638404665,1.2694018306113264e-46,105.1980209350586,1.1845540401508507e-22,0.784468,0.10904746351133021,0.20137680581654407
Int_Med_CDK6_nuc,0.2602163261912233,6.147057319093139e-44,229.2556610107422,0.0,0.50255036,0.07646502479281847,0.18838815605076226
Int_Med_Fra1_cell,-0.11327101455998687,2.428310200619214e-09,129.29931640625,7.657183532302715e-28,1.9834541,0.0010716905140650823,0.1878047932793481
Int_Med_PCNA_cell,-0.25491389892986577,3.5396656178991146e-42,163.4499053955078,3.300422230053979e-35,0.9810785,0.014977022908154614,0.18707596085605913
Int_Med_PCNA_cyto,-0.2745114406756147,6.867407576079879e-49,191.51242065429688,2.876725617412417e-41,0.63062596,0.03578202984492018,0.1827774253934483
Int_Med_PCNA_ring,-0.2745114406756147,6.867407576079879e-49,191.51242065429688,2.876725617412417e-41,0.63062596,0.03578202984492018,0.1827774253934483
Int_Med_pSTAT3_nuc,0.20884752910319032,1.4430714778384837e-28,186.17381286621094,4.093403009062439e-40,0.89263266,0.015790839178820293,0.16628602310684495
