start_dates,end_dates,region,combined_mwe,combined_mwe_errors,combined_gt,combined_gt_errors,glacier_area
2000.000,2001.000,south_asia_west,0.205,0.277,6.852,9.262,33507.578
2001.000,2002.000,south_asia_west,-0.139,0.238,-4.642,7.978,33386.733
2002.000,2003.000,south_asia_west,-0.071,0.232,-2.353,7.767,33265.888
2003.000,2004.000,south_asia_west,-0.396,0.237,-13.091,7.948,33145.043
2004.000,2005.000,south_asia_west,-0.348,0.228,-11.446,7.656,33024.198
2005.000,2006.000,south_asia_west,0.147,0.214,4.807,7.162,32903.354
2006.000,2007.000,south_asia_west,-0.716,0.211,-23.397,7.154,32782.509
2007.000,2008.000,south_asia_west,-0.638,0.205,-20.771,6.948,32661.664
2008.000,2009.000,south_asia_west,-0.465,0.215,-15.082,7.219,32540.819
2009.000,2010.000,south_asia_west,0.301,0.232,9.727,7.774,32419.974
2010.000,2011.000,south_asia_west,0.265,0.223,8.545,7.462,32299.130
2011.000,2012.000,south_asia_west,0.236,0.221,7.573,7.420,32178.285
2012.000,2013.000,south_asia_west,-0.245,0.208,-7.838,6.961,32057.440
2013.000,2014.000,south_asia_west,-0.386,0.213,-12.283,7.146,31936.595
2014.000,2015.000,south_asia_west,-0.022,0.209,-0.693,6.994,31815.750
2015.000,2016.000,south_asia_west,-0.029,0.212,-0.902,7.084,31694.906
2016.000,2017.000,south_asia_west,-0.348,0.223,-10.964,7.478,31574.061
2017.000,2018.000,south_asia_west,-0.074,0.218,-2.326,7.304,31453.216
2018.000,2019.000,south_asia_west,-0.126,0.220,-3.924,7.358,31332.371
2019.000,2020.000,south_asia_west,0.141,0.243,4.378,8.152,31211.526
2020.000,2021.000,south_asia_west,0.180,0.240,5.577,8.047,31090.682
2021.000,2022.000,south_asia_west,-0.318,0.322,-9.816,10.792,30969.837
2022.000,2023.000,south_asia_west,-1.116,0.414,-34.338,13.962,30848.992
2023.000,2024.000,south_asia_west,-0.269,0.410,-8.254,13.740,30728.147
