start_dates,end_dates,region,combined_mwe,combined_mwe_errors,combined_gt,combined_gt_errors,glacier_area
2000.000,2001.000,north_asia,-0.371,0.427,-0.920,1.027,2487.722
2001.000,2002.000,north_asia,-0.624,0.237,-1.541,0.576,2477.360
2002.000,2003.000,north_asia,-0.817,0.245,-2.009,0.597,2466.997
2003.000,2004.000,north_asia,-0.546,0.232,-1.337,0.561,2456.633
2004.000,2005.000,north_asia,-0.249,0.241,-0.607,0.580,2446.271
2005.000,2006.000,north_asia,-0.182,0.226,-0.442,0.544,2435.907
2006.000,2007.000,north_asia,-0.594,0.229,-1.437,0.555,2425.544
2007.000,2008.000,north_asia,-0.647,0.229,-1.558,0.555,2415.182
2008.000,2009.000,north_asia,-0.721,0.226,-1.729,0.550,2404.818
2009.000,2010.000,north_asia,0.198,0.231,0.472,0.556,2394.456
2010.000,2011.000,north_asia,-0.538,0.227,-1.278,0.549,2384.093
2011.000,2012.000,north_asia,-0.899,0.225,-2.127,0.550,2373.729
2012.000,2013.000,north_asia,-0.884,0.225,-2.082,0.550,2363.367
2013.000,2014.000,north_asia,-0.386,0.234,-0.906,0.563,2353.003
2014.000,2015.000,north_asia,-0.329,0.235,-0.768,0.567,2342.640
2015.000,2016.000,north_asia,-0.821,0.238,-1.909,0.579,2332.278
2016.000,2017.000,north_asia,-0.474,0.236,-1.097,0.570,2321.914
2017.000,2018.000,north_asia,-0.967,0.237,-2.229,0.580,2311.552
2018.000,2019.000,north_asia,-0.623,0.238,-1.430,0.577,2301.189
2019.000,2020.000,north_asia,-0.357,0.229,-0.815,0.551,2290.825
2020.000,2021.000,north_asia,-0.464,0.269,-1.055,0.648,2280.463
2021.000,2022.000,north_asia,-0.554,0.269,-1.254,0.649,2270.099
2022.000,2023.000,north_asia,-0.925,0.474,-2.084,1.143,2259.736
2023.000,2024.000,north_asia,-1.063,0.474,-2.383,1.145,2249.374
