start_dates,end_dates,region,combined_mwe,combined_mwe_errors,combined_gt,combined_gt_errors,glacier_area
2000.000,2001.000,central_europe,-0.278,0.288,-0.593,0.601,2140.639
2001.000,2002.000,central_europe,0.190,0.208,0.402,0.434,2121.183
2002.000,2003.000,central_europe,-0.361,0.197,-0.755,0.413,2101.728
2003.000,2004.000,central_europe,-1.974,0.201,-4.098,0.467,2082.272
2004.000,2005.000,central_europe,-0.700,0.191,-1.439,0.405,2062.817
2005.000,2006.000,central_europe,-0.892,0.185,-1.817,0.397,2043.361
2006.000,2007.000,central_europe,-1.169,0.189,-2.359,0.411,2023.905
2007.000,2008.000,central_europe,-0.790,0.188,-1.579,0.400,2004.450
2008.000,2009.000,central_europe,-0.763,0.199,-1.509,0.422,1984.994
2009.000,2010.000,central_europe,-0.808,0.207,-1.583,0.439,1965.539
2010.000,2011.000,central_europe,-0.533,0.189,-1.034,0.398,1946.083
2011.000,2012.000,central_europe,-1.298,0.186,-2.494,0.408,1926.627
2012.000,2013.000,central_europe,-1.471,0.215,-2.797,0.469,1907.172
2013.000,2014.000,central_europe,-0.302,0.218,-0.569,0.456,1887.716
2014.000,2015.000,central_europe,-0.187,0.217,-0.348,0.452,1868.261
2015.000,2016.000,central_europe,-1.608,0.220,-2.964,0.483,1848.805
2016.000,2017.000,central_europe,-0.757,0.216,-1.380,0.457,1829.349
2017.000,2018.000,central_europe,-1.434,0.219,-2.587,0.475,1809.894
2018.000,2019.000,central_europe,-1.365,0.231,-2.437,0.497,1790.438
2019.000,2020.000,central_europe,-1.087,0.228,-1.919,0.485,1770.983
2020.000,2021.000,central_europe,-0.730,0.237,-1.276,0.498,1751.527
2021.000,2022.000,central_europe,-0.917,0.226,-1.583,0.478,1732.071
2022.000,2023.000,central_europe,-3.653,0.315,-6.237,0.728,1712.616
2023.000,2024.000,central_europe,-2.592,0.328,-4.375,0.719,1693.160
