start_dates,end_dates,region,combined_mwe,combined_mwe_errors,combined_gt,combined_gt_errors,glacier_area
2000.000,2001.000,central_asia,0.060,0.277,2.998,13.602,49702.354
2001.000,2002.000,central_asia,-0.290,0.260,-14.368,12.801,49613.609
2002.000,2003.000,central_asia,-0.217,0.260,-10.731,12.798,49524.863
2003.000,2004.000,central_asia,0.247,0.261,12.161,12.850,49436.118
2004.000,2005.000,central_asia,0.167,0.255,8.206,12.529,49347.373
2005.000,2006.000,central_asia,0.066,0.262,3.233,12.859,49258.627
2006.000,2007.000,central_asia,-0.515,0.259,-25.271,12.779,49169.882
2007.000,2008.000,central_asia,-0.436,0.255,-21.345,12.568,49081.137
2008.000,2009.000,central_asia,-0.645,0.252,-31.486,12.486,48992.391
2009.000,2010.000,central_asia,0.473,0.263,23.070,12.983,48903.646
2010.000,2011.000,central_asia,-0.221,0.263,-10.756,12.955,48814.900
2011.000,2012.000,central_asia,0.096,0.261,4.678,12.833,48726.155
2012.000,2013.000,central_asia,-0.257,0.252,-12.449,12.386,48637.410
2013.000,2014.000,central_asia,-0.197,0.256,-9.558,12.601,48548.664
2014.000,2015.000,central_asia,-0.061,0.253,-2.956,12.432,48459.919
2015.000,2016.000,central_asia,-0.410,0.259,-19.779,12.763,48371.173
2016.000,2017.000,central_asia,-0.037,0.264,-1.774,12.982,48282.428
2017.000,2018.000,central_asia,-0.244,0.259,-11.730,12.727,48193.683
2018.000,2019.000,central_asia,-0.523,0.274,-25.097,13.503,48104.937
2019.000,2020.000,central_asia,-0.436,0.262,-20.873,12.931,48016.192
2020.000,2021.000,central_asia,0.096,0.262,4.569,12.876,47927.446
2021.000,2022.000,central_asia,-0.244,0.356,-11.633,17.500,47838.701
2022.000,2023.000,central_asia,-0.853,0.383,-40.614,18.953,47749.955
2023.000,2024.000,central_asia,-0.844,0.381,-40.120,18.813,47661.210
