Metric,Value
Uncalled4 AUC-ROC (m6A),0.9979
Nanopolish AUC-ROC (m6A),0.9012
Uncalled4 Average Precision,0.9929
Nanopolish Average Precision,0.7784
Total m6A sites analyzed,"5,000"
Positive m6A sites,"1,024"
Uncalled4 time (DNA r9.4),39.6 min
Uncalled4 size (DNA r9.4),139.8 MB
Uncalled4 time (DNA r10.4),54.4 min
Uncalled4 size (DNA r10.4),118.7 MB
Uncalled4 time (RNA001),114.7 min
Uncalled4 size (RNA001),21.2 MB
Uncalled4 time (RNA004),60.2 min
Uncalled4 size (RNA004),48.4 MB
dna_r9.4.1_6mer k-mer count,"4,096"
rna_r9.4.1_5mer k-mer count,"1,024"
dna_r10.4.1_9mer k-mer count,"5,000"
rna004_9mer k-mer count,"5,000"
