rank,candidate_id,dataset_index,predicted_probability,predicted_label_at_threshold,hidden_true_label,metallicity_proxy,anisotropy_proxy,n_atoms,n_edges,edge_density
1,CAND_0618,618,0.05855626870782012,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
2,CAND_0263,263,0.05855626870782012,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
3,CAND_0180,180,0.05855626870782012,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
4,CAND_0293,293,0.05833781874261542,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,5.0,0.16666666666666666
5,CAND_0143,143,0.05833781874261542,1,0,metal-like (graph proxy),d-wave-like high-confidence,10.0,12.0,0.13333333333333333
6,CAND_0244,244,0.05833781874261542,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,1.0,0.08333333333333333
7,CAND_0820,820,0.05833781874261542,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
8,CAND_0936,936,0.05833781874261542,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
9,CAND_0251,251,0.05833781874261542,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
10,CAND_0193,193,0.0581201334156787,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
11,CAND_0917,917,0.05790321042545029,1,1,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
12,CAND_0653,653,0.05790321042545029,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
13,CAND_0658,658,0.05790321042545029,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
14,CAND_0162,162,0.05790321042545029,1,0,metal-like (graph proxy),d-wave-like high-confidence,18.0,26.0,0.08496732026143791
15,CAND_0214,214,0.05790321042545029,1,0,insulator-like (graph proxy),d-wave-like high-confidence,16.0,10.0,0.041666666666666664
16,CAND_0945,945,0.05790321042545029,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
17,CAND_0271,271,0.05790321042545029,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
18,CAND_0719,719,0.05790321042545029,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
19,CAND_0747,747,0.05790321042545029,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
20,CAND_0286,286,0.057687047474492006,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
21,CAND_0267,267,0.057687047474492006,1,1,insulator-like (graph proxy),d-wave-like high-confidence,10.0,10.0,0.1111111111111111
22,CAND_0485,485,0.057687047474492006,1,0,insulator-like (graph proxy),d-wave-like high-confidence,16.0,14.0,0.058333333333333334
23,CAND_0580,580,0.057687047474492006,1,0,metal-like (graph proxy),d-wave-like high-confidence,20.0,52.0,0.1368421052631579
24,CAND_0104,104,0.057687047474492006,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
25,CAND_0340,340,0.057687047474492006,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
26,CAND_0371,371,0.057687047474492006,1,0,metal-like (graph proxy),d-wave-like high-confidence,10.0,16.0,0.17777777777777778
27,CAND_0897,897,0.057687047474492006,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,16.0,0.12121212121212122
28,CAND_0806,806,0.057687047474492006,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
29,CAND_0246,246,0.057687047474492006,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
30,CAND_0047,47,0.057687047474492006,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
31,CAND_0981,981,0.057687047474492006,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
32,CAND_0959,959,0.057687047474492006,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,5.0,0.16666666666666666
33,CAND_0505,505,0.05747164226950215,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
34,CAND_0416,416,0.05747164226950215,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
35,CAND_0388,388,0.05747164226950215,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
36,CAND_0885,885,0.05747164226950215,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
37,CAND_0101,101,0.05747164226950215,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
38,CAND_0560,560,0.05747164226950215,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
39,CAND_0903,903,0.05747164226950215,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
40,CAND_0875,875,0.05747164226950215,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,18.0,0.13636363636363635
41,CAND_0043,43,0.05747164226950215,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
42,CAND_0767,767,0.05747164226950215,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,8.0,0.08888888888888889
43,CAND_0282,282,0.05747164226950215,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
44,CAND_0041,41,0.05747164226950215,1,1,insulator-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
45,CAND_0859,859,0.05747164226950215,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
46,CAND_0528,528,0.05747164226950215,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
47,CAND_0496,496,0.05747164226950215,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
48,CAND_0044,44,0.05725699252133056,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
49,CAND_0839,839,0.05725699252133056,1,1,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
50,CAND_0304,304,0.05725699252133056,1,0,insulator-like (graph proxy),d-wave-like high-confidence,16.0,10.0,0.041666666666666664
51,CAND_0862,862,0.05725699252133056,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
52,CAND_0291,291,0.05725699252133056,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
53,CAND_0743,743,0.05725699252133056,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
54,CAND_0637,637,0.05725699252133056,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
55,CAND_0403,403,0.05725699252133056,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
56,CAND_0127,127,0.05725699252133056,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,14.0,0.15555555555555556
57,CAND_0087,87,0.05725699252133056,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
58,CAND_0996,996,0.05725699252133056,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,10.0,0.17857142857142858
59,CAND_0991,991,0.05725699252133056,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,5.0,0.16666666666666666
60,CAND_0749,749,0.05725699252133056,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
61,CAND_0023,23,0.05725699252133056,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
62,CAND_0027,27,0.05725699252133056,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
63,CAND_0940,940,0.05725699252133056,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,5.0,0.16666666666666666
64,CAND_0865,865,0.057043095944993114,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
65,CAND_0285,285,0.057043095944993114,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,10.0,0.17857142857142858
66,CAND_0840,840,0.057043095944993114,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
67,CAND_0273,273,0.057043095944993114,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,4.0,0.044444444444444446
68,CAND_0264,264,0.057043095944993114,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
69,CAND_0868,868,0.057043095944993114,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
70,CAND_0172,172,0.057043095944993114,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
71,CAND_0001,1,0.057043095944993114,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
