region_key,region_name,total_gt,total_gt_err,mean_annual_mwe,mean_annual_mwe_err,n_years,mean_area_km2
1_alaska,Alaska,-1473.859896571797,172.79174535916678,-0.7320277166261931,0.08273057690675727,24,85059.88
5_greenland_periphery,Greenland Periphery,-850.4780845137108,174.3679950202001,-0.44660519236135726,0.08105595537407993,24,80888.8472
3_arctic_canada_north,Arctic Canada North,-730.2377194967462,63.218697165219226,-0.2930927604783487,0.024816554768934098,24,104154.4899
17_southern_andes,Southern Andes,-630.7891720171691,162.56972885017439,-0.9192548379252351,0.23056845873912035,24,28793.3336
4_arctic_canada_south,Arctic Canada South,-552.2424313440208,51.57451162307018,-0.5700617959389733,0.05227882293723288,24,40495.4752
19_antarctic_and_subantarctic,Antarctic & Subantarctic,-427.6596876965488,208.75251450069092,-0.1454747506007571,0.0655940525279304,24,123539.73659999999
9_russian_arctic,Russian Arctic,-384.42767456889004,53.817808817193644,-0.3151662062045248,0.04335960958174589,24,51137.9904
7_svalbard,Svalbard,-331.0836363945633,35.92697228020421,-0.4181794988022909,0.04386635789617036,24,33429.2396
13_central_asia,Central Asia,-251.6272739530213,66.88222882528537,-0.2178055248383941,0.056557118937433724,24,48681.78220000001
2_western_canada_us,Western Canada & US,-221.84715123127052,25.650595430466684,-0.6947335348602119,0.07308120984599561,24,13661.2744
6_iceland,Iceland,-199.07746929543939,30.887229156172985,-0.7840805613867668,0.11627292497731019,24,10542.392
15_south_asia_east,South Asia East,-176.52050865588853,28.84253974376613,-0.5269353933080532,0.08159580227649006,24,14110.751799999998
14_south_asia_west,South Asia West,-134.66267933090631,41.219342686412496,-0.17631171148007532,0.051182619287411045,24,32117.862399999998
11_central_europe,Central Europe,-47.32990613943336,2.3646319480425304,-1.061529869356995,0.04572707468882763,24,1916.8996
8_scandinavia,Scandinavia,-40.03250661957988,3.1888611982191666,-0.5826021493223924,0.04432891912906466,24,2869.3770000000004
10_north_asia,North Asia,-32.52444754937645,3.2488565977466988,-0.5764891663859192,0.055974275571109566,24,2368.5480000000002
16_low_latitudes,Low Latitudes,-20.40100296290808,3.716408579683126,-0.4207200030056206,0.06609185514164856,24,2034.5631
18_new_zealand,New Zealand,-19.990888860633756,3.3551779978143963,-0.960771550950061,0.12023245319729862,24,889.3948
12_caucasus_middle_east,Caucasus & Middle East,-17.678490825979168,1.6433824925738956,-0.6219138378128549,0.051983031343723424,24,1203.0935
