region_folder,region_name,method,filename,n_records,time_start,time_end,unit
10_north_asia,North Asia,gravimetry,north_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,248,2002.25,2022.9166666666667,Gt
10_north_asia,North Asia,glaciological,north_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,301,1999.6666666666667,2024.75,mwe
10_north_asia,North Asia,combined,north_asia_combined_DUS-combined_Dussaillant_et_al.csv,25,1999.75,2024.75,mwe
10_north_asia,North Asia,gravimetry,north_asia_gravimetry_Wouters_Wouters_et_al.csv,236,2002.1666666666667,2021.8333333333333,Gt
10_north_asia,North Asia,demdiff,north_asia_demdiff_ETH_Hugonnet_et_al.csv,4,2000.0,2020.0,m
10_north_asia,North Asia,glaciological,north_asia_glaciological_WGMS-beta_WGMS.csv,25,1999.75,2024.75,mwe
10_north_asia,North Asia,combined,north_asia_combined_Huss_Huss_et_al.csv,31,1990.75,2021.75,mwe
10_north_asia,North Asia,gravimetry,north_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,1,2003.0,2010.9166666666667,Gt
11_central_europe,Central Europe,glaciological,central_europe_glaciological_WGMS-beta_WGMS.csv,25,1999.75,2024.75,mwe
11_central_europe,Central Europe,gravimetry,central_europe_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,1,2003.0,2010.9166666666667,Gt
11_central_europe,Central Europe,combined,central_europe_combined_Huss_Huss_et_al.csv,31,1990.75,2021.75,mwe
11_central_europe,Central Europe,glaciological,central_europe_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,301,1999.6666666666667,2024.75,mwe
11_central_europe,Central Europe,combined,central_europe_combined_DUS-combined_Dussaillant_et_al.csv,25,1999.75,2024.75,mwe
11_central_europe,Central Europe,gravimetry,central_europe_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,248,2002.25,2022.9166666666667,Gt
11_central_europe,Central Europe,demdiff,central_europe_demdiff_FAU-GLACIER_Braun_et_al.csv,1,2000.1666666666667,2012.0833333333333,m
11_central_europe,Central Europe,demdiff,central_europe_demdiff_ETH_Hugonnet_et_al.csv,4,2000.0,2020.0,m
11_central_europe,Central Europe,gravimetry,central_europe_gravimetry_Wouters_Wouters_et_al.csv,236,2002.1666666666667,2021.8333333333333,Gt
12_caucasus_middle_east,Caucasus & Middle East,gravimetry,caucasus_middle_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,1,2003.0,2010.9166666666667,Gt
12_caucasus_middle_east,Caucasus & Middle East,gravimetry,caucasus_middle_east_gravimetry_Wouters_Wouters_et_al.csv,236,2002.1666666666667,2021.8333333333333,Gt
12_caucasus_middle_east,Caucasus & Middle East,glaciological,caucasus_middle_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,301,1999.6666666666667,2024.75,mwe
12_caucasus_middle_east,Caucasus & Middle East,combined,caucasus_middle_east_combined_DUS-combined_Dussaillant_et_al.csv,25,1999.75,2024.75,mwe
12_caucasus_middle_east,Caucasus & Middle East,combined,caucasus_middle_east_combined_Huss_Huss_et_al.csv,31,1990.75,2021.75,mwe
12_caucasus_middle_east,Caucasus & Middle East,demdiff,caucasus_middle_east_demdiff_ETH_Hugonnet_et_al.csv,4,2000.0,2020.0,m
12_caucasus_middle_east,Caucasus & Middle East,glaciological,caucasus_middle_east_glaciological_WGMS-beta_WGMS.csv,25,1999.75,2024.75,mwe
13_central_asia,Central Asia,glaciological,central_asia_glaciological_WGMS-beta_WGMS.csv,25,1999.75,2024.75,mwe
13_central_asia,Central Asia,combined,central_asia_combined_Huss_Huss_et_al.csv,31,1990.75,2021.75,mwe
13_central_asia,Central Asia,altimetry,central_asia_altimetry_Treichler_snowfall_Treichler_et_al.csv,1,2003.8333333333333,2008.8333333333333,m
13_central_asia,Central Asia,gravimetry,central_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,1,2003.0,2010.9166666666667,Gt
13_central_asia,Central Asia,combined,central_asia_combined_Miles2021_Miles_et_al.csv,1,2000.0,2017.0,mwe
13_central_asia,Central Asia,altimetry,central_asia_altimetry_Ke_Ke_et_al.csv,1,2000.0833333333333,2021.1666666666667,m
13_central_asia,Central Asia,combined,central_asia_combined_DUS-combined_Dussaillant_et_al.csv,25,1999.75,2024.75,mwe
13_central_asia,Central Asia,altimetry,central_asia_altimetry_Treichler_ICESat_Treichler_et_al.csv,1,2003.8333333333333,2008.8333333333333,m
13_central_asia,Central Asia,glaciological,central_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,301,1999.6666666666667,2024.75,mwe
13_central_asia,Central Asia,demdiff,central_asia_demdiff_Brun_et_al_2017_Brun_et_al.csv,1,2000.6666666666667,2016.6666666666667,m
13_central_asia,Central Asia,gravimetry,central_asia_gravimetry_Wouters_Wouters_et_al.csv,236,2002.1666666666667,2021.8333333333333,Gt
13_central_asia,Central Asia,altimetry,central_asia_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,100,2011.0,2019.3333333333333,m
13_central_asia,Central Asia,gravimetry,central_asia_gravimetry_Harig_Group_Harig_et_al.csv,251,2002.25,2023.1666666666667,Gt
13_central_asia,Central Asia,gravimetry,central_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,248,2002.25,2022.9166666666667,Gt
13_central_asia,Central Asia,demdiff,central_asia_demdiff_ETH_Hugonnet_et_al.csv,4,2000.0,2020.0,m
14_south_asia_west,South Asia West,demdiff,south_asia_west_demdiff_Brun_et_al_2017_Brun_et_al.csv,1,2000.6666666666667,2016.6666666666667,m
14_south_asia_west,South Asia West,altimetry,south_asia_west_altimetry_Treichler_ICESat_Treichler_et_al.csv,1,2003.8333333333333,2008.8333333333333,m
14_south_asia_west,South Asia West,gravimetry,south_asia_west_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,248,2002.25,2022.9166666666667,Gt
14_south_asia_west,South Asia West,combined,south_asia_west_combined_Miles2021_Miles_et_al.csv,1,2000.0,2017.0,mwe
14_south_asia_west,South Asia West,altimetry,south_asia_west_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,100,2011.0,2019.3333333333333,m
14_south_asia_west,South Asia West,altimetry,south_asia_west_altimetry_Treichler_snowfall_Treichler_et_al.csv,1,2003.8333333333333,2008.8333333333333,m
14_south_asia_west,South Asia West,glaciological,south_asia_west_glaciological_WGMS-beta_WGMS.csv,25,1999.75,2024.75,mwe
14_south_asia_west,South Asia West,combined,south_asia_west_combined_DUS-combined_Dussaillant_et_al.csv,25,1999.75,2024.75,mwe
14_south_asia_west,South Asia West,combined,south_asia_west_combined_Huss_Huss_et_al.csv,31,1990.75,2021.75,mwe
14_south_asia_west,South Asia West,gravimetry,south_asia_west_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,1,2003.0,2010.9166666666667,Gt
14_south_asia_west,South Asia West,gravimetry,south_asia_west_gravimetry_Wouters_Wouters_et_al.csv,236,2002.1666666666667,2021.8333333333333,Gt
14_south_asia_west,South Asia West,glaciological,south_asia_west_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,301,1999.6666666666667,2024.75,mwe
14_south_asia_west,South Asia West,altimetry,south_asia_west_altimetry_Ke_Ke_et_al.csv,1,2000.0833333333333,2021.1666666666667,m
14_south_asia_west,South Asia West,demdiff,south_asia_west_demdiff_ETH_Hugonnet_et_al.csv,4,2000.0,2020.0,m
