region,total_gt,error,area
alaska,-1473.859896571797,172.79174535916678,85059.88
greenland_periphery,-850.4780845137108,174.3679950202001,80888.8472
arctic_canada_north,-730.2377194967462,63.218697165219226,104154.4899
southern_andes,-630.7891720171691,162.56972885017439,28793.3336
arctic_canada_south,-552.2424313440208,51.57451162307018,40495.4752
antarctic_and_subantarctic,-427.6596876965488,208.75251450069092,123539.73659999999
russian_arctic,-384.42767456889004,53.817808817193644,51137.9904
svalbard,-331.0836363945633,35.92697228020421,33429.2396
central_asia,-251.6272739530213,66.88222882528537,48681.78220000001
western_canada_us,-221.84715123127052,25.650595430466684,13661.2744
iceland,-199.07746929543939,30.887229156172985,10542.392
south_asia_east,-176.52050865588853,28.84253974376613,14110.751799999998
south_asia_west,-134.66267933090631,41.219342686412496,32117.862399999998
central_europe,-47.32990613943336,2.3646319480425304,1916.8996
scandinavia,-40.03250661957988,3.1888611982191666,2869.3770000000004
north_asia,-32.52444754937645,3.2488565977466988,2368.5480000000002
low_latitudes,-20.40100296290808,3.716408579683126,2034.5631
new_zealand,-19.990888860633756,3.3551779978143963,889.3948
caucasus_middle_east,-17.678490825979168,1.6433824925738956,1203.0935
