dataset,model,train_seconds,roc_auc_macro
bace,GNN-MLP,5.068483,0.6603864734299516
bace,KA-GNN,19.926119,0.6487044356609575
bace,Descriptor-MLP,0.0,0.7017127799736496
bbbp,GNN-MLP,5.8439,0.7166132478632479
bbbp,KA-GNN,34.24933,0.7071314102564104
bbbp,Descriptor-MLP,0.0,0.7991619925213675
clintox,GNN-MLP,5.920482,0.6041730989148977
clintox,KA-GNN,27.211067,0.6547002868120763
clintox,Descriptor-MLP,0.0,0.5378333304131947
hiv,GNN-MLP,4.328038,0.5971555394510373
hiv,KA-GNN,11.308878,0.7127457197209892
hiv,Descriptor-MLP,0.0,0.5790379563366247
muv,GNN-MLP,3.496803,0.5154468660328202
muv,KA-GNN,7.667556,0.5012859929758305
muv,Descriptor-MLP,0.0,0.4237987188390667
