roc_auc_macro,avg_precision_macro,num_valid_tasks,dataset,model,train_seconds
0.6603864734299516,0.5912969264596271,1,bace,GNN-MLP,5.068483
0.6487044356609575,0.6046890449336144,1,bace,KA-GNN,19.926119
0.7017127799736496,0.6522644744538016,1,bace,Descriptor-MLP,0.0
0.7166132478632479,0.8752806095387345,1,bbbp,GNN-MLP,5.8439
0.7071314102564104,0.8627668037303544,1,bbbp,KA-GNN,34.24933
0.7991619925213675,0.9008895667723906,1,bbbp,Descriptor-MLP,0.0
0.6041730989148977,0.5375183876258176,2,clintox,GNN-MLP,5.920482
0.6547002868120763,0.5427451650178594,2,clintox,KA-GNN,27.211067
0.5378333304131947,0.5147210774774391,2,clintox,Descriptor-MLP,0.0
0.5971555394510373,0.03872394120979147,1,hiv,GNN-MLP,4.328038
0.7127457197209892,0.1039621785417264,1,hiv,KA-GNN,11.308878
0.5790379563366247,0.04083807441806035,1,hiv,Descriptor-MLP,0.0
0.5154468660328202,0.025107440662399484,7,muv,GNN-MLP,3.496803
0.5012859929758305,0.02627981465415813,7,muv,KA-GNN,7.667556
0.4237987188390667,0.02211286276541587,7,muv,Descriptor-MLP,0.0
