frame,separation_A,energy_true,energy_long_range_model,energy_short_range_no_inter_coulomb,energy_cutoff_2.5A,energy_cutoff_3.0A,energy_cutoff_3.5A,energy_cutoff_4.0A,energy_cutoff_5.0A
0,2.8621164816435924,0.3010472353254414,0.31286493963088124,0.4901276520112651,0.3992072261903559,0.40514391766829766,0.40514391766829766,0.3470705600725204,0.33425203990177726
1,3.0368708885462365,0.36325703896749484,0.3901582772313341,0.5360160841389061,0.4694589725073164,0.5334631953666357,0.4782704280389374,0.4640758498154365,0.4105647613849359
2,2.9243767602039834,0.44233550314199027,0.42111785675928226,0.4729561528047973,0.4798894298509542,0.5127796521009486,0.5127796521009486,0.4694264722505601,0.4425136760224391
3,3.4260626710757722,0.6546224188846886,0.6405709983390849,0.6757492448927204,0.7199842726624779,0.8265193843937146,0.7239516804629764,0.7239516804629764,0.671064249001651
4,3.442818128388856,0.25822117555607194,0.25054667446316853,0.2826386478131611,0.3515285538841279,0.39915758492404224,0.3498249052771189,0.3337716101807597,0.26983972854074334
5,3.5933892801646063,1.1551650613571343,1.1553536696788274,1.1605482387179058,1.206713933518993,1.3351736860268688,1.2811783081615382,1.2354423480568841,1.1849629104322177
6,4.066379351171234,0.37996542192807387,0.3926339626595011,0.42786476988266303,0.5090357147599305,0.5545264357790407,0.5221656465479418,0.507990125837525,0.4429560377041019
7,3.9329564046033747,0.31840291315415253,0.32562991148318987,0.3590514644484301,0.40706698088966947,0.4912218236685915,0.47428620507506297,0.42877984098491156,0.35369572593179927
8,3.9279013579147857,0.7881122494619325,0.7744760795891815,0.7690896070758382,0.8550310836783155,0.939742053336434,0.9234529997422698,0.8644617520272988,0.8025105070664786
9,4.439864782591284,0.6322230099518007,0.6752110886856981,0.7258964221201167,0.8220371699824577,0.8233162210699442,0.8233162210699442,0.8233162210699442,0.7451084404347904
10,4.475635599783371,1.8443943208912492,1.4680872694453346,1.660967251445205,1.5742414846974162,1.6136048994612677,1.6139558461427788,1.6139558461427788,1.535839347106374
11,4.413376670082758,0.3945375914412822,0.3705767922405826,0.3695298197976921,0.4722724405238095,0.5392927358178168,0.5210248168374247,0.5057944205027629,0.42905477530728203
12,4.904863402313285,0.46974330398976333,0.42965306368293243,0.419681768453162,0.5321926250471546,0.6009065102273777,0.5660090681023097,0.5660090681023097,0.5054804738894266
13,4.82821155092571,0.7206730592254834,0.7518698575345351,0.7357124608687768,0.8393026849717711,0.9072332951592579,0.8901649055908287,0.8901649055908287,0.8167227806690545
14,4.929385341227206,0.5534544595729943,0.5473577495661867,0.595408184100194,0.6309332067328016,0.699379864387278,0.6827107411450009,0.6827107411450009,0.6223598869087924
15,5.416669507757249,1.5614496856176263,1.491853369293263,1.488122191976463,1.5574101085120127,1.6625568369048391,1.6298874336612776,1.6157378911053026,1.5925208160856226
16,5.321974004249614,1.555065814783358,1.5488868271408887,1.54987163327537,1.5985167372487337,1.7248054905091768,1.690212577048936,1.674161807438598,1.6512430203445523
17,5.391104183760515,1.510258744294313,1.2451146123495167,1.3699850543171357,1.335007905571307,1.4169716905665493,1.383845623713593,1.383845623713593,1.3463992626054087
18,5.845768283176555,0.5479356945616202,0.5342630083581752,0.5804632543066999,0.5887137533563124,0.6919895644117272,0.6919895644117272,0.6627991661824307,0.6494137874082352
19,5.876272059670141,1.2140550994536703,1.198725098913362,1.2082955342681356,1.3117587606056202,1.3555418277212394,1.3555418277212394,1.341200445619968,1.3144418619564477
