agent,count,percentage
silver iodide,521,62.6
"silver iodide, sodium iodide",108,13.0
"silver iodide, ammonium iodide",59,7.1
"silver iodide, calcium chloride",23,2.8
ionized air,21,2.5
"silver iodide, ammonium iodide, acetone",15,1.8
"silver iodide, hygroscopic aerosols",14,1.7
"silver iodide, dry ice",12,1.4
"silver iodide, hygroscopic",8,1.0
"silver iodide, hygroscopic agents",6,0.7
"silver iodide, acetone",6,0.7
"silver iodide, sodium chloride",5,0.6
calcium chloride,5,0.6
carbon dioxide,4,0.5
"silver iodide, hygroscopic materials",4,0.5
"silver iodide, propane",3,0.4
water,3,0.4
"silver iodide, potassium chloride",2,0.2
"silver iodide, ammonium iodide, ammonium perchlorate, sodium perchlorate, acetone",2,0.2
"silver iodide, cesium iodide",2,0.2
dry ice,2,0.2
"sulfur dioxide, calcium carbonate",1,0.1
"silver iodide, liquid propane",1,0.1
"silver iodide, ammonium iodide, ammonium sodium perchlorate, acetone",1,0.1
"silver iodide, ammonium, sodium perchlorate, acetone",1,0.1
"silver iodide, ammonium iodide, ammonium perchlorate, sodium precipitate, acetone",1,0.1
"silver iodide, silver chloride, potassium iodide",1,0.1
ammonium iodide,1,0.1
