cell_type,_state,embedding,range_n_clusters_len,n_init,max_iter,random_state,labels_len,gm,scores_len,n_clusters_len,kwargs
Am,dict,dict,5,100,1000,42,5,dict,5,5,dict
C2,dict,dict,5,100,1000,42,5,dict,5,5,dict
C3,dict,dict,5,100,1000,42,5,dict,5,5,dict
CT1(Lo1),dict,dict,5,100,1000,42,5,dict,5,5,dict
CT1(M10),dict,dict,5,100,1000,42,5,dict,5,5,dict
L1,dict,dict,5,100,1000,42,5,dict,5,5,dict
L2,dict,dict,5,100,1000,42,5,dict,5,5,dict
L3,dict,dict,5,100,1000,42,5,dict,5,5,dict
L4,dict,dict,5,100,1000,42,5,dict,5,5,dict
L5,dict,dict,5,100,1000,42,5,dict,5,5,dict
Lawf1,dict,dict,5,100,1000,42,5,dict,5,5,dict
Lawf2,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi1,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi10,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi11,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi12,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi13,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi14,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi15,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi2,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi3,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi4,dict,dict,5,100,1000,42,5,dict,5,5,dict
Mi9,dict,dict,5,100,1000,42,5,dict,5,5,dict
R1,dict,dict,5,100,1000,42,5,dict,5,5,dict
R2,dict,dict,5,100,1000,42,5,dict,5,5,dict
R3,dict,dict,5,100,1000,42,5,dict,5,5,dict
R4,dict,dict,5,100,1000,42,5,dict,5,5,dict
R5,dict,dict,5,100,1000,42,5,dict,5,5,dict
R6,dict,dict,5,100,1000,42,5,dict,5,5,dict
R7,dict,dict,5,100,1000,42,5,dict,5,5,dict
R8,dict,dict,5,100,1000,42,5,dict,5,5,dict
T1,dict,dict,5,100,1000,42,5,dict,5,5,dict
T2,dict,dict,5,100,1000,42,5,dict,5,5,dict
T2a,dict,dict,5,100,1000,42,5,dict,5,5,dict
T3,dict,dict,5,100,1000,42,5,dict,5,5,dict
T4a,dict,dict,5,100,1000,42,5,dict,5,5,dict
T4b,dict,dict,5,100,1000,42,5,dict,5,5,dict
T4c,dict,dict,5,100,1000,42,5,dict,5,5,dict
T4d,dict,dict,5,100,1000,42,5,dict,5,5,dict
T5a,dict,dict,5,100,1000,42,5,dict,5,5,dict
T5b,dict,dict,5,100,1000,42,5,dict,5,5,dict
T5c,dict,dict,5,100,1000,42,5,dict,5,5,dict
T5d,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm1,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm16,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm2,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm20,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm28,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm3,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm30,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm4,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm5Y,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm5a,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm5b,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm5c,dict,dict,5,100,1000,42,5,dict,5,5,dict
Tm9,dict,dict,5,100,1000,42,5,dict,5,5,dict
TmY10,dict,dict,5,100,1000,42,5,dict,5,5,dict
TmY13,dict,dict,5,100,1000,42,5,dict,5,5,dict
TmY14,dict,dict,5,100,1000,42,5,dict,5,5,dict
TmY15,dict,dict,5,100,1000,42,5,dict,5,5,dict
TmY18,dict,dict,5,100,1000,42,5,dict,5,5,dict
TmY3,dict,dict,5,100,1000,42,5,dict,5,5,dict
TmY4,dict,dict,5,100,1000,42,5,dict,5,5,dict
TmY5a,dict,dict,5,100,1000,42,5,dict,5,5,dict
TmY9,dict,dict,5,100,1000,42,5,dict,5,5,dict
