scenario,region,n_sample_points,expanded_area_ha,mean_slr_rate_mm_yr,pct_area_above_7mm,mean_tc_risk_norm,mean_composite_risk,pct_area_high_or_very_high,service_value_high_or_very_high_usd_yr
ssp245,Americas / Atlantic-East Pacific,27514,247.62599999999998,7.073254827845218,37.06840154103365,0.01859995358391726,0.15330029941110562,39.459911317874536,1954259.9999999998
ssp245,Central Pacific / Dateline,1095,9.854999999999999,6.6028310502283105,3.9269406392694064,0.024067662991284697,0.03518857528052312,20.273972602739725,39959.99999999999
ssp245,Oceania / West Pacific,24237,218.13299999999998,6.356545777117631,7.946528035647975,0.04196315182286693,0.05669380703240604,32.18632669059703,1404180.0
ssp245,South & Southeast Asia,27196,244.76399999999995,6.258179715971304,7.868804235917048,0.017741956735874212,0.04403980993176549,16.634799235181646,814319.9999999999
ssp245,West Africa / East Atlantic,11353,102.17699999999999,6.504260254264659,0.6165771161807452,6.210736751990085e-06,0.010596949601640062,0.6165771161807452,12600.0
ssp245,Western Indian Ocean,8605,77.445,6.096277358125121,5.090063916327716,0.024865731940626978,0.03693465577096054,17.73387565368972,274680.0
ssp370,Americas / Atlantic-East Pacific,27514,247.62599999999998,8.2264992367522,93.69411935741805,0.01859995358391726,0.36129141863480946,26.33204913862034,1304100.0
ssp370,Central Pacific / Dateline,1095,9.854999999999999,8.029112125824454,100.0,0.024067662991284697,0.38703383149564236,37.26027397260275,73440.0
ssp370,Oceania / West Pacific,24237,218.13299999999998,7.543559204705387,81.4498494038041,0.04196315182286693,0.3279142194515367,36.423649791640884,1589040.0
ssp370,South & Southeast Asia,27196,244.76399999999995,7.442553234952852,81.6737755552287,0.017741956735874212,0.3168127780879395,23.569642594499197,1153800.0
ssp370,West Africa / East Atlantic,11353,102.17699999999999,7.819017978605755,100.0,6.210736751990085e-06,0.37500310536837594,0.0,0.0
ssp370,Western Indian Ocean,8605,77.445,7.425908709406676,68.75072632190586,0.024865731940626978,0.27305404515841114,24.509006391632774,379619.99999999994
ssp585,Americas / Atlantic-East Pacific,27514,247.62599999999998,9.281612593184883,99.9600203532747,0.01859995358391726,0.3841531805930314,22.788398633422982,1128599.9999999998
ssp585,Central Pacific / Dateline,1095,9.854999999999999,9.251537290715374,100.0,0.024067662991284697,0.38703383149564236,31.41552511415526,61920.0
ssp585,Oceania / West Pacific,24237,218.13299999999998,8.809258571605397,98.25060857366836,0.04196315182286693,0.3895852718217267,43.13652679787102,1881899.9999999998
ssp585,South & Southeast Asia,27196,244.76399999999995,8.682603242306875,98.97779085159584,0.017741956735874212,0.38006099541837485,20.896455361082516,1022940.0
ssp585,West Africa / East Atlantic,11353,102.17699999999999,8.974623447546906,100.0,6.210736751990085e-06,0.37500310536837594,0.0,0.0
ssp585,Western Indian Ocean,8605,77.445,8.62609593905352,100.0,0.024865731940626978,0.38743286597031346,26.124346310284718,404640.0
