Metric,Value,Detail
Total Records,832,
Year Range,2000-2025,
Unique Projects,211,
States Covered,13,
Top State,California,215
Top 3 States Share,58.5%,"(['california', 'colorado', 'utah'])"
Top 5 States Share,79.8%,
Peak Period (2003-2005),143,17.2%
Decline Period (2016-2020),122,14.7%
Recovery Period (2021-2025),132,15.9%
Lowest Year,2020,12
Primary Purpose,Augment Snowpack,516 (62.0%)
Secondary Purpose,Increase Precipitation,423 (50.8%)
Dominant Agent,Silver Iodide,795 (95.6%)
Dominant Apparatus,Ground,592 (71.2%)
Airborne Apparatus,Airborne,367 (44.1%)
Combined Ground+Airborne,Both,131 (15.7%)
