model_id,validation_loss,fold,seed,decoder_type,decoder_shape_0,decoder_shape_1,kernel_size,dataset_type,n_frames,dt,connectome_file,extent,syn_fill
0,5.136557016107771,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
1,5.191043282548587,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
2,5.220126933521694,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
3,5.247156386574109,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
4,5.251272684997982,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
5,5.259884989923901,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
6,5.260432350966665,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
7,5.262506523066097,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
8,5.269997964302699,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
9,5.270350093642871,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
10,5.271915788451831,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
11,5.277487738264932,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
12,5.277920769320594,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
13,5.281195715069771,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
14,5.283142609728707,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
15,5.28523435195287,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
16,5.289695978164673,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
17,5.291881955332226,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
18,5.292151803771655,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
19,5.29551562666893,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
20,5.295636506544219,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
21,5.29688036441803,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
22,5.298010347617997,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
23,5.298870379726092,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
24,5.299407965607113,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
25,5.300875248180495,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
26,5.303517358170615,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
27,5.306977753837903,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
28,5.308157533407211,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
29,5.318766688307126,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
30,5.3195354839166,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
31,5.3196239637004,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
32,5.3243887854946985,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
33,5.328959698478381,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
34,5.330954548385408,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
35,5.33160486486223,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
36,5.332136740287145,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
37,5.332739220725165,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
38,5.335818338725302,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
39,5.355444838603337,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
40,5.359657613767518,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
41,5.359666627314356,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
42,5.366370586885346,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
43,5.3715731253226595,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
44,5.378605905506346,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
45,5.383891855676969,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
46,5.417977909247081,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
47,5.418262915478812,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
48,5.427841342157787,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
49,5.677851685219341,1,0,DecoderGAVP,8,2,5,MultiTaskSintel,19,0.02,fib25-fib19_v2.2.json,15,1
