feature,importance_mean,importance_std
M2_Nose_to_M1_lat_right,0.008772440582068908,0.004081301057957038
M2_Nose_to_M1_tail_base,0.008688101727272279,0.004453281959908592
Mouse_2_width_median_15,0.008324562979768624,0.0036345063721967314
Centroid_distance_mean_15,0.006497386687867712,0.005305276858805838
Mouse_2_nose_to_tail_sum_15,0.006478785563801703,0.0027086639662368523
Mouse_2_Centroid_to_lateral_left,0.005862882477230746,0.0031884943358760844
Total_movement_centroids_sum_15,0.004338683203835336,0.003877706793196875
Nose_to_nose_distance_median_5,0.004052609156650022,0.003067534321187431
M1_Nose_to_M2_tail_base,0.0039612874181681025,0.004086365272474184
Mouse_2_polygon_size_change,0.003018039941595574,0.0011368115340732565
Centroid_distance_mean_5,0.002869156566905762,0.001434578283452881
Mouse_2_width_sum_2,0.002869156566905762,0.001434578283452881
Total_movement_centroids_mean_5,0.002869156566905762,0.001434578283452881
Mouse_2_poly_area_median_15,0.0025449280442165546,0.002853646088386108
Mouse_1_width_mean_15,0.002526638097596645,0.0014720580930208027
Mouse_2_angle,0.0025105119960425414,0.0016435158935656604
Mouse_1_width_median_5,0.0025105119960425414,0.0016435158935656604
Total_movement_centroids_median_15,0.002451708648161266,0.00256398643257297
Nose_to_nose_distance_median_15,0.0024496341745589454,0.0013923040960950256
Centroid_distance_median_2,0.0023751924872140394,0.0014974188744985453
Mouse_2_nose_to_tail_mean_15,0.002374953124875312,0.0020696177999569246
Mouse_2_poly_area,0.0021518674251793215,0.001756992395268665
Mouse_2_width_mean_2,0.0019418668666671857,0.002193444397551375
Mouse_2_width,0.0019418668666671857,0.002193444397551375
Mouse_1_nose_to_tail,0.001867664541661007,0.0017316296424042057
Mouse_2_poly_area_mean_5,0.001865603365966384,0.002576468415143933
Mouse_2_width_sum_15,0.0018065473578386837,0.0020490045288484573
Mouse_1_width_median_2,0.001793222854316101,0.001793222854316101
Mouse_2_width_mean_15,0.001793222854316101,0.001793222854316101
