feature,importance_mean,importance_std
Mouse_1_Centroid_to_lateral_right,0.021052961989215004,0.011869499736107795
Mouse_2_width_median_15,0.010960778289810524,0.009950975533544829
Mouse_1_nose_to_tail_mean_5,0.005399325084364382,0.002699662542182191
Nose_to_nose_distance_median_15,0.005399325084364382,0.002699662542182191
Nose_to_nose_distance_sum_15,0.005399325084364382,0.002699662542182191
Mouse_1_nose_to_tail_sum_5,0.004724409448818833,0.0030928519875967004
Mouse_1_nose_to_tail_median_2,0.004724409448818833,0.0030928519875967004
Mouse_2_Nose_to_lateral_left,0.0020139482564679014,0.004343558200456224
Mouse_1_width_mean_15,0.0018489977895170373,0.006060032900968383
M1_Nose_to_M2_tail_base,0.0016036866359446789,0.004462108968352782
Mouse_1_width_median_15,0.0009198156682027392,0.0037158972387661103
Mouse_2_nose_to_tail_sum_15,0.0004571428571428449,0.005090527417444595
Centroid_distance_sum_15,0.00044818752494645285,0.004759034981368775
Mouse_1_nose_to_tail,0.0,0.0
Mouse_2_width_mean_2,0.0,0.0
Movement_mouse_2_tail_base,0.0,0.0
Mouse_2_Centroid_to_lateral_left,0.0,0.0
Mouse_2_Nose_to_centroid,0.0,0.0
Mouse_1_polygon_size_change,0.0,0.0
Mouse_2_width,0.0,0.0
Mouse_2_poly_area,0.0,0.0
Nose_to_nose_distance_sum_5,0.0,0.0
Nose_to_nose_distance_mean_5,0.0,0.0
Total_movement_centroids_mean_2,0.0,0.0
Mouse_2_polygon_size_change,0.0,0.0
Total_movement_centroids,0.0,0.0
Mouse_1_poly_area,0.0,0.0
Movement_mouse_2_tail_end,0.0,0.0
Movement_mouse_2_left_ear,0.0,0.0
Movement_mouse_2_nose,0.0,0.0
Movement_mouse_1_centroid,0.0,0.0
Mouse_2_Ear_distance,0.0,0.0
Movement_mouse_1_left_ear,0.0,0.0
Mouse_1_Ear_distance,0.0,0.0
Total_movement_centroids_median_2,0.0,0.0
Mouse_2_poly_area_sum_15,0.0,0.0
Mouse_1_poly_area_median_15,0.0,0.0
Mouse_2_poly_area_median_2,0.0,0.0
Mouse_2_nose_to_tail_sum_2,0.0,0.0
Mouse_1_nose_to_tail_mean_15,0.0,0.0
Mouse_2_nose_to_tail_median_2,0.0,0.0
Mouse_1_nose_to_tail_sum_15,0.0,0.0
Mouse_1_width_mean_2,0.0,0.0
Sum_probabilities,0.0,0.0
Mouse_2_angle,0.0,0.0
Mouse_1_angle,0.0,0.0
Mouse_2_width_median_5,0.0,0.0
Mouse_1_width_sum_2,0.0,0.0
Mouse_1_width_median_2,0.0,0.0
Mouse_2_nose_to_tail_mean_2,0.0,0.0
Mouse_1_poly_area_mean_2,0.0,0.0
Mouse_1_poly_area_median_2,0.0,0.0
Total_movement_centroids_mean_5,0.0,0.0
Mouse_1_poly_area_sum_2,0.0,0.0
Mouse_2_poly_area_mean_5,0.0,0.0
Mouse_2_poly_area_mean_2,0.0,0.0
Mouse_2_poly_area_sum_2,0.0,0.0
Mouse_2_poly_area_median_5,0.0,0.0
Total_movement_centroids_sum_2,0.0,0.0
Movement_mouse_2_lateral_right,0.0,0.0
Movement_mouse_1_lateral_right,0.0,0.0
Mouse_1_width,0.0,0.0
Movement_mouse_1_lateral_left,0.0,0.0
Movement_mouse_2_centroid,0.0,0.0
Movement_mouse_1_nose,0.0,0.0
Movement_mouse_2_right_ear,0.0,0.0
Mouse_1_nose_to_tail_median_15,0.0,0.0
Nose_to_nose_distance_mean_15,-1.079865016874182e-05,0.0030425376507973766
Mouse_2_nose_to_tail,-0.0006857142857142895,0.0020571428571428685
Mouse_2_width_sum_2,-0.0006857142857142895,0.0020571428571428685
Mouse_2_nose_to_tail_mean_5,-0.0006857142857142895,0.0020571428571428685
Mouse_1_nose_to_tail_mean_2,-0.0006857142857142895,0.0020571428571428685
Mouse_2_nose_to_tail_sum_5,-0.0006857142857142895,0.0020571428571428685
Mouse_2_nose_to_tail_median_5,-0.0006857142857142895,0.0020571428571428685
Mouse_1_poly_area_sum_5,-0.0006857142857142895,0.0020571428571428685
