purpose,count,percentage
augment snowpack,326,39.18
increase precipitation,221,26.56
"augment snowpack, increase precipitation",118,14.18
"increase precipitation, suppress hail",55,6.61
"augment snowpack, increase runoff",50,6.01
"suppress hail, increase precipitation",14,1.68
suppress hail,11,1.32
"increase precipitation, augment snowpack",10,1.2
"augment snowpack, suppress fog",7,0.84
suppress fog,6,0.72
research,4,0.48
"increase precipitation, increase precipitation",3,0.36
"research, augment snowpack",2,0.24
"augment snowpack, increase runoff, research",2,0.24
"increase runoff, increase precipitation",1,0.12
"increase precipitation, increase runoff",1,0.12
"augment snowpack, research",1,0.12
