,season,hour,Electricity [kW],Heat [mmBTU],Cooling Energy [Ton],PV Power Generation [kW],Greenhouse Gas Emission [Ton]
0,Fall,0,618.6420178543915,168.6302512679176,270.1316693363989,0.0,413.9364181748508
1,Fall,1,639.6348156740069,167.98015735130454,267.3980168129466,0.0,423.6910584049841
2,Fall,2,658.8674609734529,165.15933730909845,264.64960642624516,0.0,431.911452964705
3,Fall,3,674.8573358820042,163.85718625177918,263.40388630838896,0.0,439.2666010782137
4,Fall,4,687.4773745052555,160.59497197942275,263.8128920373331,0.0,444.67975725392125
5,Fall,5,693.2905407972319,156.7578361101423,264.610154037118,0.0,446.59465203908223
6,Fall,6,694.2314677669473,153.80525408823186,268.2162065193273,74.40827437099361,409.6964142283118
7,Fall,7,687.8003140251772,150.37412872238704,271.0095335726071,73.76911767874361,406.32974350445426
8,Fall,8,678.6927944122776,146.76751796282517,275.5137080454298,73.75844850314667,401.600169952499
9,Fall,9,664.4412443327283,144.02479067144907,279.4826795017561,73.92740977092329,394.36089038268847
10,Fall,10,645.4966178916716,142.04798364052377,284.8599887167039,73.9940330207145,385.33768527097646
11,Fall,11,625.7400906268779,141.33587884106686,290.7359816085327,74.58156040488753,376.1272250850217
12,Fall,12,602.6900485443919,141.42922006170068,293.6318483823262,75.74712667778016,364.6265966282813
13,Fall,13,580.1909356449902,142.18982570587738,298.6710213374527,76.3300746580744,354.3215824727117
14,Fall,14,561.286400783772,144.23083139742303,301.2778775683664,77.37274226814557,345.4816541907134
15,Fall,15,544.7278061734363,146.7094239026847,300.70061318961393,78.21509688638507,337.4093044522538
16,Fall,16,532.3774578074596,149.63483429928357,300.3944437366017,79.1438195571092,331.5861581622806
17,Fall,17,526.1864554521427,152.64902085256253,300.0544890693259,80.25289323351109,328.7723851789498
18,Fall,18,523.6677677066535,156.28837855709273,297.3896122962735,80.41482929120956,327.9909052341045
19,Fall,19,530.7825069882608,159.9060056773351,292.99097934932047,0.0,371.96125106719506
20,Fall,20,541.7764797890906,163.16330414807612,289.41197706018517,0.0,377.71962655100515
21,Fall,21,556.329016655629,165.759761365713,284.4443049754499,0.0,384.7812977326184
22,Fall,22,574.7517646899722,167.93477609840903,278.7572512244369,0.0,393.5077654193962
23,Fall,23,595.180145447442,168.61392279965537,273.9782964560132,0.0,402.9699088548202
24,Spring,0,617.7680964362954,168.93936047108872,270.23458853238304,0.0,413.61277406595093
25,Spring,1,639.5610370863114,166.98936951548419,266.9717055789393,0.0,423.2716705135889
26,Spring,2,659.6529130431475,166.93935925565742,264.0408289600261,0.0,432.7164300902762
27,Spring,3,676.2188030990586,163.48637274788635,262.03725734166966,0.0,439.56276484222917
28,Spring,4,687.515135885527,160.78983151876028,262.37205140085905,0.0,444.4689276785634
29,Spring,5,692.7644395672914,157.19673156242408,266.123539662474,0.0,446.76594718486774
30,Spring,6,692.6564423126338,154.21925874500943,267.0431949231429,74.59861910446224,408.70332821221723
31,Spring,7,690.0372862322556,149.73734250723092,270.70660368331176,73.79682247614504,407.1827553668869
32,Spring,8,679.9893491257329,146.584704545047,277.4433710963185,73.92422834292418,402.49664597418223
33,Spring,9,661.8597115306172,144.1271560456752,280.20122224361575,73.74805342739386,393.3342203140374
34,Spring,10,644.8030058991417,142.12431827574642,285.7648257686362,74.22223219108854,385.0806474904777
35,Spring,11,623.9933162792257,141.2472991393466,291.1785385569008,74.87176584799363,375.17067266880014
36,Spring,12,600.4742355800498,141.90173436748034,294.99022071814744,75.54243644862738,364.0344640195848
37,Spring,13,580.7313745426603,141.96292134013217,297.5882651352905,76.29266193119629,354.3258857348298
38,Spring,14,561.4187202035067,143.80316839181674,299.3769889783908,77.3829881332662,345.0342143483435
39,Spring,15,544.8882188726944,146.14425598221695,301.61437776998713,78.26374873221481,337.47838741890234
40,Spring,16,531.0352574568302,149.60674268644635,301.8489824843632,79.25544337638402,331.14172634302963
41,Spring,17,524.9049510257177,152.81143111548266,301.02399609243633,80.13836147092832,328.4315233305268
42,Spring,18,525.7979538312993,157.0090857459557,297.3961138895496,80.77498249307176,329.0934341708104
43,Spring,19,530.2514414385272,160.55234728433297,293.6772149130399,0.0,372.0268678871715
44,Spring,20,542.2769788349449,163.49120722097967,289.14604634509885,0.0,378.0150608527862
45,Spring,21,555.0827040432223,165.90955336550843,285.59167626343793,0.0,384.4325532839513
46,Spring,22,576.2017469316763,167.88507936981142,278.710377994328,0.0,394.2084728756472
47,Spring,23,594.8392626440801,168.5794803532051,275.59454693460344,0.0,403.1123848149223
48,Summer,0,617.6262293214945,168.4243430193178,270.10188105821766,0.0,413.3607937781861
49,Summer,1,639.923618069288,168.2138868428254,268.3529382174963,0.0,424.09656273099085
50,Summer,2,659.0640605707858,166.04409008637916,263.9735198185232,0.0,432.13996127501133
51,Summer,3,677.0137073440649,163.4541588994703,263.2754083460542,0.0,440.1981830110844
52,Summer,4,686.7643100331114,161.1622358008362,263.2771736601997,0.0,444.3862604888465
53,Summer,5,694.6902116434097,157.40569245567593,266.03967045260714,0.0,447.77474764892906
54,Summer,6,694.6251010624546,153.4907137511462,266.6200308530899,74.32788544287392,409.5198281057522
55,Summer,7,690.2173039479062,149.87038056347174,272.9526843375376,73.97316998265752,407.6737180191734
56,Summer,8,679.279477124147,147.27511868697746,277.5661442269223,73.81963808145518,402.42568397282355
57,Summer,9,665.7141401386655,144.12373444329833,281.4906636002596,73.85719249077853,395.4637268769849
58,Summer,10,644.4284457039257,142.76243124527903,286.17476221248506,74.15495001630026,385.2004296598934
59,Summer,11,624.2121490222452,141.8300969148274,290.4485262972818,74.865667463149,375.31197511345266
60,Summer,12,602.3821369972386,140.9978464990027,296.0698995285807,75.32599079078294,365.0414069586448
61,Summer,13,579.1030620055418,142.45471070941412,299.1888736678464,76.24049955591452,354.00546917120715
62,Summer,14,559.1097508396455,143.52465441863885,300.00103967817313,77.20880239464185,344.0080784837281
63,Summer,15,542.7913213935633,146.3220740616357,302.11834484009336,78.26209365680009,336.584905054891
64,Summer,16,533.943972193202,149.59185899300462,301.52869821712693,79.18055237678857,332.5650072495335
65,Summer,17,526.6321769530468,153.20974975567094,299.7475376003548,79.89794705208512,329.27954739725305
66,Summer,18,525.8899797479022,157.007848568164,297.95974970098473,80.4904939717514,329.39404739872157
67,Summer,19,529.7538798031525,160.33102794814823,293.4395421250281,0.0,371.6641567110263
68,Summer,20,542.3019863818836,163.022071485386,289.9261304936114,0.0,378.04284073527987
69,Summer,21,555.7881829422396,165.83267718364493,283.92422518565877,0.0,384.4287396633451
70,Summer,22,573.5667974273214,167.2518457073343,279.18604640669355,0.0,392.7961617071997
71,Summer,23,595.0652392242079,168.8353481621321,274.2129232031899,0.0,403.02580870138155
72,Winter,0,617.9443135285369,168.92007704560177,269.11199984478026,0.0,413.470579846905
73,Winter,1,639.5498896879949,167.68948156469096,266.56864693240664,0.0,423.39551869988605
74,Winter,2,659.270167290046,166.25849553838742,264.605325199882,0.0,432.4336973465156
75,Winter,3,675.5973650979284,163.43430573312733,263.20753354356486,0.0,439.4704809776154
76,Winter,4,687.6334049111005,160.60111053377742,263.3450271284972,0.0,444.6660410413829
77,Winter,5,692.7434839720189,157.02969624581868,265.1270946261167,0.0,446.5060697849783
78,Winter,6,695.1712415782127,153.83293919734706,267.9020669937088,74.50048312112713,410.0656743864887
79,Winter,7,689.4753386894295,150.37194812382324,271.5382790274986,74.00394328319342,407.15493794576474
80,Winter,8,678.2967090816172,146.91576275103293,275.2722828691658,73.86334180305003,401.3458690384266
81,Winter,9,662.9820717134213,145.08912527041352,280.7582292304491,73.5513337781719,394.3937523948386
82,Winter,10,644.8695643772608,142.59225985124775,285.4312052455764,74.2765710313872,385.16041567742633
