,Electricity [kW],Heat [mmBTU],Cooling Energy [Ton],PV Power Generation [kW],Greenhouse Gas Emission [Ton]
BN001,8.528067469120492,7.0926819430418915,7.6130063131066015,8.319556420354603,8.233362714534383
BN002,8.84864206626495,7.753077673379904,8.134691666864896,6.176057542206874,8.755552853304085
BN003,9.184723968939466,8.388126848492943,8.677111694512721,6.928491343153483,9.135415475887823
BN004,9.511549372925835,9.027077872353486,9.199737495844024,8.509902503837242,9.461338804163342
BN005,9.829694379536477,9.67533911464966,9.744157071367034,11.727372309473651,9.697428223541003
BN006,10.157359004740288,10.316572056088361,10.266671544917637,11.852874342851619,10.101953431861485
BN007,10.498431819800455,10.96167366629081,10.798212747893373,10.022922662257008,10.623155279820235
BN008,10.80908135425144,11.624172741109916,11.322998420740156,11.563406642027404,10.941667870128061
BN009,11.149535841334234,12.256512577967111,11.86905019216817,14.09263111799729,11.230373291463412
BN010,11.482914723086354,12.904765506625909,12.3743628525854,10.80678511584085,11.81975205529617
