state,augment snowpack,"augment snowpack, increase precipitation","augment snowpack, increase runoff","augment snowpack, increase runoff, research","augment snowpack, research","augment snowpack, suppress fog",increase precipitation,"increase precipitation, augment snowpack","increase precipitation, increase precipitation","increase precipitation, increase runoff","increase precipitation, suppress hail","increase runoff, increase precipitation",research,"research, augment snowpack",suppress fog,suppress hail,"suppress hail, increase precipitation"
california,40,1,38,2,0,0,130,1,0,1,0,1,1,0,0,0,0
colorado,35,105,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
idaho,45,12,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0
kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nevada,49,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0
north dakota,0,0,0,0,0,0,0,0,0,0,42,0,2,0,0,0,0
oklahoma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oregon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
south dakota,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
texas,0,0,0,0,0,0,80,0,2,0,12,0,0,0,0,10,0
utah,123,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0
wyoming,34,0,10,0,1,0,0,0,0,0,0,0,0,2,0,0,0
