region_id,region_name,total_gt,total_gt_err,avg_rate_gt_yr,avg_rate_mwe_yr,avg_area_km2,trend_gt_yr2,trend_p_value,n_years
1,Alaska,-1473.859896571797,172.79174535916678,-61.410829023824874,-0.7320277166261931,85059.88,-2.568819442162738,0.09612334044284357,24
5,Greenland Periphery,-850.4780845137108,174.3679950202001,-35.436586854737946,-0.44660519236135726,80888.8472,-0.9772304051567036,0.27288884997774054,24
3,Arctic Canada North,-730.2377194967462,63.218697165219226,-30.42657164569776,-0.2930927604783487,104154.4899,-0.2400191963556384,0.7789599060512568,24
17,Southern Andes,-630.7891720171691,162.56972885017439,-26.282882167382045,-0.9192548379252351,28793.3336,-1.1576942943824136,0.06523729437397377,24
4,Arctic Canada South,-552.2424313440208,51.57451162307018,-23.010101306000866,-0.5700617959389733,40495.4752,-0.12727988384667355,0.7729073918634183,24
19,Antarctic & Subantarctic,-427.6596876965488,208.75251450069092,-17.819153654022866,-0.1454747506007571,123539.73659999999,-0.6267733700675112,0.5539380565031796,24
9,Russian Arctic,-384.42767456889004,53.817808817193644,-16.017819773703753,-0.3151662062045248,51137.9904,-1.298477644515454,0.0049926767672498346,24
7,Svalbard,-331.0836363945633,35.92697228020421,-13.795151516440137,-0.4181794988022909,33429.2396,-1.0812237779611833,0.0012860329694760057,24
13,Central Asia,-251.6272739530213,66.88222882528537,-10.484469748042555,-0.2178055248383941,48681.78220000001,-0.9696297835817046,0.03763368688264898,24
2,Western Canada & US,-221.84715123127052,25.650595430466684,-9.243631301302939,-0.6947335348602119,13661.2744,-0.7287113385659586,0.03006383828520034,24
6,Iceland,-199.07746929543939,30.887229156172985,-8.294894553976642,-0.7840805613867668,10542.392,0.32873481526783055,0.12810891677816144,24
15,South Asia East,-176.52050865588853,28.84253974376613,-7.355021193995356,-0.5269353933080532,14110.751799999998,-0.20398786751531975,0.11639701890684566,24
14,South Asia West,-134.66267933090631,41.219342686412496,-5.610944972121096,-0.17631171148007532,32117.862399999998,-0.16623304718853293,0.6217609805114719,24
11,Central Europe,-47.32990613943336,2.3646319480425304,-1.97207942247639,-1.061529869356995,1916.8996,-0.09263055081846655,0.02517946933291826,24
8,Scandinavia,-40.03250661957988,3.1888611982191666,-1.6680211091491615,-0.5826021493223924,2869.3770000000004,0.015088251037667155,0.7990172305267309,24
10,North Asia,-32.52444754937645,3.2488565977466988,-1.355185314557352,-0.5764891663859192,2368.5480000000002,-0.022941273875703747,0.25545898492083957,24
16,Low Latitudes,-20.40100296290808,3.716408579683126,-0.85004179012117,-0.4207200030056206,2034.5631,0.006712083042466671,0.8324672258317612,24
18,New Zealand,-19.990888860633756,3.3551779978143963,-0.8329537025264065,-0.960771550950061,889.3948,-0.035422384521189,0.15419949440645567,24
12,Caucasus & Middle East,-17.678490825979168,1.6433824925738956,-0.7366037844157987,-0.6219138378128549,1203.0935,-0.030139148866658062,0.1251060576200736,24
