start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors,year,cumulative_gt,cumulative_mwe,cumulative_gt_err,cumulative_mwe_err,sle_mm,cumulative_sle_mm
2000.0,2001.0,704082.6956499998,global,-78.04414729402814,111.56095088251794,-0.1111786793375206,0.1583621138501352,2000,-78.04414729402814,-0.1111786793375206,111.56095088251794,0.1583621138501352,0.21529419943180175,0.21529419943180175
2001.0,2002.0,701805.4987500003,global,-215.16931097001844,95.3001011576375,-0.3075164866023069,0.1350498121659405,2001,-293.2134582640466,-0.4186951659398275,146.7240779233849,0.20812739096317667,0.5935705130207405,0.8088647124525423
2002.0,2003.0,699528.3018500003,global,-128.46636738674923,91.14634450070768,-0.1841997326262217,0.1289299604899674,2002,-421.6798256507958,-0.6028948985660492,172.72987917065538,0.24482635801948197,0.3543899789979289,1.1632546914504711
2003.0,2004.0,697251.1049500001,global,-192.6724697716301,72.79887688516011,-0.2771630264606625,0.1028951725208123,2003,-614.3522954224259,-0.8800579250267117,187.44409202226115,0.2655698817809943,0.5315102614389796,1.6947649528894506
2004.0,2005.0,694973.9080500001,global,-229.2369109878561,73.022158218317,-0.3308421919121849,0.1028436503023272,2004,-843.589206410282,-1.2109001169388964,201.16541259597992,0.2847879536017608,0.632377685483741,2.327142638373192
2005.0,2006.0,692696.71115,global,-315.0371756633185,74.19065798809451,-0.4561666396999292,0.1044578602427483,2005,-1158.6263820736006,-1.6670667566388255,214.41030049327676,0.30334077055874337,0.8690680707953614,3.1962107091685534
2006.0,2007.0,690419.51425,global,-279.8898739792978,72.77317030930298,-0.4066108567264724,0.1025138185768302,2006,-1438.5162560528984,-2.073677613365298,226.42374273579188,0.3201947939651353,0.7721099971842699,3.968320706352823
2007.0,2008.0,688142.31735,global,-323.16570882967466,71.78509732133082,-0.4710335566158922,0.1010360421851532,2007,-1761.681964882573,-2.5447111699811904,237.53065375213575,0.3357573348458906,0.8914916105646198,4.859812316917443
2008.0,2009.0,685865.12045,global,-178.6324817323364,71.86184704387401,-0.2612321087124307,0.1011209402057232,2008,-1940.3144466149095,-2.805943278693621,248.16312484427283,0.35065429193281655,0.4927792599512728,5.352591576868716
2009.0,2010.0,683587.9235500002,global,-231.2381243724868,71.29354455724742,-0.3392890923913098,0.1001020384598227,2009,-2171.5525709873964,-3.145232371084931,258.20090245390384,0.36466265308462387,0.6378982741309981,5.990489850999714
2010.0,2011.0,681310.7266500002,global,-231.1966727048064,72.2582027545506,-0.3403621001158775,0.101352981542154,2010,-2402.749243692203,-3.4855944712008085,268.12115525136784,0.37848550490368976,0.6377839247029142,6.628273775702629
2011.0,2012.0,679033.5297499998,global,-365.9472468839626,68.11267549573648,-0.540545313270877,0.0950926143458494,2011,-2768.6964905761656,-4.0261397844716855,276.63747117213825,0.3902484884343941,1.0095096465764486,7.637783422279077
2012.0,2013.0,676756.3328500001,global,-188.0208512243996,67.35045471659744,-0.2786624991943321,0.0941254547446842,2012,-2956.717341800565,-4.304802283666017,284.7180609077128,0.401439265588486,0.5186782102742058,8.156461632553283
2013.0,2014.0,674479.1359500001,global,-304.73798136525033,66.47051377096227,-0.4531718327704068,0.0925856747213776,2013,-3261.4553231658156,-4.757974116436424,292.37425230006784,0.41197765852025975,0.8406565003179319,8.997118132871215
2014.0,2015.0,672201.9390499997,global,-149.889416279315,65.94044282966604,-0.2236536803279121,0.0920570437100916,2014,-3411.3447394451305,-4.981627796764336,299.7179430874905,0.4221375254777493,0.41348804490845514,9.41060617777967
2015.0,2016.0,669924.74215,global,-284.97423508815865,66.77259130583126,-0.4266624477275931,0.0932270670335857,2015,-3696.3189745332893,-5.408290244491929,307.0658306589839,0.4323093527141902,0.7861358209328515,10.196741998712522
2016.0,2017.0,667647.5452499996,global,-340.6076946742656,68.35959222730513,-0.5116960211749099,0.0952916518024702,2016,-4036.926669207555,-5.9199862656668385,314.58299097022905,0.44268710772667114,0.939607433584181,11.136349432296702
2017.0,2018.0,665370.3483500001,global,-217.68675972042345,66.39070274109359,-0.3281507593734814,0.0924077513562398,2017,-4254.613428927978,-6.24813702504032,321.5123382052879,0.45222899935554994,0.6005151992287544,11.736864631525457
2018.0,2019.0,663093.1514499999,global,-243.81282612823085,66.54077158950466,-0.3687965484035694,0.0924649491234518,2018,-4498.426255056209,-6.616933573443889,328.3258410511699,0.46158513264025797,0.6725871065606368,12.409451738086094
2019.0,2020.0,660815.9545499999,global,-412.9645781490086,69.99144862252744,-0.6268117422048606,0.0969733224466875,2019,-4911.390833205218,-7.2437453156487495,335.7032332019428,0.4716615947274844,1.1392126293765754,13.54866436746267
2020.0,2021.0,658538.75765,global,-405.0394156368366,76.20680182507151,-0.6169085501621713,0.1065416966938755,2020,-5316.430248842054,-7.860653865810921,344.2442990474115,0.483545026936772,1.1173501121016183,14.666014479564287
2021.0,2022.0,656261.5607500002,global,-217.7163545547422,81.6846283807594,-0.3327506622695744,0.1151000186974428,2021,-5534.146603396796,-8.193404528080496,353.8029337644707,0.49705513515045313,0.600596840151013,15.2666113197153
2022.0,2023.0,653984.3638500002,global,-460.2989143829609,100.8285184125692,-0.7059556646949124,0.138700930079604,2022,-5994.445517779757,-8.899360192775408,367.88980152434266,0.516044334708155,1.2697901086426508,16.53640142835795
2023.0,2024.0,651707.1669499998,global,-548.025110248126,120.16099017378784,-0.8434372990227316,0.1662574332317422,2023,-6542.470628027883,-9.74279749179814,387.0162394850704,0.5421653709793623,1.5117934075810373,18.04819483593899
