region_id,region_name,method,n_years,avg_rate_gt,total_gt
10,North Asia,demdiff_and_glaciological,24,-1.320966855931758,-31.70320454236219
11,Central Europe,demdiff_and_glaciological,24,-1.9697945710110536,-47.275069704265285
12,Caucasus & Middle East,demdiff_and_glaciological,24,-0.7398243379316196,-17.75578411035887
13,Central Asia,altimetry,21,-6.529701931131603,-137.12374055376367
13,Central Asia,demdiff_and_glaciological,24,-11.255033966966304,-270.1208152071913
14,South Asia West,altimetry,21,-3.761057702972035,-78.98221176241273
14,South Asia West,demdiff_and_glaciological,24,-5.325966033648277,-127.82318480755866
15,South Asia East,altimetry,21,-6.684317393475603,-140.37066526298767
15,South Asia East,demdiff_and_glaciological,24,-7.241026332587238,-173.7846319820937
16,Low Latitudes,demdiff_and_glaciological,24,-0.85004179012117,-20.40100296290808
17,Southern Andes,altimetry,9,-29.236264644812486,-263.12638180331237
17,Southern Andes,gravimetry,20,-32.937160594474705,-658.7432118894941
17,Southern Andes,demdiff_and_glaciological,23,-24.94119519933119,-573.6474895846173
18,New Zealand,demdiff_and_glaciological,23,-0.8366017496545183,-19.24184024205392
19,Antarctic & Subantarctic,altimetry,20,-7.153710197989097,-143.07420395978195
19,Antarctic & Subantarctic,demdiff_and_glaciological,23,-25.890396662232092,-595.4791232313381
1,Alaska,altimetry,9,-79.0624671123719,-711.5622040113471
1,Alaska,gravimetry,20,-60.1715028841283,-1203.430057682566
1,Alaska,demdiff_and_glaciological,24,-71.19343051507836,-1708.6423323618806
2,Western Canada & US,altimetry,10,-12.91977537224505,-129.1977537224505
2,Western Canada & US,demdiff_and_glaciological,24,-10.354573930565678,-248.50977433357627
3,Arctic Canada North,altimetry,21,-27.355642706229656,-574.4684968308228
3,Arctic Canada North,gravimetry,20,-32.7697107324816,-655.394214649632
3,Arctic Canada North,demdiff_and_glaciological,24,-32.73351555798691,-785.6043733916858
4,Arctic Canada South,altimetry,21,-19.886557506440763,-417.617707635256
4,Arctic Canada South,gravimetry,20,-23.996869117603985,-479.9373823520797
4,Arctic Canada South,demdiff_and_glaciological,24,-26.200864854999548,-628.8207565199891
5,Greenland Periphery,altimetry,21,-26.76722025717779,-562.1116254007336
5,Greenland Periphery,demdiff_and_glaciological,24,-39.59009386468765,-950.1622527525036
6,Iceland,altimetry,9,-3.9671046889754544,-35.70394220077909
6,Iceland,gravimetry,20,-7.573140631286423,-151.46281262572845
6,Iceland,demdiff_and_glaciological,24,-8.836692285481464,-212.08061485155514
7,Svalbard,altimetry,15,-11.32813069493982,-169.92196042409728
7,Svalbard,gravimetry,20,-15.114881610261765,-302.2976322052353
7,Svalbard,demdiff_and_glaciological,24,-13.963122733563933,-335.1149456055344
8,Scandinavia,demdiff_and_glaciological,24,-1.652783256879654,-39.6667981651117
9,Russian Arctic,altimetry,15,-13.814511320151238,-207.21766980226857
9,Russian Arctic,gravimetry,20,-18.475563309996538,-369.5112661999308
9,Russian Arctic,demdiff_and_glaciological,24,-15.436869630698112,-370.4848711367547
