dataset,model,roc_auc,pr_auc
BACE,GINE-MLP,0.521647751155948,0.46366071054329255
BACE,KA-GNN,0.5859604875998319,0.4627967674187992
BBBP,GINE-MLP,0.7467144563918758,0.908587255506463
BBBP,KA-GNN,0.8207885304659498,0.9432472778409358
CLINTOX,GINE-MLP,0.5648728043609934,0.5418369226662103
CLINTOX,KA-GNN,0.6031889763779528,0.5430243789144685
HIV,GINE-MLP,0.5300725718262252,0.05158496341207117
HIV,KA-GNN,0.4983596779003877,0.057550231205801376
MUV,GINE-MLP,0.6652998440299667,0.06156838656838657
MUV,KA-GNN,0.4562201721243066,0.07020452665613955
