region,year,change_mwe,error_mwe,area,change_gt,error_gt
10_north_asia,2000,-0.196991901264312,0.10647056414886101,2487.7225,-0.4885910015377284,0.26407461036675245
10_north_asia,2001,-0.39587238019684945,0.09936092771272469,2477.3595,-0.9777760472626721,0.24541427998333798
10_north_asia,2002,-0.4406496733555227,0.10421391923827053,2466.9965,-1.0838199582885353,0.25632408789005984
10_north_asia,2003,-0.382168210523419,0.09637197988453398,2456.6335,-0.9360306869210631,0.2360403823429353
10_north_asia,2004,-0.21709543506369586,0.10287433813874144,2446.2705,-0.5294809360055419,0.25090348322004064
10_north_asia,2005,-0.12532046225548793,0.0827444446220129,2435.9075,-0.30435324674987513,0.20095313979838159
10_north_asia,2006,-0.433673559469906,0.09774988405664572,2425.5445,-1.0487388334167504,0.23638540356828705
10_north_asia,2007,-0.49841464039525635,0.0973730090187516,2415.1815,-1.2001505333553406,0.23446796951147778
10_north_asia,2008,-0.4313841068472763,0.09176164416625611,2404.8185,-1.0342882793100499,0.22000808918298548
10_north_asia,2009,-0.0809742650386063,0.08132343776336626,2394.4555,-0.19330760645730816,0.19414117677290585
10_north_asia,2010,-0.4559184223365449,0.08587106034837738,2384.0925,-1.083690836230476,0.20411037729078307
10_north_asia,2011,-0.8391373524013456,0.08718448949130064,2373.7295,-1.985909432683129,0.2063315374639965
10_north_asia,2012,-0.6063997824339858,0.08684862347493673,2363.3665,-1.4288454966175355,0.20463936190990376
10_north_asia,2013,-0.26987224990349784,0.08586297559467891,2353.0035,-0.6331053175300776,0.20142977444840998
10_north_asia,2014,-0.24118677301178473,0.06907379348590227,2342.6405,-0.5633188608141488,0.16132962091038472
10_north_asia,2015,-0.7904984392871212,0.10074101483564901,2332.2775,-1.8381307385632655,0.23425113422166535
10_north_asia,2016,-0.5170984312436708,0.09068513479090838,2321.9145,-1.1970563703956365,0.20993144001724823
10_north_asia,2017,-0.788549663279068,0.10330888551649114,2311.5515,-1.817304837506293,0.23808739785113647
10_north_asia,2018,-0.6060519251452601,0.10317875607644143,2301.1885,-1.3904558013854922,0.23672146562662993
10_north_asia,2019,-0.3580248597970979,0.08820027590419299,2290.8255,-0.8177119610217454,0.20144528682491578
10_north_asia,2020,-0.3825105013522474,0.11541523159071009,2280.4625,-0.8696839516274296,0.26241050724871545
10_north_asia,2021,-0.2668252417660331,0.11752651499247428,2270.0995,-0.6039026883766896,0.26599649227239486
10_north_asia,2022,-0.7372882454646253,0.16957627131113814,2259.7365,-1.6610789278194813,0.3820480967462347
10_north_asia,2023,-0.6432711857986654,0.1756058476279378,2249.3735,-1.4426162871731472,0.3938181306790232
11_central_europe,2000,-0.18019445027754719,0.07641257018039846,2140.639,-0.38457407404413535,0.1630810126349428
11_central_europe,2001,0.0925310902701366,0.07611279116596893,2121.1834,0.19568658642692055,0.1609648415814732
11_central_europe,2002,-0.48952108972667474,0.07813822637494479,2101.7278,-1.0257535627159522,0.16373260676706997
11_central_europe,2003,-0.9666577948538395,0.076891446669279,2082.2722,-2.006806119178041,0.15962859505177057
11_central_europe,2004,-0.5006610932841783,0.0709042107613266,2062.8166,-1.0296736981581494,0.14582359581945806
11_central_europe,2005,-0.7668226530756491,0.06710810726883422,2043.361,-1.5621948167016777,0.13671471090942153
11_central_europe,2006,-0.674478580759475,0.07684563238185292,2023.9054,-1.3609855992580873,0.15506170547301487
11_central_europe,2007,-0.6180360091555634,0.07316784972793322,2004.4498,-1.2351056884798335,0.14622129790832505
11_central_europe,2008,-0.5960052402178839,0.0687869839004968,1984.9942,-1.1795177441671,0.1361321387857456
11_central_europe,2009,-0.40919999919385625,0.0784683868722899,1965.5386,-0.8018854983548869,0.15376994534738742
11_central_europe,2010,-0.4327295962100676,0.06441691263149373,1946.083,-0.8396013276489332,0.1249845766088813
11_central_europe,2011,-0.8510399573339481,0.06906172125685747,1926.6274,-1.6347179895935322,0.13265703585123018
11_central_europe,2012,-0.06499051209898465,0.011848863661562603,1907.1718,-0.12357622772691412,0.02253002518146481
