year,global_gt,global_error_gt,global_area,global_mwe,global_mwe_error
2000,-173.64191789660816,14.981380962619031,704082.69565,-0.24736357278204635,0.02134189696251198
2001,-218.84157709507213,14.405476326114204,701805.49875,-0.31276482973987707,0.020588072935069313
2002,-201.10337287554947,13.540927865943845,699528.3018499999,-0.28834930314787155,0.019415473039016452
2003,-145.97481641280484,5.303955477816855,697251.10495,-0.20998756050601017,0.007629841223225898
2004,-236.28176664465332,6.319003640144526,694973.90805,-0.3410095575303824,0.009119792296962333
2005,-234.03229796762645,6.209426467402536,692696.71115,-0.3388734257167069,0.008991107795881068
2006,-217.3002752665785,6.191275926254991,690419.51425,-0.31568362883888074,0.008994394733947144
2007,-202.79522453102174,6.063623836705479,688142.31735,-0.29558629912034207,0.0088380982998714
2008,-165.86491795531768,5.73069434703083,685865.12045,-0.24256082577303406,0.008380566368128065
2009,-199.65714874167912,5.890898368687235,683587.92355,-0.2929512292569914,0.008643546847239312
2010,-128.10359023776437,7.332573539336562,681310.72665,-0.18859097968671962,0.010794835842163144
2011,-240.9977254426267,9.093058336119437,679033.52975,-0.3559807926038599,0.013431471636256338
2012,-190.0176752189914,8.943860526864636,676756.33285,-0.2816219580052066,0.013255543258269251
2013,-266.723599888166,8.647280638923398,674479.13595,-0.3966411474635567,0.01285925698550888
2014,-248.7701372611997,9.047843772164237,672201.93905,-0.37119603328407463,0.013500509968666596
2015,-280.6526250609993,8.561743606735828,669924.7421500001,-0.42019214801175553,0.012818613173699395
2016,-256.4804078825878,8.579133184528276,667647.54525,-0.3853113311146634,0.012888459022779757
2017,-255.89900441814106,8.765734829755871,665370.34835,-0.38575360637724837,0.013213860799550923
2018,-245.16054557831814,8.599009867657808,663093.15145,-0.3708351379613932,0.013007048108340814
2019,-315.5561814814422,8.723876996736143,660815.95455,-0.4789619505974346,0.013241398484138281
2020,-250.81830190016046,12.562587405457903,658538.75765,-0.3820170309501442,0.019133860269873845
2021,-171.99082455199397,8.957054329789466,656261.56075,-0.2628652353242318,0.01368967327382198
2022,-354.64695770314546,21.413370969353977,653984.36385,-0.5439183559513094,0.032841464673653425
2023,-335.10635557581645,24.39295636683601,651707.16695,-0.5157449798317596,0.037541946251164235
