group,estimator,N,d,n_instances,fidelity_mean,fidelity_sem,fidelity_std,fidelity_p25,fidelity_p75,fidelity_min,fidelity_max,avg_per_instance_std,total_shots
N40_verification,MB,40,8,50,0.6,0.019378085666072194,0.13702375780893483,0.5125,0.7,0.25,0.85,0.10462094988915861,1000
N40_verification,MB,40,10,50,0.518,0.013832821070754517,0.09781281582070679,0.45,0.6,0.35,0.8,0.10974628249006013,1000
N40_verification,MB,40,12,50,0.47600000000000003,0.015067196426783098,0.10654116766848047,0.4,0.55,0.2,0.75,0.10905821938791566,1000
N40_verification,MB,40,14,50,0.374,0.017568524731020812,0.12422822972748382,0.2625,0.45,0.15,0.65,0.10453599070702684,1000
N40_verification,MB,40,16,50,0.305,0.017157731642091875,0.12132348393902163,0.21250000000000002,0.4,0.05,0.6,0.09808600737298992,1000
N40_verification,MB,40,18,50,0.289,0.016738687925562976,0.11836039740330964,0.2,0.35,0.05,0.6,0.09741380458494625,1000
N40_verification,MB,40,20,50,0.261,0.01592648929376747,0.11261728580117926,0.2,0.3,0.05,0.55,0.09372098463994803,1000
N56_depths,MB,56,8,50,0.489,0.014377561883514385,0.10166471504762253,0.45,0.55,0.25,0.7,0.10925547304387093,1000
N56_depths,MB,56,10,50,0.409,0.018333085959988473,0.12963449402383737,0.35,0.5,0.1,0.6,0.10546451111161144,1000
N56_depths,MB,56,12,50,0.387,0.014970038103369228,0.10585415457513384,0.35,0.45,0.1,0.6,0.10637373191675571,1000
N56_depths,MB,56,14,50,0.287,0.0144850380230986,0.10242468611878003,0.2,0.35,0.1,0.65,0.09839101067639368,1000
N56_depths,MB,56,16,50,0.248,0.015048221808301362,0.10640699685449184,0.2,0.3,0.05,0.5,0.09183916418514194,1000
N56_depths,MB,56,18,50,0.20600000000000002,0.012342063466545813,0.08727156771029293,0.15,0.25,0.0,0.4,0.08658061627064996,1000
N56_depths,MB,56,20,50,0.172,0.011965938052212528,0.08461195939977627,0.1,0.25,0.0,0.4,0.07939669668460658,1000
N56_depths,MB,56,24,50,0.1208,0.0052437718158919585,0.037079066100121,0.1,0.1475,0.06,0.21,0.03203811964697145,5000
N_scan_depth12,MB,16,12,50,0.784,0.011106166700329604,0.07853245786791287,0.75,0.8375,0.6,1.0,0.08851767048340169,1000
N_scan_depth12,MB,24,12,50,0.65,0.014914723584157928,0.10546302185881,0.6,0.7,0.35,0.85,0.10370594140938535,1000
N_scan_depth12,MB,32,12,50,0.5760000000000001,0.017799335002482878,0.12586030480866717,0.5,0.65,0.25,0.85,0.10716527979593087,1000
N_scan_depth12,MB,40,12,50,0.501,0.013131206015769128,0.09285164818907939,0.45,0.5875,0.3,0.7,0.10970118236756451,1000
N_scan_depth12,MB,48,12,50,0.413,0.01973342755998831,0.1395364044372124,0.3,0.5,0.15,0.7,0.10578493776135661,1000
