group,subset,N,d,r,kind,n_shots,fidelity,fidelity_std,n_correct,estimator,n_matched_keys
N40_verification,N40_d10_MB,40,10,10,MB,20,0.5,0.11387540387461907,10.0,MB,
N40_verification,N40_d10_MB,40,10,11,MB,20,0.45,0.1090122064778122,9.0,MB,
N40_verification,N40_d10_MB,40,10,12,MB,20,0.4,0.11339209746612755,8.0,MB,
N40_verification,N40_d10_MB,40,10,13,MB,20,0.65,0.10589008551422655,13.0,MB,
N40_verification,N40_d10_MB,40,10,14,MB,20,0.4,0.1119306301508482,8.0,MB,
N40_verification,N40_d10_MB,40,10,15,MB,20,0.6,0.11033645877104327,12.0,MB,
N40_verification,N40_d10_MB,40,10,16,MB,20,0.6,0.10792570573296224,12.0,MB,
N40_verification,N40_d10_MB,40,10,17,MB,20,0.4,0.11144459339688667,8.0,MB,
N40_verification,N40_d10_MB,40,10,18,MB,20,0.55,0.11052930257052528,11.0,MB,
N40_verification,N40_d10_MB,40,10,19,MB,20,0.45,0.11291811413808017,9.0,MB,
N40_verification,N40_d10_MB,40,10,1,MB,20,0.6,0.10766197611553069,12.0,MB,
N40_verification,N40_d10_MB,40,10,20,MB,20,0.45,0.11313654306799983,9.0,MB,
N40_verification,N40_d10_MB,40,10,21,MB,20,0.4,0.11076762598777211,8.0,MB,
N40_verification,N40_d10_MB,40,10,22,MB,20,0.5,0.10871843080727939,10.0,MB,
N40_verification,N40_d10_MB,40,10,23,MB,20,0.6,0.11055302787337835,12.0,MB,
N40_verification,N40_d10_MB,40,10,24,MB,20,0.65,0.10918315328364978,13.0,MB,
N40_verification,N40_d10_MB,40,10,25,MB,20,0.5,0.11706709488453494,10.0,MB,
N40_verification,N40_d10_MB,40,10,26,MB,20,0.65,0.10511006434031722,13.0,MB,
N40_verification,N40_d10_MB,40,10,27,MB,20,0.5,0.11176389698229329,10.0,MB,
N40_verification,N40_d10_MB,40,10,28,MB,20,0.6,0.10888326577378897,12.0,MB,
N40_verification,N40_d10_MB,40,10,29,MB,20,0.4,0.1128837133192062,8.0,MB,
N40_verification,N40_d10_MB,40,10,2,MB,20,0.6,0.11038793183811124,12.0,MB,
N40_verification,N40_d10_MB,40,10,30,MB,20,0.5,0.11173129096802462,10.0,MB,
N40_verification,N40_d10_MB,40,10,31,MB,20,0.8,0.08823885819805295,16.0,MB,
N40_verification,N40_d10_MB,40,10,32,MB,20,0.4,0.1072025647542534,8.0,MB,
N40_verification,N40_d10_MB,40,10,33,MB,20,0.5,0.10943132648019585,10.0,MB,
N40_verification,N40_d10_MB,40,10,34,MB,20,0.6,0.1115501835204382,12.0,MB,
N40_verification,N40_d10_MB,40,10,35,MB,20,0.6,0.10604963000418259,12.0,MB,
N40_verification,N40_d10_MB,40,10,36,MB,20,0.45,0.11478364554798426,9.0,MB,
N40_verification,N40_d10_MB,40,10,37,MB,20,0.55,0.11064371664053965,11.0,MB,
N40_verification,N40_d10_MB,40,10,38,MB,20,0.65,0.10957602111960629,13.0,MB,
N40_verification,N40_d10_MB,40,10,39,MB,20,0.6,0.10873270115425396,12.0,MB,
N40_verification,N40_d10_MB,40,10,3,MB,20,0.55,0.11252804121666767,11.0,MB,
N40_verification,N40_d10_MB,40,10,40,MB,20,0.5,0.1121523769505384,10.0,MB,
N40_verification,N40_d10_MB,40,10,41,MB,20,0.55,0.11003157250056433,11.0,MB,
N40_verification,N40_d10_MB,40,10,42,MB,20,0.5,0.11214533684722061,10.0,MB,
N40_verification,N40_d10_MB,40,10,43,MB,20,0.35,0.10241233219581412,7.0,MB,
N40_verification,N40_d10_MB,40,10,44,MB,20,0.4,0.1074746053297745,8.0,MB,
N40_verification,N40_d10_MB,40,10,45,MB,20,0.45,0.1124830206294707,9.0,MB,
N40_verification,N40_d10_MB,40,10,46,MB,20,0.4,0.1106183819553804,8.0,MB,
N40_verification,N40_d10_MB,40,10,47,MB,20,0.55,0.10901872583452157,11.0,MB,
N40_verification,N40_d10_MB,40,10,48,MB,20,0.6,0.11299060525936161,12.0,MB,
N40_verification,N40_d10_MB,40,10,49,MB,20,0.4,0.10895586896253631,8.0,MB,
N40_verification,N40_d10_MB,40,10,4,MB,20,0.6,0.10595289526962448,12.0,MB,
N40_verification,N40_d10_MB,40,10,50,MB,20,0.65,0.10377923747132722,13.0,MB,
N40_verification,N40_d10_MB,40,10,5,MB,20,0.45,0.1108996787134153,9.0,MB,
N40_verification,N40_d10_MB,40,10,6,MB,20,0.6,0.11153039509043725,12.0,MB,
N40_verification,N40_d10_MB,40,10,7,MB,20,0.45,0.1122790456144159,9.0,MB,
N40_verification,N40_d10_MB,40,10,8,MB,20,0.4,0.11079835863529873,8.0,MB,
N40_verification,N40_d10_MB,40,10,9,MB,20,0.4,0.10995238527211235,8.0,MB,
N40_verification,N40_d10_XEB,40,10,10,XEB,20,0.4555652525773197,0.2222416014420415,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,11,XEB,20,0.07224683958642109,0.23605516790555642,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,12,XEB,20,0.43429692007246246,0.2508255411618918,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,13,XEB,20,0.628971815686258,0.4051015963800037,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,14,XEB,20,0.22101591086483974,0.2873543899763201,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,15,XEB,20,0.422789149329303,0.22054674711792038,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,16,XEB,20,0.22107555282413816,0.2096137122859581,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,17,XEB,20,0.8288138196412924,0.2761824167785088,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,18,XEB,20,0.351787076068657,0.24742539299730157,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,19,XEB,20,0.624199791161526,0.3676650319868683,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,1,XEB,20,-0.07578474682702274,0.24624482311892745,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,20,XEB,20,0.6672231025650501,0.2841003420382829,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,21,XEB,20,0.5153329109540146,0.3353137203694506,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,22,XEB,20,0.5804584553377872,0.2901776054602986,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,23,XEB,20,0.2301810755061502,0.19779046098106975,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,24,XEB,20,0.4150490354568681,0.2927277067233302,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,25,XEB,20,0.3543898468865323,0.26128183443212677,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,26,XEB,20,0.6765312934316587,0.36164437917584474,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,27,XEB,20,0.12116544067536505,0.2537470826572771,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,28,XEB,20,0.3106659914792309,0.21382443049241442,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,29,XEB,20,0.1628019953234705,0.3235864353564493,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,2,XEB,20,0.26511945168122475,0.29631071560955397,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,30,XEB,20,0.4844959667704729,0.30296205872663234,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,31,XEB,20,0.16859110529124477,0.20209217633322726,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,32,XEB,20,0.3637443465565444,0.24619365744965965,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,33,XEB,20,0.7378464318196845,0.19336485800859152,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,34,XEB,20,0.6801904175650879,0.30461204016137833,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,35,XEB,20,0.4941440516148359,0.3247359334886944,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,36,XEB,20,0.7964404471925306,0.29278198579644593,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,37,XEB,20,0.3171291504408891,0.2974060747744853,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,38,XEB,20,0.34782162664166494,0.29324912796457236,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,39,XEB,20,1.6770076080299674,0.3938173947603131,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,3,XEB,20,0.3317371449621871,0.19658807686713303,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,40,XEB,20,1.3803938803427718,0.472482222159529,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,41,XEB,20,0.011105033471309866,0.2712780385254701,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,42,XEB,20,0.14526872707803928,0.22123253632211784,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,43,XEB,20,0.850573314933283,0.3582697249282826,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,44,XEB,20,0.5862492342861656,0.3079600780892562,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,45,XEB,20,0.20310200742127615,0.24852066462685843,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,46,XEB,20,-0.06965957616338048,0.20873091700037313,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,47,XEB,20,0.29257012171545593,0.19679533418938228,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,48,XEB,20,0.5959446608049062,0.19058951263786572,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,49,XEB,20,0.7432869410791114,0.25438209540760803,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,4,XEB,20,0.12282571263967546,0.24611509670037957,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,50,XEB,20,0.19821685125182098,0.20219699095721758,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,5,XEB,20,0.4225458950901777,0.22460543836455293,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,6,XEB,20,0.36397914140433896,0.2304077852712025,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,7,XEB,20,0.5851165058288996,0.25033726977505316,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,8,XEB,20,0.593449348443547,0.3740561283413833,,XEB,20.0
N40_verification,N40_d10_XEB,40,10,9,XEB,20,0.603475141475522,0.30548098251257105,,XEB,20.0
N40_verification,N40_d12_MB,40,12,10,MB,20,0.35,0.10813456007716998,7.0,MB,
N40_verification,N40_d12_MB,40,12,11,MB,20,0.4,0.11137505062581073,8.0,MB,
N40_verification,N40_d12_MB,40,12,12,MB,20,0.4,0.11047078253454076,8.0,MB,
N40_verification,N40_d12_MB,40,12,13,MB,20,0.3,0.10120910672110137,6.0,MB,
N40_verification,N40_d12_MB,40,12,14,MB,20,0.6,0.1074277931018353,12.0,MB,
N40_verification,N40_d12_MB,40,12,15,MB,20,0.4,0.10737833863311357,8.0,MB,
N40_verification,N40_d12_MB,40,12,16,MB,20,0.55,0.11146826981332031,11.0,MB,
N40_verification,N40_d12_MB,40,12,17,MB,20,0.45,0.11102737084645875,9.0,MB,
N40_verification,N40_d12_MB,40,12,18,MB,20,0.4,0.11183589435984882,8.0,MB,
N40_verification,N40_d12_MB,40,12,19,MB,20,0.55,0.10721040794424565,11.0,MB,
N40_verification,N40_d12_MB,40,12,1,MB,20,0.55,0.11424781206903947,11.0,MB,
N40_verification,N40_d12_MB,40,12,20,MB,20,0.5,0.11216814027027325,10.0,MB,
N40_verification,N40_d12_MB,40,12,21,MB,20,0.65,0.10772931637026945,13.0,MB,
N40_verification,N40_d12_MB,40,12,22,MB,20,0.65,0.10646742606456124,13.0,MB,
N40_verification,N40_d12_MB,40,12,23,MB,20,0.65,0.1050416286228643,13.0,MB,
N40_verification,N40_d12_MB,40,12,24,MB,20,0.45,0.10999079723083871,9.0,MB,
N40_verification,N40_d12_MB,40,12,25,MB,20,0.5,0.1108543467176014,10.0,MB,
N40_verification,N40_d12_MB,40,12,26,MB,20,0.55,0.11270749966386655,11.0,MB,
N40_verification,N40_d12_MB,40,12,27,MB,20,0.6,0.10826278599237518,12.0,MB,
N40_verification,N40_d12_MB,40,12,28,MB,20,0.4,0.11190674966515926,8.0,MB,
N40_verification,N40_d12_MB,40,12,29,MB,20,0.35,0.10818179514502799,7.0,MB,
N40_verification,N40_d12_MB,40,12,2,MB,20,0.65,0.10660883144910155,13.0,MB,
