,count,mean,std,min,25%,50%,75%,max
Nose_1_x,1738.0,948.521188324626,622.2657559552463,216.9167347,400.1997959,686.80938775,1696.029388,1989.810612
Nose_1_y,1738.0,772.5271820776755,309.28837650668146,240.9510204,485.69408165,825.57836735,1080.3046935,1208.330612
Nose_1_p,1738.0,0.957554066943038,0.16284121641285335,0.0,0.9999533465,1.0,1.0,1.11637551
Ear_left_1_x,1738.0,947.7641121642694,606.8061903543189,222.2816327,429.18265307499996,671.04653065,1673.8236729999999,1954.642449
Ear_left_1_y,1738.0,761.0316695316455,278.9758891293451,285.28,498.23489797499997,809.4265306,1034.720816,1158.020408
Ear_left_1_p,1738.0,0.9749048988947066,0.12029237555138335,0.006712163,0.9999213875,1.0,1.0,1.116370612
Ear_right_1_x,1738.0,940.0787379375143,610.2359022605988,248.4204082,401.67367345,680.6457143,1687.113061,1920.98449
Ear_right_1_y,1738.0,769.5425861262371,282.2368436963291,288.1722449,505.55469389999996,796.77591835,1058.98530625,1160.690612
Ear_right_1_p,1738.0,0.9915625431449941,0.06588204299240555,0.082898449,0.9999932655,1.0,1.0,1.058187755
Center_1_x,1738.0,931.0987430999425,578.1247564927215,230.8897959,422.2718367,675.10163265,1616.49040775,1897.453061
Center_1_y,1738.0,757.1750273545454,235.98981386181157,348.875102,522.8730611999999,780.0428571499999,1002.747551,1088.081633
Center_1_p,1738.0,0.988523344872267,0.06089728152886657,0.137813388,0.99903220425,0.9998916325,1.0,1.060690122
Lat_left_1_x,1738.0,934.0331091376295,574.9018707052411,205.922449,448.353469425,646.38571425,1601.9885715,1956.01551
Lat_left_1_y,1738.0,752.0436819234178,232.46804070213864,331.3689796,513.88142855,765.2179591500001,969.246122475,1127.764898
Lat_left_1_p,1738.0,0.9232568292940162,0.19519164063536015,0.00027551,0.98746416325,0.999826408,1.0,1.109349633
Lat_right_1_x,1738.0,930.4816260723246,582.5269692079984,240.7110204,407.20714284999997,699.6889796,1627.8210205,1910.854694
Lat_right_1_y,1738.0,769.4681346082278,245.55975799028656,301.5118367,540.4540816,768.61265305,1003.13469375,1142.703673
Lat_right_1_p,1738.0,0.9640125492462601,0.1291671927010212,0.073364327,0.9966806735,0.999940245,1.0,1.109095184
Tail_base_1_x,1738.0,917.9808477990794,536.2729228010754,224.9893878,438.55244895,736.1800000000001,1584.21122475,1922.680816
Tail_base_1_y,1738.0,751.9072248170887,182.88330496796212,392.4440816,589.95040815,782.16,910.2730612,1081.149388
Tail_base_1_p,1738.0,0.9341696119804374,0.21081313950204958,0.0,0.99972555075,1.0,1.0,1.102857143
Tail_end_1_x,1738.0,906.7310072644995,490.4137964352717,206.2914286,488.40367349999997,774.9922449000001,1433.715918,1962.967347
Tail_end_1_y,1738.0,749.4647556443614,168.8980041127413,379.7632653,625.088979575,749.40530615,843.026734675,1183.106939
Tail_end_1_p,1738.0,0.7380670827353281,0.3562110041997403,0.0,0.4964970205,0.9665740815,0.9999903265,1.116369878
Nose_2_x,1738.0,832.5173941403337,480.45028892177885,146.3110204,405.2765306,749.9767347,1119.58816325,1928.776327
Nose_2_y,1738.0,653.7811408861909,289.632983067748,223.0571429,372.711224475,588.8077551,955.378367325,1163.715918
Nose_2_p,1738.0,0.9264007754827388,0.20822049377273663,0.0,0.99801820375,1.0,1.0,1.11637551
Ear_left_2_x,1738.0,844.7391728744534,463.74288452941727,205.077551,453.17612245,791.8579592,1130.912041,1893.662857
Ear_left_2_y,1738.0,652.8858293573647,252.51648395027445,303.0628571,404.385714325,597.5436734499999,902.53020405,1128.554286
Ear_left_2_p,1738.0,0.9629701913457998,0.15075738488419413,0.0,0.99997502,1.0,1.0,1.05956849
Ear_right_2_x,1738.0,837.6803837411968,468.04074660341104,255.7281633,442.5053061,731.8746939,1114.15551025,1914.554286
Ear_right_2_y,1738.0,643.4366238489642,266.65147244818843,286.6546939,389.592244925,572.3020408,915.7806122249999,1129.412245
Ear_right_2_p,1738.0,0.9770066522571921,0.11044023854279994,0.065173224,0.999998531,1.0,1.0,1.075330612
Center_2_x,1738.0,857.1791916643842,442.53604300158213,288.0734694,470.384081675,770.3555102,1083.14734675,1864.031837
Center_2_y,1738.0,643.8112928292865,226.01918901249664,343.9069388,425.0734694,581.98,866.1310203999999,1073.853878
Center_2_p,1738.0,0.9945896394637516,0.02989600619641521,0.604848327,0.9996053060000001,0.9999511425000001,1.0,1.032245143
Lat_left_2_x,1738.0,860.0254686410243,438.2531470973622,238.6497959,482.03122452499997,822.0869388,1080.52102025,1865.212245
Lat_left_2_y,1738.0,653.6241591318181,219.4148791474177,312.2726531,456.924693875,621.4514286,869.93387755,1023.875102
Lat_left_2_p,1738.0,0.9338308959804372,0.1944832964506823,0.006990612,0.9964287755,0.999989102,1.0,1.075918367
Lat_right_2_x,1738.0,855.4802681895281,449.88802486532126,282.1346939,487.17122447500003,751.4289796,1089.07122475,1922.720816
Lat_right_2_y,1738.0,639.7307756994245,240.16274625673483,299.8685714,430.66142855,564.1644898,878.03163265,1136.746122
Lat_right_2_p,1738.0,0.96179219416916,0.13749464555733995,7.35e-07,0.9987628775,0.9999594285,1.0,1.072705061
Tail_base_2_x,1738.0,880.5581653828538,424.8820321091803,322.0220408,535.4661224250001,854.9485714,1118.6773467500002,1877.406531
Tail_base_2_y,1738.0,643.2838284673187,195.01170382905266,353.1934694,456.107755125,631.2567346999999,805.9963265,1118.217959
Tail_base_2_p,1738.0,0.9601907660092059,0.1693617749887,0.0,0.999996571,1.0,1.0,1.109616327
Tail_end_2_x,1738.0,919.1664305711738,410.21489532179567,305.8677551,568.98489795,876.67714285,1143.3985715000001,1907.730612
Tail_end_2_y,1738.0,650.3427707211738,180.8965600606956,299.6742857,507.60510202499995,674.66571425,763.39857145,1114.571429
Tail_end_2_p,1738.0,0.7214092958630609,0.3598986856900969,0.0,0.456815286,0.958268204,1.0,1.114980571
