hex_id,country,lat,lon,delivered_cost_eur_per_kg,competitive_vs_europe
hex_000,Botswana,-19.71252741732844,21.42667018270944,5.430305445649118,False
hex_001,Botswana,-23.73345872297537,24.54513625407894,4.842874323167731,False
hex_002,Namibia,-18.69682496106341,15.561555013934129,5.548044390277628,False
hex_003,Namibia,-20.631583651287634,16.186435884488162,4.953455856046055,False
hex_004,Namibia,-27.86987182534821,17.57378135786131,4.905141989041303,False
hex_005,Namibia,-17.292531780358928,13.65259902718,4.8223875866501515,False
hex_006,Unknown,-19.866323576115764,12.818901074696605,4.592885250287027,False
hex_007,Namibia,-19.567228336676557,17.65986896716307,4.464013694585583,False
hex_008,Unknown,-27.46263640789345,14.176730886712376,5.126877846506721,False
hex_009,Botswana,-23.5953687452532,20.377395925555145,4.9895609368356535,False
hex_010,Namibia,-24.550423709209024,17.12012686421263,4.770051288713226,False
hex_011,Namibia,-17.878820133816777,22.657494744809725,4.932429685208287,False
hex_012,Namibia,-21.273618559032023,20.803711428031487,5.248749339518595,False
hex_013,Namibia,-19.12686064075004,15.373132979348576,5.4551492231697125,False
hex_014,Botswana,-23.67902961407203,22.651637219532816,5.105172949700771,False
hex_015,Botswana,-26.27313533858268,22.266701004955227,4.58690754510169,False
hex_016,Namibia,-22.344982555809985,16.42469730642244,4.947039455348264,False
hex_017,Unknown,-28.23419292674989,15.036593455023418,4.882653674108485,False
hex_018,Namibia,-19.06842593608901,20.554937055649656,4.94671926310453,False
hex_019,Unknown,-21.420027210535224,12.956534770530338,4.749054013675911,False
hex_020,Namibia,-19.902947118975515,13.798714834651516,4.801074129047933,False
hex_021,Unknown,-24.74568838244158,11.103071776514078,5.2034489172768,False
hex_022,Angola,-17.35162370726116,22.016941285029937,4.815462465656996,False
hex_023,Namibia,-18.282546544133627,20.30791199228845,5.037102225713087,False
hex_024,Namibia,-19.659398035114855,20.87231530076869,4.820836699635972,False
hex_025,South Africa,-26.66433550577639,21.93020643430755,4.882281479580334,False
hex_026,Namibia,-23.39934795527559,17.42482085753676,5.195357613464083,False
hex_027,Namibia,-28.47435481055325,18.962376743340517,4.885203450379976,False
hex_028,Unknown,-27.148526095189425,12.957157973787204,4.908883374524171,False
hex_029,Unknown,-20.803412561090543,12.603421029503629,4.856188741691515,False
